name;run_id;time_init;time_start;time_end;duration_ms;
"ImageDisparity";1;1719000911297;1719000911297;1719000911310;12;
"ImageDisparityDerivative";1;1719000911297;1719000911310;1719000911311;0;
"ImageDisparity";2;1719000911311;1719000911311;1719000911313;2;
"ImageDisparityDerivative";2;1719000911311;1719000911313;1719000911314;0;
"ImageDisparity";3;1719000911327;1719000911327;1719000911337;9;
"ImageDisparityDerivative";3;1719000911327;1719000911337;1719000911344;6;
"SuperPixelDetect";1;1719000911297;1719000911311;1719000911350;38;
"ImageDisparity";4;1719000911344;1719000911344;1719000911353;8;
"SuperPixelVisualization";1;1719000911297;1719000911350;1719000911358;7;
"frame";1;1719000911297;1719000911297;1719000911358;61;
"system";1;1719000911282;1719000911282;1719000911358;76;
"ImageDisparityDerivative";4;1719000911344;1719000911353;1719000911359;5;
"SuperPixelDetect";2;1719000911311;1719000911314;1719000911365;51;
"ImageDisparity";5;1719000911362;1719000911362;1719000911368;6;
"SuperPixelVisualization";2;1719000911311;1719000911366;1719000911372;6;
"frame";2;1719000911311;1719000911311;1719000911372;61;
"system";2;1719000911298;1719000911298;1719000911372;74;
"ImageDisparityDerivative";5;1719000911362;1719000911369;1719000911375;6;
"SuperPixelDetect";3;1719000911327;1719000911344;1719000911382;37;
"ImageDisparity";6;1719000911379;1719000911379;1719000911382;3;
"SuperPixelVisualization";3;1719000911327;1719000911382;1719000911386;4;
"frame";3;1719000911327;1719000911327;1719000911387;59;
"system";3;1719000911311;1719000911311;1719000911387;75;
"ImageDisparityDerivative";6;1719000911379;1719000911382;1719000911389;7;
"SuperPixelDetect";4;1719000911344;1719000911359;1719000911397;37;
"ImageDisparity";7;1719000911395;1719000911395;1719000911400;5;
"SuperPixelVisualization";4;1719000911345;1719000911397;1719000911403;5;
"frame";4;1719000911344;1719000911344;1719000911403;58;
"system";4;1719000911330;1719000911330;1719000911403;73;
"ImageDisparityDerivative";7;1719000911395;1719000911400;1719000911405;5;
"SuperPixelDetect";5;1719000911362;1719000911375;1719000911413;37;
"ImageDisparity";8;1719000911410;1719000911410;1719000911413;2;
"SuperPixelVisualization";5;1719000911362;1719000911413;1719000911418;4;
"frame";5;1719000911362;1719000911362;1719000911418;55;
"system";5;1719000911346;1719000911346;1719000911418;72;
"ImageDisparityDerivative";8;1719000911410;1719000911413;1719000911419;6;
"SuperPixelDetect";6;1719000911379;1719000911389;1719000911429;39;
"ImageDisparity";9;1719000911426;1719000911426;1719000911429;3;
