name;run_id;time_init;time_start;time_end;duration_ms;
"ImageDisparity";1;1719001935830;1719001935830;1719001935843;12;
"ImageDisparityDerivative";1;1719001935830;1719001935844;1719001935844;0;
"ImageDisparity";2;1719001935844;1719001935844;1719001935847;2;
"ImageDisparityDerivative";2;1719001935844;1719001935847;1719001935847;0;
"ImageDisparity";3;1719001935862;1719001935862;1719001935878;16;
"ImageDisparityDerivative";3;1719001935862;1719001935878;1719001935886;8;
"ImageDisparity";4;1719001935887;1719001935887;1719001935905;17;
"SuperPixelDetect";1;1719001935831;1719001935845;1719001935905;59;
"SuperPixelVisualization";1;1719001935831;1719001935905;1719001935916;10;
"frame";1;1719001935830;1719001935830;1719001935916;85;
"system";1;1719001935816;1719001935816;1719001935916;99;
"ImageDisparityDerivative";4;1719001935888;1719001935905;1719001935918;13;
"ImageDisparity";5;1719001935919;1719001935919;1719001935936;17;
"ImageDisparityDerivative";5;1719001935919;1719001935936;1719001935948;11;
"SuperPixelDetect";2;1719001935844;1719001935847;1719001935955;107;
"ImageDisparity";6;1719001935948;1719001935948;1719001935956;7;
"SuperPixelVisualization";2;1719001935844;1719001935956;1719001935965;9;
"frame";2;1719001935844;1719001935844;1719001935965;121;
"system";2;1719001935831;1719001935831;1719001935965;134;
"ImageDisparityDerivative";6;1719001935948;1719001935956;1719001935966;9;
"ImageDisparity";7;1719001935969;1719001935969;1719001935986;17;
"ImageDisparityDerivative";7;1719001935969;1719001935986;1719001935995;8;
"SuperPixelDetect";3;1719001935862;1719001935887;1719001936006;119;
"ImageDisparity";8;1719001935995;1719001935995;1719001936007;11;
"SuperPixelVisualization";3;1719001935862;1719001936007;1719001936013;6;
"frame";3;1719001935862;1719001935862;1719001936014;152;
"system";3;1719001935845;1719001935845;1719001936014;168;
"ImageDisparityDerivative";8;1719001935995;1719001936007;1719001936020;13;
"ImageDisparity";9;1719001936014;1719001936014;1719001936028;13;
"ImageDisparityDerivative";9;1719001936014;1719001936028;1719001936037;8;
"ImageDisparity";10;1719001936038;1719001936038;1719001936055;17;
"SuperPixelDetect";4;1719001935888;1719001935919;1719001936055;136;
"ImageDisparityDerivative";10;1719001936038;1719001936055;1719001936062;6;
"SuperPixelVisualization";4;1719001935888;1719001936055;1719001936063;7;
"frame";4;1719001935887;1719001935887;1719001936063;175;
"system";4;1719001935867;1719001935867;1719001936063;195;
"ImageDisparity";11;1719001936065;1719001936065;1719001936080;14;
"ImageDisparityDerivative";11;1719001936065;1719001936080;1719001936105;24;
"SuperPixelDetect";5;1719001935919;1719001935948;1719001936105;156;
"SuperPixelVisualization";5;1719001935919;1719001936106;1719001936125;19;
"frame";5;1719001935919;1719001935919;1719001936125;206;
"system";5;1719001935893;1719001935893;1719001936125;232;
"ImageDisparity";12;1719001936093;1719001936105;1719001936126;21;
"ImageDisparityDerivative";12;1719001936105;1719001936126;1719001936135;8;
"SuperPixelDetect";6;1719001935949;1719001935966;1719001936151;184;
"ImageDisparity";13;1719001936135;1719001936135;1719001936151;15;
"SuperPixelVisualization";6;1719001935949;1719001936151;1719001936162;10;
"frame";6;1719001935948;1719001935948;1719001936162;213;
"system";6;1719001935925;1719001935925;1719001936162;237;
"ImageDisparityDerivative";13;1719001936135;1719001936151;1719001936164;13;
"ImageDisparity";14;1719001936162;1719001936162;1719001936178;16;
"ImageDisparityDerivative";14;1719001936162;1719001936179;1719001936192;13;
"ImageDisparity";15;1719001936192;1719001936192;1719001936198;6;
"SuperPixelDetect";7;1719001935969;1719001935995;1719001936199;203;
"SuperPixelVisualization";7;1719001935969;1719001936199;1719001936209;10;
"frame";7;1719001935969;1719001935969;1719001936209;240;
"system";7;1719001935951;1719001935951;1719001936209;258;
