name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718980579131;1718980579131;1718980579132;0;
"ImageOpticalFlow";2;1718980579144;1718980579144;1718980579155;11;
"ImageDisparity";2;1718980579144;1718980579144;1718980579156;12;
"ImageDisparity";1;1718980579131;1718980579131;1718980579157;25;
"ImageOpticalFlow";3;1718980579157;1718980579157;1718980579163;6;
"PlaneSegmentation";1;1718980579131;1718980579157;1718980579165;7;
"ImageDisparity";3;1718980579157;1718980579157;1718980579165;7;
"PlaneSegmentationVisualization";1;1718980579132;1718980579165;1718980579168;3;
"frame";1;1718980579131;1718980579131;1718980579168;37;
"system";1;1718980579118;1718980579118;1718980579168;50;
"ImageDisparity";4;1718980579170;1718980579170;1718980579176;6;
"ImageOpticalFlow";4;1718980579170;1718980579170;1718980579176;6;
"PlaneSegmentation";2;1718980579144;1718980579165;1718980579177;11;
"PlaneSegmentationVisualization";2;1718980579144;1718980579177;1718980579181;3;
"frame";2;1718980579144;1718980579144;1718980579181;36;
"system";2;1718980579132;1718980579132;1718980579181;49;
"PlaneSegmentation";3;1718980579157;1718980579177;1718980579184;7;
"ImageDisparity";5;1718980579183;1718980579183;1718980579190;7;
"ImageOpticalFlow";5;1718980579183;1718980579183;1718980579190;7;
"PlaneSegmentationVisualization";3;1718980579157;1718980579185;1718980579192;7;
"frame";3;1718980579157;1718980579157;1718980579192;35;
"system";3;1718980579145;1718980579145;1718980579192;47;
"PlaneSegmentation";4;1718980579170;1718980579185;1718980579201;16;
"ImageOpticalFlow";6;1718980579196;1718980579196;1718980579202;5;
"ImageDisparity";6;1718980579196;1718980579196;1718980579204;7;
"PlaneSegmentationVisualization";4;1718980579170;1718980579202;1718980579206;3;
"frame";4;1718980579170;1718980579170;1718980579206;35;
"system";4;1718980579158;1718980579158;1718980579206;48;
"PlaneSegmentation";5;1718980579183;1718980579202;1718980579216;14;
"ImageOpticalFlow";7;1718980579214;1718980579214;1718980579221;6;
"ImageDisparity";7;1718980579214;1718980579215;1718980579222;7;
"PlaneSegmentationVisualization";5;1718980579183;1718980579217;1718980579225;7;
"frame";5;1718980579183;1718980579183;1718980579225;41;
"system";5;1718980579170;1718980579170;1718980579225;54;
"PlaneSegmentation";6;1718980579196;1718980579217;1718980579229;12;
