name;run_id;time_init;time_start;time_end;duration_ms;
"ImageDisparity";1;1718888193254;1718888193254;1718888193276;22;
"ImageDisparity";2;1718888193267;1718888193267;1718888193277;9;
"PlaneSegmentation";2;1718888193267;1718888193277;1718888193278;0;
"PlaneSegmentation";1;1718888193254;1718888193277;1718888193278;1;
"PlaneSegmentationVisualization";1;1718888193254;1718888193278;1718888193281;2;
"frame";1;1718888193254;1718888193254;1718888193281;27;
"system";1;1718888193238;1718888193238;1718888193281;43;
"PlaneSegmentationVisualization";2;1718888193268;1718888193278;1718888193281;3;
"frame";2;1718888193267;1718888193267;1718888193282;14;
"system";2;1718888193254;1718888193254;1718888193282;27;
"ImageDisparity";3;1718888193289;1718888193289;1718888193291;2;
"PlaneSegmentation";3;1718888193289;1718888193291;1718888193292;0;
"PlaneSegmentationVisualization";3;1718888193289;1718888193292;1718888193294;1;
"frame";3;1718888193289;1718888193289;1718888193294;5;
"system";3;1718888193268;1718888193268;1718888193294;26;
"ImageDisparity";4;1718888193307;1718888193307;1718888193310;2;
"PlaneSegmentation";4;1718888193307;1718888193310;1718888193310;0;
"PlaneSegmentationVisualization";4;1718888193307;1718888193310;1718888193312;1;
"frame";4;1718888193307;1718888193307;1718888193312;5;
"system";4;1718888193289;1718888193289;1718888193312;23;
"ImageDisparity";5;1718888193326;1718888193326;1718888193329;2;
"PlaneSegmentation";5;1718888193326;1718888193329;1718888193330;0;
"PlaneSegmentationVisualization";5;1718888193326;1718888193330;1718888193332;2;
"frame";5;1718888193326;1718888193326;1718888193332;6;
"system";5;1718888193307;1718888193307;1718888193332;25;
"ImageDisparity";6;1718888193345;1718888193345;1718888193347;2;
"PlaneSegmentation";6;1718888193345;1718888193348;1718888193348;0;
"PlaneSegmentationVisualization";6;1718888193345;1718888193348;1718888193350;2;
"frame";6;1718888193345;1718888193345;1718888193351;6;
"system";6;1718888193326;1718888193326;1718888193351;24;
"ImageDisparity";7;1718888193359;1718888193359;1718888193361;2;
"PlaneSegmentation";7;1718888193359;1718888193361;1718888193362;0;
"PlaneSegmentationVisualization";7;1718888193359;1718888193362;1718888193364;2;
"frame";7;1718888193359;1718888193359;1718888193364;5;
"system";7;1718888193345;1718888193345;1718888193364;19;
"ImageDisparity";8;1718888193375;1718888193375;1718888193378;2;
"PlaneSegmentation";8;1718888193375;1718888193378;1718888193378;0;
"PlaneSegmentationVisualization";8;1718888193375;1718888193379;1718888193380;1;
"frame";8;1718888193375;1718888193375;1718888193381;5;
"system";8;1718888193359;1718888193359;1718888193381;21;
"ImageDisparity";9;1718888193396;1718888193402;1718888193405;3;
"PlaneSegmentation";9;1718888193402;1718888193405;1718888193406;0;
"PlaneSegmentationVisualization";9;1718888193402;1718888193406;1718888193408;1;
"frame";9;1718888193396;1718888193396;1718888193408;12;
"system";9;1718888193376;1718888193376;1718888193408;32;
"ImageDisparity";10;1718888193417;1718888193417;1718888193419;2;
"PlaneSegmentation";10;1718888193417;1718888193420;1718888193420;0;
"PlaneSegmentationVisualization";10;1718888193417;1718888193420;1718888193422;2;
"frame";10;1718888193417;1718888193417;1718888193422;5;
"system";10;1718888193403;1718888193403;1718888193422;19;
"ImageDisparity";11;1718888193438;1718888193438;1718888193442;4;
"PlaneSegmentation";11;1718888193438;1718888193443;1718888193443;0;
"PlaneSegmentationVisualization";11;1718888193438;1718888193443;1718888193445;1;
"frame";11;1718888193438;1718888193438;1718888193445;7;
"system";11;1718888193417;1718888193417;1718888193445;28;
"ImageDisparity";12;1718888193455;1718888193455;1718888193458;2;
"PlaneSegmentation";12;1718888193455;1718888193458;1718888193458;0;
"PlaneSegmentationVisualization";12;1718888193455;1718888193459;1718888193460;1;
"frame";12;1718888193455;1718888193455;1718888193461;5;
"system";12;1718888193438;1718888193438;1718888193461;22;
"ImageDisparity";13;1718888193475;1718888193475;1718888193478;2;
"PlaneSegmentation";13;1718888193475;1718888193478;1718888193478;0;
"PlaneSegmentationVisualization";13;1718888193475;1718888193478;1718888193480;1;
"frame";13;1718888193475;1718888193475;1718888193480;5;
"system";13;1718888193455;1718888193455;1718888193480;24;
"ImageDisparity";14;1718888193493;1718888193493;1718888193496;2;
"PlaneSegmentation";14;1718888193493;1718888193496;1718888193496;0;
"PlaneSegmentationVisualization";14;1718888193493;1718888193496;1718888193499;2;
"frame";14;1718888193493;1718888193493;1718888193499;6;
"system";14;1718888193475;1718888193475;1718888193499;23;
"ImageDisparity";15;1718888193509;1718888193509;1718888193512;2;
"PlaneSegmentation";15;1718888193509;1718888193512;1718888193513;0;
"PlaneSegmentationVisualization";15;1718888193509;1718888193513;1718888193515;2;
"frame";15;1718888193509;1718888193509;1718888193515;5;
"system";15;1718888193493;1718888193493;1718888193515;22;
"ImageDisparity";16;1718888193527;1718888193527;1718888193530;3;
"PlaneSegmentation";16;1718888193527;1718888193531;1718888193531;0;
"PlaneSegmentationVisualization";16;1718888193527;1718888193531;1718888193534;2;
"frame";16;1718888193527;1718888193527;1718888193534;6;
"system";16;1718888193510;1718888193510;1718888193534;24;
"ImageDisparity";17;1718888193544;1718888193544;1718888193547;3;
"PlaneSegmentation";17;1718888193544;1718888193547;1718888193547;0;
"PlaneSegmentationVisualization";17;1718888193544;1718888193547;1718888193550;2;
"frame";17;1718888193544;1718888193544;1718888193550;6;
"system";17;1718888193527;1718888193527;1718888193550;22;
"ImageDisparity";18;1718888193563;1718888193563;1718888193566;3;
"PlaneSegmentation";18;1718888193563;1718888193567;1718888193567;0;
"PlaneSegmentationVisualization";18;1718888193563;1718888193567;1718888193570;2;
"frame";18;1718888193563;1718888193563;1718888193570;6;
"system";18;1718888193544;1718888193544;1718888193570;25;
"ImageDisparity";19;1718888193583;1718888193583;1718888193586;3;
"PlaneSegmentation";19;1718888193583;1718888193586;1718888193586;0;
"PlaneSegmentationVisualization";19;1718888193583;1718888193586;1718888193589;2;
"frame";19;1718888193583;1718888193583;1718888193589;6;
"system";19;1718888193564;1718888193564;1718888193589;25;
"ImageDisparity";20;1718888193603;1718888193603;1718888193606;3;
"PlaneSegmentation";20;1718888193603;1718888193606;1718888193607;0;
"PlaneSegmentationVisualization";20;1718888193603;1718888193607;1718888193609;1;
"frame";20;1718888193603;1718888193603;1718888193609;6;
"system";20;1718888193583;1718888193583;1718888193609;26;
"ImageDisparity";21;1718888193616;1718888193616;1718888193618;2;
"PlaneSegmentation";21;1718888193616;1718888193619;1718888193619;0;
"PlaneSegmentationVisualization";21;1718888193616;1718888193619;1718888193621;1;
"frame";21;1718888193616;1718888193616;1718888193621;4;
"system";21;1718888193603;1718888193603;1718888193621;17;
"ImageDisparity";22;1718888193634;1718888193634;1718888193636;2;
"PlaneSegmentation";22;1718888193634;1718888193637;1718888193637;0;
"PlaneSegmentationVisualization";22;1718888193634;1718888193637;1718888193639;1;
"frame";22;1718888193634;1718888193634;1718888193639;5;
"system";22;1718888193616;1718888193616;1718888193639;23;
"ImageDisparity";23;1718888193649;1718888193649;1718888193652;2;
"PlaneSegmentation";23;1718888193649;1718888193652;1718888193653;0;
"PlaneSegmentationVisualization";23;1718888193649;1718888193653;1718888193655;1;
"frame";23;1718888193649;1718888193649;1718888193655;5;
"system";23;1718888193634;1718888193634;1718888193655;21;
"ImageDisparity";24;1718888193665;1718888193665;1718888193668;2;
"PlaneSegmentation";24;1718888193665;1718888193668;1718888193668;0;
"PlaneSegmentationVisualization";24;1718888193665;1718888193668;1718888193670;1;
"frame";24;1718888193665;1718888193665;1718888193670;4;
"system";24;1718888193650;1718888193650;1718888193670;20;
"ImageDisparity";25;1718888193679;1718888193679;1718888193681;2;
"PlaneSegmentation";25;1718888193679;1718888193682;1718888193682;0;
"PlaneSegmentationVisualization";25;1718888193679;1718888193682;1718888193684;2;
"frame";25;1718888193679;1718888193679;1718888193684;5;
"system";25;1718888193666;1718888193666;1718888193684;18;
"ImageDisparity";26;1718888193694;1718888193694;1718888193696;2;
"PlaneSegmentation";26;1718888193694;1718888193697;1718888193697;0;
"PlaneSegmentationVisualization";26;1718888193694;1718888193697;1718888193699;1;
"frame";26;1718888193694;1718888193694;1718888193699;5;
"system";26;1718888193679;1718888193679;1718888193699;19;
"ImageDisparity";27;1718888193712;1718888193712;1718888193715;2;
"PlaneSegmentation";27;1718888193712;1718888193716;1718888193716;0;
"PlaneSegmentationVisualization";27;1718888193712;1718888193716;1718888193718;2;
"frame";27;1718888193712;1718888193712;1718888193718;6;
"system";27;1718888193694;1718888193694;1718888193718;24;
"ImageDisparity";28;1718888193725;1718888193725;1718888193728;2;
"PlaneSegmentation";28;1718888193725;1718888193728;1718888193728;0;
"PlaneSegmentationVisualization";28;1718888193725;1718888193728;1718888193730;2;
"frame";28;1718888193725;1718888193725;1718888193731;5;
"system";28;1718888193713;1718888193713;1718888193731;17;
"ImageDisparity";29;1718888193744;1718888193744;1718888193747;2;
"PlaneSegmentation";29;1718888193744;1718888193747;1718888193747;0;
"PlaneSegmentationVisualization";29;1718888193744;1718888193748;1718888193750;2;
"frame";29;1718888193744;1718888193744;1718888193750;6;
"system";29;1718888193726;1718888193726;1718888193750;24;
"ImageDisparity";30;1718888193766;1718888193766;1718888193768;2;
"PlaneSegmentation";30;1718888193766;1718888193769;1718888193769;0;
"PlaneSegmentationVisualization";30;1718888193766;1718888193769;1718888193771;2;
"frame";30;1718888193766;1718888193766;1718888193771;5;
"system";30;1718888193744;1718888193744;1718888193771;27;
