name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718895034706;1718895034706;1718895034706;0;
"ImageDisparity";1;1718895034706;1718895034706;1718895034718;11;
"ImageDisparityDerivative";1;1718895034706;1718895034718;1718895034720;1;
"Depth";1;1718895034706;1718895034718;1718895034726;8;
"ImageDisparity";2;1718895034748;1718895034748;1718895034766;18;
"Depth";2;1718895034748;1718895034767;1718895034779;12;
"ImageDisparityDerivative";2;1718895034748;1718895034767;1718895034782;15;
"ImageDisparity";3;1718895034782;1718895034782;1718895034802;19;
"SuperPixelDetect";1;1718895034705;1718895034720;1718895034802;82;
"ImageOpticalFlow";2;1718895034748;1718895034748;1718895034826;77;
"Depth";3;1718895034782;1718895034802;1718895034832;29;
"ImageDisparityDerivative";3;1718895034782;1718895034802;1718895034848;45;
"SuperPixelDetect";2;1718895034748;1718895034782;1718895034858;75;
"ImageDisparity";4;1718895034830;1718895034830;1718895034858;28;
"ImageOpticalFlow";3;1718895034782;1718895034782;1718895034859;77;
"Depth";4;1718895034830;1718895034860;1718895034894;34;
"SuperPixelPlaneCluster";1;1718895034706;1718895034802;1718895034898;95;
"ImageDisparityDerivative";4;1718895034830;1718895034859;1718895034904;45;
"ImageOpticalFlow";4;1718895034829;1718895034829;1718895034908;78;
"SuperPixelPlaneFitVisualization";1;1718895034706;1718895034899;1718895034913;13;
"ImageDisparity";5;1718895034889;1718895034889;1718895034913;23;
"frame";1;1718895034705;1718895034705;1718895034913;207;
"system";1;1718895034692;1718895034692;1718895034913;220;
"SuperPixelDetect";3;1718895034782;1718895034848;1718895034918;69;
"ImageOpticalFlow";5;1718895034889;1718895034889;1718895034919;29;
"SuperPixelPlaneCluster";2;1718895034748;1718895034859;1718895034939;79;
"Depth";5;1718895034889;1718895034913;1718895034941;27;
"ImageDisparityDerivative";5;1718895034889;1718895034913;1718895034953;39;
"SuperPixelPlaneFitVisualization";2;1718895034748;1718895034939;1718895034963;24;
"frame";2;1718895034748;1718895034748;1718895034963;215;
"system";2;1718895034707;1718895034707;1718895034963;256;
"ImageDisparity";6;1718895034948;1718895034948;1718895034966;17;
"ImageOpticalFlow";6;1718895034948;1718895034948;1718895034971;23;
"Depth";6;1718895034948;1718895034967;1718895034971;4;
"SuperPixelDetect";4;1718895034829;1718895034905;1718895034971;66;
"ImageDisparityDerivative";6;1718895034948;1718895034968;1718895034972;4;
"SuperPixelPlaneCluster";3;1718895034782;1718895034918;1718895035001;82;
"ImageOpticalFlow";7;1718895034998;1718895034998;1718895035017;19;
"ImageDisparity";7;1718895034998;1718895034998;1718895035019;21;
"SuperPixelPlaneFitVisualization";3;1718895034782;1718895035001;1718895035022;20;
"frame";3;1718895034782;1718895034782;1718895035022;239;
"system";3;1718895034754;1718895034754;1718895035022;267;
"Depth";7;1718895034998;1718895035019;1718895035025;5;
"ImageDisparityDerivative";7;1718895034998;1718895035019;1718895035025;5;
"SuperPixelDetect";5;1718895034889;1718895034953;1718895035025;71;
"SuperPixelPlaneCluster";4;1718895034830;1718895034972;1718895035054;82;
"SuperPixelPlaneFitVisualization";4;1718895034830;1718895035069;1718895035082;12;
"frame";4;1718895034829;1718895034829;1718895035082;252;
"system";4;1718895034791;1718895034791;1718895035082;291;
"ImageOpticalFlow";8;1718895035050;1718895035051;1718895035082;31;
"SuperPixelDetect";6;1718895034948;1718895034972;1718895035083;111;
"ImageDisparity";8;1718895035051;1718895035052;1718895035105;53;
"SuperPixelPlaneCluster";5;1718895034890;1718895035026;1718895035108;82;
"ImageDisparityDerivative";8;1718895035052;1718895035106;1718895035121;14;
"Depth";8;1718895035054;1718895035106;1718895035136;30;
"SuperPixelPlaneFitVisualization";5;1718895034890;1718895035108;1718895035137;28;
"frame";5;1718895034889;1718895034889;1718895035137;247;
"system";5;1718895034843;1718895034843;1718895035137;293;
"SuperPixelDetect";7;1718895034998;1718895035025;1718895035138;113;
"ImageOpticalFlow";9;1718895035116;1718895035116;1718895035139;22;
"SuperPixelPlaneCluster";6;1718895034948;1718895035083;1718895035159;76;
"ImageDisparity";9;1718895035116;1718895035116;1718895035161;44;
"ImageDisparityDerivative";9;1718895035116;1718895035161;1718895035178;17;
"SuperPixelPlaneFitVisualization";6;1718895034948;1718895035159;1718895035182;22;
"frame";6;1718895034948;1718895034948;1718895035182;234;
"system";6;1718895034900;1718895034900;1718895035182;281;
"Depth";9;1718895035116;1718895035161;1718895035185;24;
"SuperPixelDetect";8;1718895035049;1718895035121;1718895035191;69;
"ImageOpticalFlow";10;1718895035178;1718895035178;1718895035191;12;
"ImageDisparity";10;1718895035178;1718895035179;1718895035191;12;
"SuperPixelPlaneCluster";7;1718895034998;1718895035139;1718895035213;74;
"Depth";10;1718895035179;1718895035191;1718895035227;36;
"ImageDisparityDerivative";10;1718895035179;1718895035191;1718895035238;46;
"SuperPixelPlaneFitVisualization";7;1718895034998;1718895035214;1718895035246;32;
"frame";7;1718895034997;1718895034997;1718895035246;248;
"system";7;1718895034958;1718895034958;1718895035246;287;
"ImageOpticalFlow";11;1718895035222;1718895035222;1718895035246;24;
"SuperPixelDetect";9;1718895035116;1718895035178;1718895035246;67;
"SuperPixelPlaneCluster";8;1718895035055;1718895035191;1718895035262;71;
"ImageDisparity";11;1718895035222;1718895035222;1718895035271;48;
"SuperPixelPlaneFitVisualization";8;1718895035067;1718895035262;1718895035285;22;
"frame";8;1718895035049;1718895035049;1718895035285;235;
"system";8;1718895035003;1718895035003;1718895035285;281;
"ImageDisparityDerivative";11;1718895035222;1718895035271;1718895035292;21;
"Depth";11;1718895035222;1718895035271;1718895035293;21;
"SuperPixelDetect";10;1718895035178;1718895035238;1718895035304;66;
"ImageOpticalFlow";12;1718895035285;1718895035285;1718895035305;19;
"ImageDisparity";12;1718895035285;1718895035285;1718895035305;20;
"SuperPixelPlaneCluster";9;1718895035116;1718895035246;1718895035323;76;
"ImageDisparityDerivative";12;1718895035285;1718895035306;1718895035343;37;
"Depth";12;1718895035285;1718895035306;1718895035346;40;
"SuperPixelPlaneFitVisualization";9;1718895035116;1718895035323;1718895035354;31;
"frame";9;1718895035116;1718895035116;1718895035354;238;
"system";9;1718895035072;1718895035072;1718895035354;281;
"ImageDisparity";13;1718895035331;1718895035331;1718895035356;25;
"ImageOpticalFlow";13;1718895035331;1718895035331;1718895035357;25;
"SuperPixelDetect";11;1718895035222;1718895035293;1718895035357;64;
"SuperPixelPlaneCluster";10;1718895035179;1718895035304;1718895035376;71;
"ImageDisparityDerivative";13;1718895035331;1718895035357;1718895035386;29;
"Depth";13;1718895035331;1718895035357;1718895035392;35;
"SuperPixelPlaneFitVisualization";10;1718895035179;1718895035376;1718895035394;17;
"frame";10;1718895035178;1718895035178;1718895035394;216;
"system";10;1718895035137;1718895035137;1718895035394;257;
"ImageDisparity";14;1718895035389;1718895035389;1718895035410;20;
"ImageOpticalFlow";14;1718895035389;1718895035389;1718895035410;21;
"SuperPixelDetect";12;1718895035285;1718895035344;1718895035410;66;
"SuperPixelPlaneCluster";11;1718895035222;1718895035357;1718895035432;74;
"Depth";14;1718895035389;1718895035410;1718895035444;33;
"ImageDisparityDerivative";14;1718895035389;1718895035410;1718895035455;45;
"SuperPixelPlaneFitVisualization";11;1718895035222;1718895035432;1718895035462;29;
"frame";11;1718895035222;1718895035222;1718895035462;240;
"system";11;1718895035183;1718895035183;1718895035462;279;
"ImageOpticalFlow";15;1718895035439;1718895035439;1718895035464;25;
"SuperPixelDetect";13;1718895035331;1718895035386;1718895035464;78;
"ImageDisparity";15;1718895035439;1718895035439;1718895035464;25;
"SuperPixelPlaneCluster";12;1718895035286;1718895035410;1718895035482;71;
"Depth";15;1718895035439;1718895035464;1718895035508;43;
"ImageDisparityDerivative";15;1718895035439;1718895035464;1718895035510;45;
"SuperPixelPlaneFitVisualization";12;1718895035286;1718895035482;1718895035512;29;
"frame";12;1718895035285;1718895035285;1718895035512;226;
"system";12;1718895035238;1718895035238;1718895035512;274;
"ImageDisparity";16;1718895035493;1718895035493;1718895035519;26;
"ImageOpticalFlow";16;1718895035493;1718895035493;1718895035519;26;
"SuperPixelDetect";14;1718895035389;1718895035456;1718895035519;63;
"ImageDisparityDerivative";16;1718895035493;1718895035520;1718895035551;31;
"SuperPixelPlaneCluster";13;1718895035331;1718895035464;1718895035552;87;
"ImageDisparity";17;1718895035547;1718895035547;1718895035568;21;
"Depth";16;1718895035493;1718895035520;1718895035569;48;
"ImageOpticalFlow";17;1718895035547;1718895035547;1718895035571;23;
"SuperPixelPlaneFitVisualization";13;1718895035331;1718895035552;1718895035573;21;
"frame";13;1718895035331;1718895035331;1718895035574;242;
"system";13;1718895035293;1718895035293;1718895035574;280;
