name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718893367194;1718893367195;1718893367195;0;
"ImageDisparity";1;1718893367195;1718893367195;1718893367208;12;
"ImageDisparityDerivative";1;1718893367195;1718893367208;1718893367209;0;
"Depth";1;1718893367195;1718893367208;1718893367213;4;
"ImageDisparity";2;1718893367215;1718893367215;1718893367246;30;
"ImageDisparity";3;1718893367236;1718893367237;1718893367268;31;
"Depth";2;1718893367215;1718893367246;1718893367276;30;
"ImageDisparityDerivative";2;1718893367215;1718893367246;1718893367277;30;
"Depth";3;1718893367237;1718893367268;1718893367297;28;
"ImageDisparity";4;1718893367274;1718893367274;1718893367300;25;
"ImageDisparityDerivative";3;1718893367237;1718893367268;1718893367300;31;
"SuperPixelDetect";1;1718893367194;1718893367209;1718893367305;96;
"ImageOpticalFlow";2;1718893367215;1718893367215;1718893367305;90;
"Depth";4;1718893367274;1718893367300;1718893367306;5;
"ImageDisparityDerivative";4;1718893367274;1718893367300;1718893367339;39;
"ImageDisparity";5;1718893367334;1718893367334;1718893367371;37;
"ImageOpticalFlow";3;1718893367236;1718893367236;1718893367371;134;
"SuperPixelDetect";2;1718893367215;1718893367277;1718893367375;97;
"ImageOpticalFlow";4;1718893367274;1718893367274;1718893367378;103;
"ImageOpticalFlow";5;1718893367334;1718893367334;1718893367408;73;
"Depth";5;1718893367334;1718893367375;1718893367418;43;
"ImageDisparityDerivative";5;1718893367334;1718893367374;1718893367428;53;
"ImageDisparity";6;1718893367375;1718893367376;1718893367429;53;
"SuperPixelDetect";3;1718893367236;1718893367300;1718893367435;134;
"ImageOpticalFlow";6;1718893367375;1718893367376;1718893367457;81;
"PlaneFit";1;1718893367195;1718893367305;1718893367469;163;
"Depth";6;1718893367375;1718893367430;1718893367488;58;
"ImageDisparityDerivative";6;1718893367375;1718893367430;1718893367493;63;
"SuperPixelPlaneFitVisualization";1;1718893367195;1718893367469;1718893367493;23;
"frame";1;1718893367194;1718893367194;1718893367493;298;
"system";1;1718893367180;1718893367180;1718893367493;312;
"ImageDisparity";7;1718893367460;1718893367460;1718893367499;38;
"PlaneFit";2;1718893367215;1718893367385;1718893367500;115;
"ImageOpticalFlow";7;1718893367460;1718893367460;1718893367522;62;
"SuperPixelDetect";4;1718893367274;1718893367340;1718893367549;209;
"PlaneFit";3;1718893367237;1718893367435;1718893367550;115;
"ImageDisparityDerivative";7;1718893367460;1718893367499;1718893367550;51;
"SuperPixelPlaneFitVisualization";2;1718893367215;1718893367500;1718893367553;53;
"frame";2;1718893367215;1718893367215;1718893367553;338;
"system";2;1718893367196;1718893367196;1718893367553;357;
"SuperPixelDetect";5;1718893367334;1718893367428;1718893367559;130;
"Depth";7;1718893367460;1718893367499;1718893367559;59;
"SuperPixelPlaneFitVisualization";3;1718893367237;1718893367550;1718893367560;9;
"frame";3;1718893367236;1718893367236;1718893367560;323;
"system";3;1718893367216;1718893367216;1718893367560;344;
"ImageOpticalFlow";8;1718893367551;1718893367551;1718893367560;9;
"ImageDisparity";8;1718893367551;1718893367551;1718893367590;39;
"ImageOpticalFlow";9;1718893367591;1718893367591;1718893367614;23;
"ImageDisparityDerivative";8;1718893367551;1718893367591;1718893367614;23;
"SuperPixelDetect";6;1718893367375;1718893367493;1718893367620;127;
"Depth";8;1718893367551;1718893367591;1718893367620;29;
"ImageDisparity";9;1718893367591;1718893367591;1718893367665;73;
"SuperPixelDetect";7;1718893367460;1718893367550;1718893367672;121;
"PlaneFit";4;1718893367274;1718893367549;1718893367672;123;
"ImageDisparityDerivative";9;1718893367591;1718893367666;1718893367673;7;
"PlaneFit";5;1718893367334;1718893367559;1718893367673;114;
"Depth";9;1718893367591;1718893367665;1718893367708;42;
"ImageDisparity";10;1718893367672;1718893367672;1718893367711;39;
"ImageOpticalFlow";10;1718893367671;1718893367671;1718893367720;48;
"SuperPixelPlaneFitVisualization";4;1718893367274;1718893367673;1718893367726;52;
"frame";4;1718893367274;1718893367274;1718893367726;452;
"system";4;1718893367246;1718893367246;1718893367726;480;
"SuperPixelPlaneFitVisualization";5;1718893367334;1718893367674;1718893367732;58;
"frame";5;1718893367334;1718893367334;1718893367732;398;
"system";5;1718893367297;1718893367297;1718893367732;435;
"Depth";10;1718893367672;1718893367711;1718893367733;21;
"ImageDisparityDerivative";10;1718893367672;1718893367711;1718893367733;21;
"SuperPixelDetect";8;1718893367551;1718893367621;1718893367734;113;
"PlaneFit";6;1718893367375;1718893367621;1718893367734;112;
"ImageDisparity";11;1718893367733;1718893367733;1718893367762;28;
"ImageOpticalFlow";11;1718893367733;1718893367733;1718893367769;36;
"SuperPixelPlaneFitVisualization";6;1718893367376;1718893367734;1718893367772;38;
"frame";6;1718893367375;1718893367375;1718893367773;397;
"system";6;1718893367345;1718893367345;1718893367773;427;
"ImageDisparityDerivative";11;1718893367733;1718893367762;1718893367779;16;
"Depth";11;1718893367733;1718893367762;1718893367790;28;
"SuperPixelDetect";9;1718893367591;1718893367674;1718893367791;117;
"PlaneFit";7;1718893367460;1718893367672;1718893367837;164;
"SuperPixelPlaneFitVisualization";7;1718893367460;1718893367837;1718893367851;14;
"frame";7;1718893367460;1718893367460;1718893367851;391;
"system";7;1718893367399;1718893367399;1718893367851;452;
"ImageOpticalFlow";12;1718893367836;1718893367837;1718893367852;15;
