name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718891025744;1718891025744;1718891025745;0;
"ImageDisparity";1;1718891025744;1718891025744;1718891025758;13;
"ImageDisparityDerivative";1;1718891025744;1718891025758;1718891025760;1;
"ImageDisparity";2;1718891025760;1718891025760;1718891025764;3;
"Depth";1;1718891025745;1718891025758;1718891025765;6;
"ImageDisparityDerivative";2;1718891025760;1718891025764;1718891025765;0;
"Depth";2;1718891025760;1718891025764;1718891025765;0;
"ImageOpticalFlow";2;1718891025760;1718891025760;1718891025790;30;
"ImageDisparity";3;1718891025791;1718891025791;1718891025808;16;
"ImageDisparityDerivative";3;1718891025791;1718891025808;1718891025823;15;
"Depth";3;1718891025791;1718891025808;1718891025827;18;
"ImageOpticalFlow";3;1718891025791;1718891025791;1718891025829;38;
"ImageDisparity";4;1718891025830;1718891025830;1718891025850;20;
"ImageOpticalFlow";4;1718891025830;1718891025830;1718891025858;28;
"Depth";4;1718891025830;1718891025850;1718891025858;7;
"ImageDisparityDerivative";4;1718891025830;1718891025850;1718891025858;7;
"SuperPixelDetect";1;1718891025744;1718891025760;1718891025858;98;
"SPPlaneSegmentation";1;1718891025745;1718891025859;1718891025891;32;
"ImageDisparity";5;1718891025881;1718891025881;1718891025898;16;
"SuperPixelDetect";2;1718891025760;1718891025765;1718891025901;136;
"ImageDisparityDerivative";5;1718891025881;1718891025898;1718891025931;32;
"Depth";5;1718891025881;1718891025898;1718891025932;33;
"PlaneSegmentationVisualization";1;1718891025745;1718891025892;1718891025932;40;
"PlaneSegmentationBEVVisualization";1;1718891025745;1718891025892;1718891025935;43;
"frame";1;1718891025744;1718891025744;1718891025935;190;
"system";1;1718891025730;1718891025730;1718891025935;205;
"ImageOpticalFlow";5;1718891025881;1718891025881;1718891025943;61;
"SPPlaneSegmentation";2;1718891025760;1718891025902;1718891025945;42;
"SuperPixelDetect";3;1718891025791;1718891025824;1718891025951;127;
"ImageOpticalFlow";6;1718891025935;1718891025935;1718891025952;16;
"ImageDisparity";6;1718891025935;1718891025935;1718891025953;18;
"PlaneSegmentationBEVVisualization";2;1718891025760;1718891025945;1718891025984;38;
"PlaneSegmentationVisualization";2;1718891025760;1718891025945;1718891025988;42;
"frame";2;1718891025760;1718891025760;1718891025988;228;
"system";2;1718891025745;1718891025745;1718891025988;242;
"Depth";6;1718891025935;1718891025953;1718891025994;40;
"SPPlaneSegmentation";3;1718891025791;1718891025951;1718891025998;47;
"ImageDisparityDerivative";6;1718891025935;1718891025953;1718891025999;45;
"SuperPixelDetect";4;1718891025830;1718891025858;1718891025999;140;
"ImageDisparity";7;1718891025988;1718891025988;1718891026021;32;
"ImageOpticalFlow";7;1718891025988;1718891025988;1718891026026;37;
"Depth";7;1718891025988;1718891026021;1718891026041;19;
"PlaneSegmentationBEVVisualization";3;1718891025791;1718891026012;1718891026041;28;
"SuperPixelDetect";5;1718891025881;1718891025931;1718891026064;133;
"ImageDisparityDerivative";7;1718891025988;1718891026021;1718891026067;46;
"PlaneSegmentationVisualization";3;1718891025791;1718891026012;1718891026073;60;
"frame";3;1718891025791;1718891025791;1718891026073;282;
"system";3;1718891025761;1718891025761;1718891026074;312;
"ImageDisparity";8;1718891026032;1718891026032;1718891026077;44;
"ImageOpticalFlow";8;1718891026032;1718891026032;1718891026079;47;
"Depth";8;1718891026032;1718891026077;1718891026091;13;
"ImageDisparityDerivative";8;1718891026032;1718891026077;1718891026091;14;
"SuperPixelDetect";6;1718891025935;1718891026012;1718891026096;83;
"ImageOpticalFlow";9;1718891026080;1718891026080;1718891026097;17;
"SPPlaneSegmentation";4;1718891025830;1718891026013;1718891026097;84;
"ImageDisparity";9;1718891026080;1718891026080;1718891026123;43;
"PlaneSegmentationVisualization";4;1718891025830;1718891026098;1718891026142;44;
"PlaneSegmentationBEVVisualization";4;1718891025830;1718891026098;1718891026143;44;
"SPPlaneSegmentation";5;1718891025881;1718891026098;1718891026143;44;
"Depth";9;1718891026080;1718891026124;1718891026143;19;
"ImageDisparityDerivative";9;1718891026080;1718891026124;1718891026143;19;
