name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718021370341;1718021370341;1718021370341;0;
"ZEDImageDisparity";1;1718021370341;1718021370341;1718021370342;0;
"ImageDisparityDerivative";1;1718021370341;1718021370342;1718021370343;1;
"Depth";1;1718021370341;1718021370342;1718021370349;7;
"ZEDImageDisparity";2;1718021370357;1718021370357;1718021370397;39;
"Depth";2;1718021370357;1718021370397;1718021370410;12;
"ImageDisparityDerivative";2;1718021370357;1718021370397;1718021370413;15;
"ImageOpticalFlow";2;1718021370357;1718021370357;1718021370464;106;
"SuperPixelDetect";1;1718021370341;1718021370344;1718021370464;119;
"SPPlaneSegmentation";1;1718021370341;1718021370464;1718021370517;53;
"frame";1;1718021370341;1718021370341;1718021370518;177;
"ZEDImageDisparity";3;1718021370506;1718021370506;1718021370520;13;
"SuperPixelDetect";2;1718021370357;1718021370413;1718021370525;112;
"ImageDisparityDerivative";3;1718021370506;1718021370520;1718021370525;5;
"Depth";3;1718021370506;1718021370520;1718021370525;5;
"ImageOpticalFlow";3;1718021370505;1718021370506;1718021370565;59;
"SPPlaneSegmentation";2;1718021370358;1718021370526;1718021370577;51;
"frame";2;1718021370357;1718021370357;1718021370577;220;
"SuperPixelDetect";3;1718021370505;1718021370526;1718021370588;62;
"ZEDImageDisparity";4;1718021370589;1718021370589;1718021370590;0;
"SPPlaneSegmentation";3;1718021370506;1718021370589;1718021370590;1;
"frame";3;1718021370505;1718021370505;1718021370591;85;
"ImageDisparityDerivative";4;1718021370589;1718021370590;1718021370599;9;
"Depth";4;1718021370589;1718021370590;1718021370600;9;
"ImageOpticalFlow";4;1718021370589;1718021370589;1718021370600;10;
"SuperPixelDetect";4;1718021370589;1718021370600;1718021370658;57;
"ZEDImageDisparity";5;1718021370658;1718021370658;1718021370659;0;
"SPPlaneSegmentation";4;1718021370589;1718021370658;1718021370660;1;
"frame";4;1718021370589;1718021370589;1718021370660;71;
"Depth";5;1718021370659;1718021370660;1718021370669;9;
"ImageDisparityDerivative";5;1718021370659;1718021370660;1718021370669;9;
"ImageOpticalFlow";5;1718021370658;1718021370658;1718021370669;11;
"SuperPixelDetect";5;1718021370658;1718021370670;1718021370728;57;
"ZEDImageDisparity";6;1718021370728;1718021370729;1718021370729;0;
"SPPlaneSegmentation";5;1718021370659;1718021370728;1718021370729;1;
"frame";5;1718021370658;1718021370658;1718021370730;71;
"ImageOpticalFlow";6;1718021370728;1718021370728;1718021370739;10;
"ImageDisparityDerivative";6;1718021370729;1718021370730;1718021370739;9;
"Depth";6;1718021370729;1718021370730;1718021370739;9;
"SuperPixelDetect";6;1718021370728;1718021370739;1718021370797;58;
"ZEDImageDisparity";7;1718021370798;1718021370798;1718021370799;0;
"SPPlaneSegmentation";6;1718021370729;1718021370798;1718021370808;10;
"ImageOpticalFlow";7;1718021370798;1718021370798;1718021370809;10;
"frame";6;1718021370728;1718021370728;1718021370809;80;
"ImageDisparityDerivative";7;1718021370798;1718021370800;1718021370810;10;
"Depth";7;1718021370798;1718021370800;1718021370810;10;
"SuperPixelDetect";7;1718021370798;1718021370810;1718021370864;54;
"SPPlaneSegmentation";7;1718021370798;1718021370865;1718021370866;1;
"ZEDImageDisparity";8;1718021370866;1718021370866;1718021370867;0;
"frame";7;1718021370798;1718021370798;1718021370867;69;
"Depth";8;1718021370866;1718021370867;1718021370876;9;
"ImageOpticalFlow";8;1718021370865;1718021370866;1718021370877;11;
"ImageDisparityDerivative";8;1718021370866;1718021370867;1718021370877;9;
"SuperPixelDetect";8;1718021370865;1718021370877;1718021370933;56;
"SPPlaneSegmentation";8;1718021370866;1718021370934;1718021370935;1;
"ZEDImageDisparity";9;1718021370934;1718021370935;1718021370935;0;
"frame";8;1718021370865;1718021370865;1718021370936;70;
"ImageOpticalFlow";9;1718021370934;1718021370934;1718021370945;10;
"ImageDisparityDerivative";9;1718021370935;1718021370936;1718021370945;8;
"Depth";9;1718021370935;1718021370936;1718021370945;9;
"SuperPixelDetect";9;1718021370934;1718021370945;1718021371003;58;
"ZEDImageDisparity";10;1718021371004;1718021371004;1718021371005;0;
"SPPlaneSegmentation";9;1718021370935;1718021371004;1718021371005;1;
"frame";9;1718021370934;1718021370934;1718021371006;71;
"ImageOpticalFlow";10;1718021371004;1718021371004;1718021371015;10;
"Depth";10;1718021371004;1718021371005;1718021371015;9;
"ImageDisparityDerivative";10;1718021371004;1718021371006;1718021371016;9;
"SuperPixelDetect";10;1718021371004;1718021371016;1718021371072;56;
"SPPlaneSegmentation";10;1718021371005;1718021371073;1718021371074;1;
"ZEDImageDisparity";11;1718021371073;1718021371073;1718021371074;0;
"frame";10;1718021371004;1718021371004;1718021371074;70;
"ImageOpticalFlow";11;1718021371073;1718021371073;1718021371084;10;
"ImageDisparityDerivative";11;1718021371073;1718021371075;1718021371084;8;
"Depth";11;1718021371074;1718021371075;1718021371084;9;
"SuperPixelDetect";11;1718021371073;1718021371084;1718021371142;58;
"ZEDImageDisparity";12;1718021371143;1718021371143;1718021371144;0;
"SPPlaneSegmentation";11;1718021371074;1718021371143;1718021371154;10;
"frame";11;1718021371073;1718021371073;1718021371154;81;
"ImageOpticalFlow";12;1718021371143;1718021371143;1718021371155;11;
"ImageDisparityDerivative";12;1718021371143;1718021371145;1718021371155;10;
"Depth";12;1718021371143;1718021371144;1718021371155;10;
"SuperPixelDetect";12;1718021371143;1718021371156;1718021371212;56;
"ZEDImageDisparity";13;1718021371213;1718021371213;1718021371214;0;
"SPPlaneSegmentation";12;1718021371143;1718021371213;1718021371223;10;
"frame";12;1718021371143;1718021371143;1718021371224;80;
"ImageOpticalFlow";13;1718021371213;1718021371213;1718021371224;10;
"Depth";13;1718021371213;1718021371214;1718021371224;9;
"ImageDisparityDerivative";13;1718021371213;1718021371214;1718021371224;9;
"SuperPixelDetect";13;1718021371213;1718021371225;1718021371286;60;
"ZEDImageDisparity";14;1718021371286;1718021371286;1718021371287;0;
"SPPlaneSegmentation";13;1718021371213;1718021371286;1718021371288;1;
"frame";13;1718021371213;1718021371213;1718021371288;75;
"ImageOpticalFlow";14;1718021371286;1718021371286;1718021371297;10;
"ImageDisparityDerivative";14;1718021371286;1718021371288;1718021371297;9;
"Depth";14;1718021371287;1718021371288;1718021371297;9;
"SuperPixelDetect";14;1718021371286;1718021371297;1718021371357;59;
"ZEDImageDisparity";15;1718021371358;1718021371358;1718021371359;0;
"SPPlaneSegmentation";14;1718021371287;1718021371358;1718021371368;10;
"frame";14;1718021371286;1718021371286;1718021371369;82;
"ImageOpticalFlow";15;1718021371358;1718021371358;1718021371369;10;
"Depth";15;1718021371358;1718021371359;1718021371370;10;
"ImageDisparityDerivative";15;1718021371358;1718021371360;1718021371370;10;
"SuperPixelDetect";15;1718021371358;1718021371370;1718021371430;60;
"ZEDImageDisparity";16;1718021371430;1718021371431;1718021371431;0;
"SPPlaneSegmentation";15;1718021371358;1718021371431;1718021371441;10;
"ImageOpticalFlow";16;1718021371430;1718021371430;1718021371441;11;
"frame";15;1718021371358;1718021371358;1718021371441;83;
"ImageDisparityDerivative";16;1718021371431;1718021371432;1718021371442;10;
"Depth";16;1718021371431;1718021371432;1718021371442;10;
"SuperPixelDetect";16;1718021371430;1718021371442;1718021371500;57;
"ZEDImageDisparity";17;1718021371500;1718021371501;1718021371501;0;
"SPPlaneSegmentation";16;1718021371431;1718021371500;1718021371511;10;
"frame";16;1718021371430;1718021371430;1718021371511;81;
"Depth";17;1718021371501;1718021371502;1718021371512;9;
"ImageOpticalFlow";17;1718021371500;1718021371500;1718021371512;11;
"ImageDisparityDerivative";17;1718021371501;1718021371502;1718021371512;10;
"SuperPixelDetect";17;1718021371500;1718021371512;1718021371575;62;
"SPPlaneSegmentation";17;1718021371501;1718021371576;1718021371577;1;
"ZEDImageDisparity";18;1718021371576;1718021371576;1718021371577;0;
"frame";17;1718021371500;1718021371500;1718021371578;77;
"ImageOpticalFlow";18;1718021371576;1718021371576;1718021371587;10;
"ImageDisparityDerivative";18;1718021371576;1718021371578;1718021371587;9;
"Depth";18;1718021371577;1718021371578;1718021371587;9;
"SuperPixelDetect";18;1718021371576;1718021371587;1718021371647;59;
"ZEDImageDisparity";19;1718021371648;1718021371648;1718021371649;0;
"SPPlaneSegmentation";18;1718021371577;1718021371648;1718021371649;1;
"frame";18;1718021371576;1718021371576;1718021371650;73;
"ImageDisparityDerivative";19;1718021371648;1718021371649;1718021371658;9;
"ImageOpticalFlow";19;1718021371648;1718021371648;1718021371658;10;
"Depth";19;1718021371648;1718021371650;1718021371660;10;
"SuperPixelDetect";19;1718021371648;1718021371659;1718021371718;58;
"ZEDImageDisparity";20;1718021371719;1718021371719;1718021371720;0;
"SPPlaneSegmentation";19;1718021371648;1718021371718;1718021371729;10;
"frame";19;1718021371648;1718021371648;1718021371729;81;
"ImageOpticalFlow";20;1718021371719;1718021371719;1718021371729;10;
