name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718024127177;1718024127177;1718024127178;0;
"ZEDImageDisparity";1;1718024127178;1718024127178;1718024127178;0;
"ImageDisparityDerivative";1;1718024127178;1718024127179;1718024127180;1;
"Depth";1;1718024127178;1718024127179;1718024127184;4;
"SuperPixelDetect";1;1718024127177;1718024127181;1718024127284;103;
"ZEDImageDisparity";2;1718024127284;1718024127284;1718024127285;1;
"SPPlaneSegmentation";1;1718024127178;1718024127284;1718024127286;1;
"frame";1;1718024127177;1718024127177;1718024127286;108;
"system";1;1718024127170;1718024127170;1718024127286;116;
"ImageDisparityDerivative";2;1718024127284;1718024127286;1718024127287;1;
"Depth";2;1718024127284;1718024127286;1718024127287;1;
"ImageOpticalFlow";2;1718024127284;1718024127284;1718024127326;41;
"SuperPixelDetect";2;1718024127284;1718024127287;1718024127345;58;
"ZEDImageDisparity";3;1718024127346;1718024127346;1718024127347;0;
"SPPlaneSegmentation";2;1718024127284;1718024127346;1718024127347;1;
"frame";2;1718024127284;1718024127284;1718024127348;63;
"system";2;1718024127261;1718024127261;1718024127348;86;
"ImageOpticalFlow";3;1718024127346;1718024127346;1718024127357;10;
"Depth";3;1718024127346;1718024127347;1718024127357;9;
"ImageDisparityDerivative";3;1718024127346;1718024127347;1718024127358;10;
"SuperPixelDetect";3;1718024127346;1718024127358;1718024127412;54;
"SPPlaneSegmentation";3;1718024127346;1718024127412;1718024127413;1;
"frame";3;1718024127345;1718024127345;1718024127414;68;
"system";3;1718024127340;1718024127340;1718024127414;73;
"ZEDImageDisparity";4;1718024127413;1718024127413;1718024127423;9;
"ImageOpticalFlow";4;1718024127413;1718024127413;1718024127424;10;
"ImageDisparityDerivative";4;1718024127413;1718024127424;1718024127424;0;
"Depth";4;1718024127414;1718024127424;1718024127425;0;
"SuperPixelDetect";4;1718024127413;1718024127425;1718024127484;59;
"ZEDImageDisparity";5;1718024127485;1718024127485;1718024127486;0;
"SPPlaneSegmentation";4;1718024127414;1718024127484;1718024127486;1;
"frame";4;1718024127413;1718024127413;1718024127486;73;
"system";4;1718024127397;1718024127397;1718024127486;88;
"ImageOpticalFlow";5;1718024127484;1718024127485;1718024127495;10;
"ImageDisparityDerivative";5;1718024127485;1718024127486;1718024127495;8;
"Depth";5;1718024127485;1718024127486;1718024127495;8;
"SuperPixelDetect";5;1718024127484;1718024127495;1718024127551;55;
"SPPlaneSegmentation";5;1718024127485;1718024127552;1718024127553;1;
"ZEDImageDisparity";6;1718024127552;1718024127552;1718024127553;0;
"frame";5;1718024127484;1718024127484;1718024127554;69;
"system";5;1718024127479;1718024127479;1718024127554;74;
"ImageOpticalFlow";6;1718024127552;1718024127552;1718024127563;10;
"Depth";6;1718024127553;1718024127554;1718024127563;8;
"ImageDisparityDerivative";6;1718024127552;1718024127554;1718024127564;9;
"SuperPixelDetect";6;1718024127552;1718024127564;1718024127619;55;
"ZEDImageDisparity";7;1718024127620;1718024127620;1718024127621;0;
"SPPlaneSegmentation";6;1718024127553;1718024127620;1718024127621;1;
"frame";6;1718024127552;1718024127552;1718024127622;69;
"system";6;1718024127546;1718024127546;1718024127622;75;
"ImageDisparityDerivative";7;1718024127620;1718024127621;1718024127630;9;
"ImageOpticalFlow";7;1718024127620;1718024127620;1718024127631;10;
"Depth";7;1718024127620;1718024127621;1718024127631;9;
"SuperPixelDetect";7;1718024127620;1718024127631;1718024127689;58;
"ZEDImageDisparity";8;1718024127690;1718024127690;1718024127691;0;
"SPPlaneSegmentation";7;1718024127620;1718024127690;1718024127700;10;
"ImageOpticalFlow";8;1718024127690;1718024127690;1718024127701;10;
"frame";7;1718024127620;1718024127620;1718024127701;80;
"system";7;1718024127617;1718024127617;1718024127701;84;
"ImageDisparityDerivative";8;1718024127690;1718024127691;1718024127701;9;
"Depth";8;1718024127690;1718024127691;1718024127701;9;
"SuperPixelDetect";8;1718024127690;1718024127701;1718024127761;59;
"SPPlaneSegmentation";8;1718024127690;1718024127761;1718024127762;0;
"frame";8;1718024127690;1718024127690;1718024127763;73;
"system";8;1718024127684;1718024127684;1718024127763;79;
"ZEDImageDisparity";9;1718024127762;1718024127762;1718024127772;10;
"ImageOpticalFlow";9;1718024127762;1718024127762;1718024127772;10;
"ImageDisparityDerivative";9;1718024127762;1718024127773;1718024127773;0;
"Depth";9;1718024127762;1718024127773;1718024127774;0;
"SuperPixelDetect";9;1718024127762;1718024127774;1718024127833;58;
"ZEDImageDisparity";10;1718024127833;1718024127834;1718024127834;0;
"SPPlaneSegmentation";9;1718024127762;1718024127833;1718024127844;10;
"ImageOpticalFlow";10;1718024127833;1718024127833;1718024127844;10;
"frame";9;1718024127762;1718024127762;1718024127844;82;
"system";9;1718024127756;1718024127756;1718024127844;88;
"Depth";10;1718024127834;1718024127835;1718024127844;9;
"ImageDisparityDerivative";10;1718024127834;1718024127835;1718024127844;9;
"SuperPixelDetect";10;1718024127833;1718024127845;1718024127904;59;
"ZEDImageDisparity";11;1718024127905;1718024127905;1718024127915;10;
"ImageOpticalFlow";11;1718024127905;1718024127905;1718024127916;10;
"SPPlaneSegmentation";10;1718024127834;1718024127905;1718024127916;11;
"frame";10;1718024127833;1718024127833;1718024127916;83;
"system";10;1718024127827;1718024127827;1718024127916;89;
"ImageDisparityDerivative";11;1718024127905;1718024127916;1718024127917;0;
"Depth";11;1718024127905;1718024127916;1718024127917;0;
"SuperPixelDetect";11;1718024127905;1718024127917;1718024127976;59;
"ZEDImageDisparity";12;1718024127977;1718024127977;1718024127978;0;
"SPPlaneSegmentation";11;1718024127905;1718024127977;1718024127988;10;
"frame";11;1718024127905;1718024127905;1718024127988;83;
"system";11;1718024127899;1718024127899;1718024127988;89;
"ImageOpticalFlow";12;1718024127977;1718024127977;1718024127988;10;
"Depth";12;1718024127978;1718024127978;1718024127988;9;
"ImageDisparityDerivative";12;1718024127977;1718024127979;1718024127989;9;
"SuperPixelDetect";12;1718024127977;1718024127989;1718024128048;58;
"ZEDImageDisparity";13;1718024128049;1718024128049;1718024128050;0;
"SPPlaneSegmentation";12;1718024127978;1718024128048;1718024128050;1;
"frame";12;1718024127977;1718024127977;1718024128050;72;
"system";12;1718024127971;1718024127971;1718024128050;78;
"ImageOpticalFlow";13;1718024128049;1718024128049;1718024128059;10;
"Depth";13;1718024128049;1718024128050;1718024128059;9;
"ImageDisparityDerivative";13;1718024128049;1718024128051;1718024128059;8;
"SuperPixelDetect";13;1718024128048;1718024128060;1718024128120;60;
"ZEDImageDisparity";14;1718024128121;1718024128121;1718024128131;10;
"ImageOpticalFlow";14;1718024128121;1718024128121;1718024128131;10;
"SPPlaneSegmentation";13;1718024128049;1718024128120;1718024128132;11;
"frame";13;1718024128048;1718024128048;1718024128132;83;
"system";13;1718024128043;1718024128043;1718024128132;89;
"ImageDisparityDerivative";14;1718024128121;1718024128132;1718024128132;0;
"Depth";14;1718024128121;1718024128132;1718024128132;0;
"SuperPixelDetect";14;1718024128121;1718024128133;1718024128193;60;
"ZEDImageDisparity";15;1718024128194;1718024128194;1718024128195;0;
"SPPlaneSegmentation";14;1718024128121;1718024128194;1718024128204;10;
