name;run_id;time_init;time_start;time_end;duration_ms;
"ImageDisparity";1;1718023840074;1718023840074;1718023840099;25;
"ImageDisparity";2;1718023840086;1718023840088;1718023840100;11;
"ImageDisparityDerivative";1;1718023840074;1718023840100;1718023840102;1;
"ImageDisparityDerivative";2;1718023840088;1718023840100;1718023840102;1;
"ImageDisparity";3;1718023840101;1718023840101;1718023840106;4;
"Depth";1;1718023840074;1718023840100;1718023840106;6;
"Depth";2;1718023840089;1718023840100;1718023840107;6;
"frame";1;1718023840074;1718023840074;1718023840107;33;
"system";1;1718023840061;1718023840061;1718023840107;45;
"frame";2;1718023840086;1718023840086;1718023840107;20;
"system";2;1718023840074;1718023840074;1718023840107;32;
"ImageDisparityDerivative";3;1718023840102;1718023840107;1718023840107;0;
"Depth";3;1718023840102;1718023840107;1718023840107;0;
"frame";3;1718023840101;1718023840101;1718023840108;6;
"system";3;1718023840089;1718023840089;1718023840108;18;
"ImageDisparity";4;1718023840114;1718023840114;1718023840116;2;
"ImageDisparityDerivative";4;1718023840114;1718023840117;1718023840117;0;
"Depth";4;1718023840114;1718023840117;1718023840117;0;
"frame";4;1718023840114;1718023840114;1718023840117;3;
"system";4;1718023840102;1718023840102;1718023840117;15;
"ImageDisparity";5;1718023840126;1718023840126;1718023840129;2;
"Depth";5;1718023840126;1718023840129;1718023840130;0;
"ImageDisparityDerivative";5;1718023840126;1718023840129;1718023840130;0;
"frame";5;1718023840126;1718023840126;1718023840130;4;
"system";5;1718023840114;1718023840114;1718023840130;15;
"ImageDisparity";6;1718023840138;1718023840138;1718023840141;2;
"Depth";6;1718023840138;1718023840141;1718023840141;0;
"ImageDisparityDerivative";6;1718023840138;1718023840141;1718023840142;0;
"frame";6;1718023840138;1718023840138;1718023840142;3;
"system";6;1718023840126;1718023840126;1718023840142;15;
"ImageDisparity";7;1718023840151;1718023840151;1718023840153;2;
"Depth";7;1718023840151;1718023840153;1718023840154;0;
"ImageDisparityDerivative";7;1718023840151;1718023840153;1718023840154;0;
"frame";7;1718023840151;1718023840151;1718023840154;3;
"system";7;1718023840139;1718023840139;1718023840154;15;
"ImageDisparity";8;1718023840163;1718023840163;1718023840166;2;
"ImageDisparityDerivative";8;1718023840163;1718023840166;1718023840167;0;
"Depth";8;1718023840163;1718023840166;1718023840167;0;
"frame";8;1718023840163;1718023840163;1718023840167;3;
"system";8;1718023840151;1718023840151;1718023840167;15;
"ImageDisparity";9;1718023840176;1718023840176;1718023840179;2;
"Depth";9;1718023840176;1718023840179;1718023840179;0;
"ImageDisparityDerivative";9;1718023840176;1718023840179;1718023840180;0;
"frame";9;1718023840176;1718023840176;1718023840180;4;
"system";9;1718023840164;1718023840164;1718023840180;16;
"ImageDisparity";10;1718023840189;1718023840189;1718023840192;2;
"Depth";10;1718023840189;1718023840192;1718023840193;0;
"ImageDisparityDerivative";10;1718023840189;1718023840192;1718023840193;0;
"frame";10;1718023840189;1718023840189;1718023840193;4;
