name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718030130281;1718030130281;1718030130281;0;
"ZEDImageDisparity";1;1718030130281;1718030130281;1718030130281;0;
"ImageDisparityDerivative";1;1718030130281;1718030130282;1718030130283;1;
"Depth";1;1718030130281;1718030130282;1718030130287;4;
"SuperPixelDetect";1;1718030130280;1718030130284;1718030130395;111;
"SPPlaneSegmentation";1;1718030130281;1718030130396;1718030130396;0;
"frame";1;1718030130280;1718030130280;1718030130397;116;
"system";1;1718030130273;1718030130273;1718030130397;123;
"ZEDImageDisparity";2;1718030130412;1718030130412;1718030130412;0;
"ImageDisparityDerivative";2;1718030130412;1718030130413;1718030130414;0;
"Depth";2;1718030130412;1718030130413;1718030130414;1;
"ImageOpticalFlow";2;1718030130411;1718030130411;1718030130455;44;
"SuperPixelDetect";2;1718030130411;1718030130414;1718030130474;59;
"SPPlaneSegmentation";2;1718030130412;1718030130474;1718030130475;0;
"frame";2;1718030130411;1718030130411;1718030130475;64;
"system";2;1718030130406;1718030130406;1718030130475;68;
"ZEDImageDisparity";3;1718030130492;1718030130492;1718030130493;0;
"Depth";3;1718030130492;1718030130493;1718030130502;9;
"ImageOpticalFlow";3;1718030130492;1718030130492;1718030130502;10;
"ImageDisparityDerivative";3;1718030130492;1718030130493;1718030130502;9;
"SuperPixelDetect";3;1718030130492;1718030130502;1718030130562;59;
"SPPlaneSegmentation";3;1718030130492;1718030130563;1718030130563;0;
"frame";3;1718030130491;1718030130491;1718030130564;72;
"system";3;1718030130487;1718030130487;1718030130564;76;
"ZEDImageDisparity";4;1718030130579;1718030130579;1718030130580;0;
"ImageOpticalFlow";4;1718030130579;1718030130579;1718030130589;10;
"Depth";4;1718030130579;1718030130580;1718030130589;9;
"ImageDisparityDerivative";4;1718030130579;1718030130580;1718030130589;8;
"SuperPixelDetect";4;1718030130579;1718030130590;1718030130651;61;
"SPPlaneSegmentation";4;1718030130580;1718030130652;1718030130652;0;
"frame";4;1718030130579;1718030130579;1718030130653;73;
"system";4;1718030130574;1718030130574;1718030130653;78;
"ZEDImageDisparity";5;1718030130668;1718030130668;1718030130669;0;
"ImageOpticalFlow";5;1718030130668;1718030130668;1718030130679;10;
"ImageDisparityDerivative";5;1718030130668;1718030130670;1718030130679;9;
"Depth";5;1718030130669;1718030130670;1718030130679;9;
