name;run_id;time_init;time_start;time_end;duration_ms;
"ImageDisparity";1;1718024423393;1718024423393;1718024423421;27;
"ImageDisparityDerivative";1;1718024423393;1718024423421;1718024423422;0;
"Depth";1;1718024423393;1718024423421;1718024423425;4;
"frame";1;1718024423393;1718024423393;1718024423425;32;
"system";1;1718024423380;1718024423380;1718024423425;45;
"ImageDisparity";2;1718024423438;1718024423438;1718024423441;3;
"Depth";2;1718024423438;1718024423441;1718024423442;0;
"ImageDisparityDerivative";2;1718024423438;1718024423441;1718024423442;0;
"frame";2;1718024423438;1718024423438;1718024423442;4;
"system";2;1718024423426;1718024423426;1718024423442;16;
"ImageDisparity";3;1718024423455;1718024423455;1718024423458;2;
"ImageDisparityDerivative";3;1718024423455;1718024423458;1718024423459;0;
"Depth";3;1718024423455;1718024423459;1718024423459;0;
"frame";3;1718024423455;1718024423455;1718024423459;4;
"system";3;1718024423443;1718024423443;1718024423459;16;
"ImageDisparity";4;1718024423472;1718024423472;1718024423475;3;
"Depth";4;1718024423472;1718024423475;1718024423476;0;
"ImageDisparityDerivative";4;1718024423472;1718024423475;1718024423476;0;
"frame";4;1718024423472;1718024423472;1718024423476;4;
"system";4;1718024423459;1718024423459;1718024423476;16;
"ImageDisparity";5;1718024423488;1718024423488;1718024423491;2;
"Depth";5;1718024423488;1718024423491;1718024423492;0;
"ImageDisparityDerivative";5;1718024423488;1718024423492;1718024423492;0;
"frame";5;1718024423488;1718024423488;1718024423492;4;
"system";5;1718024423476;1718024423476;1718024423492;16;
"ImageDisparity";6;1718024423504;1718024423505;1718024423507;2;
"ImageDisparityDerivative";6;1718024423505;1718024423508;1718024423509;0;
"Depth";6;1718024423505;1718024423508;1718024423509;0;
"frame";6;1718024423504;1718024423504;1718024423509;4;
"system";6;1718024423492;1718024423492;1718024423509;16;
"ImageDisparity";7;1718024423521;1718024423521;1718024423524;3;
"ImageDisparityDerivative";7;1718024423521;1718024423525;1718024423525;0;
"Depth";7;1718024423521;1718024423525;1718024423525;0;
"frame";7;1718024423521;1718024423521;1718024423526;4;
"system";7;1718024423509;1718024423509;1718024423526;16;
"ImageDisparity";8;1718024423538;1718024423538;1718024423541;3;
"ImageDisparityDerivative";8;1718024423538;1718024423542;1718024423542;0;
"Depth";8;1718024423538;1718024423542;1718024423542;0;
"frame";8;1718024423538;1718024423538;1718024423543;4;
"system";8;1718024423526;1718024423526;1718024423543;16;
"ImageDisparity";9;1718024423554;1718024423555;1718024423557;2;
"ImageDisparityDerivative";9;1718024423555;1718024423558;1718024423559;0;
"Depth";9;1718024423555;1718024423558;1718024423559;0;
"frame";9;1718024423554;1718024423554;1718024423559;4;
"system";9;1718024423543;1718024423543;1718024423559;16;
"ImageDisparity";10;1718024423571;1718024423571;1718024423574;2;
"Depth";10;1718024423571;1718024423574;1718024423575;0;
"ImageDisparityDerivative";10;1718024423571;1718024423574;1718024423575;0;
"frame";10;1718024423571;1718024423571;1718024423575;4;
"system";10;1718024423559;1718024423559;1718024423575;16;
"ImageDisparity";11;1718024423587;1718024423587;1718024423590;3;
"Depth";11;1718024423587;1718024423591;1718024423591;0;
"ImageDisparityDerivative";11;1718024423587;1718024423591;1718024423591;0;
"frame";11;1718024423587;1718024423587;1718024423591;4;
"system";11;1718024423575;1718024423575;1718024423591;16;
"ImageDisparity";12;1718024423604;1718024423604;1718024423607;2;
"ImageDisparityDerivative";12;1718024423604;1718024423607;1718024423608;0;
"Depth";12;1718024423604;1718024423607;1718024423608;0;
"frame";12;1718024423604;1718024423604;1718024423608;4;
"system";12;1718024423592;1718024423592;1718024423608;16;
"ImageDisparity";13;1718024423620;1718024423620;1718024423623;2;
"Depth";13;1718024423620;1718024423623;1718024423624;0;
"ImageDisparityDerivative";13;1718024423620;1718024423623;1718024423624;0;
"frame";13;1718024423620;1718024423620;1718024423624;4;
"system";13;1718024423608;1718024423608;1718024423624;16;
"ImageDisparity";14;1718024423636;1718024423636;1718024423640;3;
"ImageDisparityDerivative";14;1718024423636;1718024423640;1718024423641;0;
"Depth";14;1718024423636;1718024423640;1718024423641;0;
"frame";14;1718024423636;1718024423636;1718024423641;5;
"system";14;1718024423624;1718024423624;1718024423641;16;
"ImageDisparity";15;1718024423653;1718024423653;1718024423657;3;
"Depth";15;1718024423653;1718024423657;1718024423658;0;
"ImageDisparityDerivative";15;1718024423653;1718024423657;1718024423658;0;
"frame";15;1718024423653;1718024423653;1718024423658;5;
"system";15;1718024423641;1718024423641;1718024423658;16;
"ImageDisparity";16;1718024423670;1718024423670;1718024423673;2;
"Depth";16;1718024423670;1718024423673;1718024423674;0;
"ImageDisparityDerivative";16;1718024423670;1718024423673;1718024423674;0;
"frame";16;1718024423670;1718024423670;1718024423674;4;
"system";16;1718024423658;1718024423658;1718024423674;16;
"ImageDisparity";17;1718024423686;1718024423686;1718024423688;2;
"ImageDisparityDerivative";17;1718024423686;1718024423689;1718024423689;0;
"Depth";17;1718024423686;1718024423689;1718024423689;0;
"frame";17;1718024423686;1718024423686;1718024423690;3;
"system";17;1718024423674;1718024423674;1718024423690;15;
"ImageDisparity";18;1718024423702;1718024423702;1718024423705;3;
"ImageDisparityDerivative";18;1718024423702;1718024423706;1718024423706;0;
"Depth";18;1718024423702;1718024423706;1718024423706;0;
"frame";18;1718024423702;1718024423702;1718024423706;4;
"system";18;1718024423690;1718024423690;1718024423706;16;
"ImageDisparity";19;1718024423719;1718024423719;1718024423721;2;
"Depth";19;1718024423719;1718024423722;1718024423723;0;
"ImageDisparityDerivative";19;1718024423719;1718024423722;1718024423723;0;
"frame";19;1718024423719;1718024423719;1718024423723;4;
"system";19;1718024423707;1718024423707;1718024423723;16;
"ImageDisparity";20;1718024423735;1718024423735;1718024423738;2;
"ImageDisparityDerivative";20;1718024423735;1718024423738;1718024423739;0;
"Depth";20;1718024423735;1718024423738;1718024423739;0;
"frame";20;1718024423735;1718024423735;1718024423739;3;
"system";20;1718024423723;1718024423723;1718024423739;15;
"ImageDisparity";21;1718024423751;1718024423751;1718024423754;3;
"ImageDisparityDerivative";21;1718024423751;1718024423754;1718024423755;0;
"Depth";21;1718024423751;1718024423755;1718024423755;0;
"frame";21;1718024423751;1718024423751;1718024423755;4;
"system";21;1718024423739;1718024423739;1718024423755;16;
"ImageDisparity";22;1718024423767;1718024423767;1718024423770;2;
"Depth";22;1718024423767;1718024423770;1718024423771;0;
"ImageDisparityDerivative";22;1718024423767;1718024423771;1718024423771;0;
"frame";22;1718024423767;1718024423767;1718024423771;4;
"system";22;1718024423755;1718024423755;1718024423771;16;
"ImageDisparity";23;1718024423783;1718024423783;1718024423786;2;
"ImageDisparityDerivative";23;1718024423784;1718024423786;1718024423787;0;
"Depth";23;1718024423784;1718024423786;1718024423787;0;
"frame";23;1718024423783;1718024423783;1718024423787;3;
"system";23;1718024423772;1718024423772;1718024423787;15;
"ImageDisparity";24;1718024423799;1718024423799;1718024423802;3;
"ImageDisparityDerivative";24;1718024423799;1718024423803;1718024423803;0;
"Depth";24;1718024423799;1718024423803;1718024423803;0;
"frame";24;1718024423799;1718024423799;1718024423804;4;
"system";24;1718024423787;1718024423787;1718024423804;16;
"ImageDisparity";25;1718024423816;1718024423816;1718024423819;2;
"ImageDisparityDerivative";25;1718024423816;1718024423819;1718024423820;1;
"Depth";25;1718024423816;1718024423819;1718024423820;1;
"frame";25;1718024423816;1718024423816;1718024423820;4;
"system";25;1718024423804;1718024423804;1718024423820;16;
"ImageDisparity";26;1718024423833;1718024423833;1718024423835;2;
"ImageDisparityDerivative";26;1718024423833;1718024423836;1718024423836;0;
"Depth";26;1718024423833;1718024423836;1718024423837;0;
"frame";26;1718024423832;1718024423833;1718024423837;4;
"system";26;1718024423821;1718024423821;1718024423837;16;
"ImageDisparity";27;1718024423849;1718024423849;1718024423852;2;
"ImageDisparityDerivative";27;1718024423849;1718024423852;1718024423853;0;
"Depth";27;1718024423849;1718024423852;1718024423853;0;
"frame";27;1718024423849;1718024423849;1718024423853;4;
"system";27;1718024423837;1718024423837;1718024423853;16;
"ImageDisparity";28;1718024423865;1718024423865;1718024423869;3;
"ImageDisparityDerivative";28;1718024423865;1718024423869;1718024423870;0;
"Depth";28;1718024423865;1718024423869;1718024423870;0;
"frame";28;1718024423865;1718024423865;1718024423870;5;
"system";28;1718024423853;1718024423853;1718024423870;16;
"ImageDisparity";29;1718024423882;1718024423882;1718024423885;2;
"Depth";29;1718024423882;1718024423885;1718024423886;0;
"ImageDisparityDerivative";29;1718024423882;1718024423886;1718024423886;0;
"frame";29;1718024423882;1718024423882;1718024423886;4;
"system";29;1718024423870;1718024423870;1718024423886;16;
"ImageDisparity";30;1718024423898;1718024423899;1718024423901;2;
"Depth";30;1718024423899;1718024423902;1718024423903;0;
"ImageDisparityDerivative";30;1718024423899;1718024423902;1718024423903;0;
"frame";30;1718024423898;1718024423898;1718024423903;4;
"system";30;1718024423886;1718024423886;1718024423903;16;
"ImageDisparity";31;1718024423915;1718024423915;1718024423919;3;
"ImageDisparityDerivative";31;1718024423915;1718024423919;1718024423920;0;
"Depth";31;1718024423915;1718024423919;1718024423920;0;
