name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718909253549;1718909253549;1718909253550;0;
"ZEDImageDisparity";1;1718909253549;1718909253549;1718909253564;14;
"PlaneSegmentation";1;1718909253549;1718909253564;1718909253570;5;
"PlaneSegmentationVisualization";1;1718909253549;1718909253570;1718909253575;4;
"frame";1;1718909253549;1718909253549;1718909253575;25;
"system";1;1718909253541;1718909253541;1718909253575;33;
"ZEDImageDisparity";2;1718909253574;1718909253574;1718909253575;0;
"ImageOpticalFlow";2;1718909253574;1718909253574;1718909253586;12;
"PlaneSegmentation";2;1718909253574;1718909253586;1718909253597;10;
"ZEDImageDisparity";3;1718909253595;1718909253595;1718909253597;1;
"ImageOpticalFlow";3;1718909253595;1718909253595;1718909253607;11;
"PlaneSegmentationVisualization";2;1718909253574;1718909253597;1718909253610;12;
"frame";2;1718909253574;1718909253574;1718909253610;35;
"system";2;1718909253570;1718909253570;1718909253610;39;
"PlaneSegmentation";3;1718909253595;1718909253607;1718909253614;6;
"PlaneSegmentationVisualization";3;1718909253596;1718909253614;1718909253619;5;
"frame";3;1718909253595;1718909253595;1718909253620;24;
"system";3;1718909253587;1718909253587;1718909253620;32;
"ZEDImageDisparity";4;1718909253619;1718909253619;1718909253620;0;
"ImageOpticalFlow";4;1718909253619;1718909253619;1718909253629;10;
"PlaneSegmentation";4;1718909253619;1718909253630;1718909253631;1;
"PlaneSegmentationVisualization";4;1718909253619;1718909253631;1718909253640;8;
"frame";4;1718909253619;1718909253619;1718909253640;21;
"system";4;1718909253616;1718909253616;1718909253640;23;
"ZEDImageDisparity";5;1718909253641;1718909253641;1718909253641;0;
"ImageOpticalFlow";5;1718909253641;1718909253641;1718909253652;11;
"PlaneSegmentation";5;1718909253641;1718909253653;1718909253658;5;
"PlaneSegmentationVisualization";5;1718909253641;1718909253658;1718909253664;5;
"frame";5;1718909253641;1718909253641;1718909253680;39;
"system";5;1718909253639;1718909253639;1718909253680;40;
"ZEDImageDisparity";6;1718909253663;1718909253663;1718909253689;26;
"ImageOpticalFlow";6;1718909253662;1718909253663;1718909253690;27;
"PlaneSegmentation";6;1718909253663;1718909253690;1718909253696;5;
"ZEDImageDisparity";7;1718909253700;1718909253700;1718909253701;0;
"PlaneSegmentationVisualization";6;1718909253664;1718909253696;1718909253701;5;
"frame";6;1718909253662;1718909253662;1718909253701;39;
"system";6;1718909253660;1718909253660;1718909253701;41;
"ImageOpticalFlow";7;1718909253700;1718909253700;1718909253711;10;
"PlaneSegmentation";7;1718909253700;1718909253711;1718909253713;1;
"PlaneSegmentationVisualization";7;1718909253700;1718909253713;1718909253721;7;
"frame";7;1718909253700;1718909253700;1718909253721;20;
"system";7;1718909253696;1718909253696;1718909253721;25;
"ZEDImageDisparity";8;1718909253722;1718909253722;1718909253722;0;
"ImageOpticalFlow";8;1718909253722;1718909253722;1718909253732;10;
"PlaneSegmentation";8;1718909253722;1718909253733;1718909253740;7;
"ZEDImageDisparity";9;1718909253744;1718909253744;1718909253744;0;
"ImageOpticalFlow";9;1718909253744;1718909253744;1718909253754;10;
"PlaneSegmentationVisualization";8;1718909253722;1718909253740;1718909253754;14;
"frame";8;1718909253722;1718909253722;1718909253754;32;
"system";8;1718909253720;1718909253721;1718909253754;33;
"PlaneSegmentation";9;1718909253744;1718909253755;1718909253761;5;
"ZEDImageDisparity";10;1718909253765;1718909253765;1718909253766;0;
"PlaneSegmentationVisualization";9;1718909253744;1718909253761;1718909253766;5;
"frame";9;1718909253744;1718909253744;1718909253766;22;
"system";9;1718909253740;1718909253740;1718909253766;26;
"ImageOpticalFlow";10;1718909253765;1718909253765;1718909253776;10;
"PlaneSegmentation";10;1718909253765;1718909253776;1718909253782;5;
"ZEDImageDisparity";11;1718909253786;1718909253786;1718909253786;0;
"PlaneSegmentationVisualization";10;1718909253765;1718909253782;1718909253787;4;
"frame";10;1718909253765;1718909253765;1718909253787;22;
"system";10;1718909253761;1718909253761;1718909253787;26;
"ImageOpticalFlow";11;1718909253786;1718909253786;1718909253796;10;
"PlaneSegmentation";11;1718909253786;1718909253796;1718909253798;1;
"PlaneSegmentationVisualization";11;1718909253786;1718909253798;1718909253808;9;
"frame";11;1718909253786;1718909253786;1718909253808;22;
"system";11;1718909253782;1718909253782;1718909253808;26;
"ZEDImageDisparity";12;1718909253808;1718909253808;1718909253809;0;
"ImageOpticalFlow";12;1718909253808;1718909253808;1718909253818;10;
"PlaneSegmentation";12;1718909253808;1718909253819;1718909253824;5;
"ZEDImageDisparity";13;1718909253829;1718909253829;1718909253829;0;
"PlaneSegmentationVisualization";12;1718909253808;1718909253825;1718909253830;5;
"frame";12;1718909253808;1718909253808;1718909253830;21;
"system";12;1718909253802;1718909253802;1718909253830;27;
"ImageOpticalFlow";13;1718909253829;1718909253829;1718909253839;10;
"PlaneSegmentation";13;1718909253829;1718909253840;1718909253847;7;
"PlaneSegmentationVisualization";13;1718909253829;1718909253847;1718909253852;4;
"frame";13;1718909253829;1718909253829;1718909253852;23;
