name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718909221452;1718909221452;1718909221453;0;
"ZEDImageDisparity";1;1718909221452;1718909221452;1718909221467;14;
"PlaneSegmentation";1;1718909221452;1718909221467;1718909221468;1;
"PlaneSegmentationVisualization";1;1718909221453;1718909221468;1718909221477;9;
"frame";1;1718909221452;1718909221452;1718909221477;25;
"system";1;1718909221445;1718909221445;1718909221477;32;
"ZEDImageDisparity";2;1718909221479;1718909221479;1718909221479;0;
"ImageOpticalFlow";2;1718909221479;1718909221479;1718909221491;11;
"PlaneSegmentation";2;1718909221479;1718909221491;1718909221500;8;
"PlaneSegmentationVisualization";2;1718909221479;1718909221500;1718909221509;9;
"frame";2;1718909221479;1718909221479;1718909221509;30;
"system";2;1718909221477;1718909221477;1718909221509;32;
"ZEDImageDisparity";3;1718909221510;1718909221510;1718909221510;0;
"ImageOpticalFlow";3;1718909221510;1718909221510;1718909221520;10;
"PlaneSegmentation";3;1718909221510;1718909221521;1718909221522;1;
"PlaneSegmentationVisualization";3;1718909221510;1718909221522;1718909221529;6;
"frame";3;1718909221510;1718909221510;1718909221529;19;
"system";3;1718909221504;1718909221504;1718909221529;25;
"ImageOpticalFlow";4;1718909221535;1718909221535;1718909221555;20;
"ZEDImageDisparity";4;1718909221535;1718909221535;1718909221557;22;
"PlaneSegmentation";4;1718909221535;1718909221557;1718909221559;1;
"PlaneSegmentationVisualization";4;1718909221538;1718909221559;1718909221564;4;
"frame";4;1718909221535;1718909221535;1718909221564;29;
"system";4;1718909221531;1718909221531;1718909221564;33;
"ZEDImageDisparity";5;1718909221573;1718909221573;1718909221573;0;
"ImageOpticalFlow";5;1718909221573;1718909221573;1718909221583;10;
"PlaneSegmentation";5;1718909221573;1718909221584;1718909221585;1;
"PlaneSegmentationVisualization";5;1718909221573;1718909221586;1718909221590;4;
"frame";5;1718909221573;1718909221573;1718909221590;17;
"system";5;1718909221569;1718909221569;1718909221590;21;
"ZEDImageDisparity";6;1718909221599;1718909221599;1718909221600;0;
