name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718909427494;1718909427494;1718909427494;0;
"ZEDImageDisparity";1;1718909427494;1718909427494;1718909427510;16;
"PlaneSegmentation";1;1718909427494;1718909427511;1718909427512;1;
"PlaneSegmentationVisualization";1;1718909427494;1718909427512;1718909427521;9;
"frame";1;1718909427494;1718909427494;1718909427522;27;
"system";1;1718909427486;1718909427486;1718909427522;36;
"ZEDImageDisparity";2;1718909427523;1718909427523;1718909427523;0;
"ImageOpticalFlow";2;1718909427523;1718909427523;1718909427536;12;
"PlaneSegmentation";2;1718909427523;1718909427536;1718909427548;11;
"PlaneSegmentationVisualization";2;1718909427523;1718909427548;1718909427553;4;
"ZEDImageDisparity";3;1718909427552;1718909427552;1718909427553;0;
"frame";2;1718909427523;1718909427523;1718909427553;29;
"system";2;1718909427521;1718909427521;1718909427553;31;
"ImageOpticalFlow";3;1718909427552;1718909427552;1718909427564;11;
"PlaneSegmentation";3;1718909427552;1718909427564;1718909427566;1;
"PlaneSegmentationVisualization";3;1718909427552;1718909427566;1718909427570;4;
"frame";3;1718909427552;1718909427552;1718909427570;18;
"system";3;1718909427551;1718909427551;1718909427570;19;
"ZEDImageDisparity";4;1718909427582;1718909427582;1718909427583;0;
"ImageOpticalFlow";4;1718909427578;1718909427582;1718909427594;12;
"ZEDImageDisparity";5;1718909427611;1718909427611;1718909427612;0;
"ImageOpticalFlow";5;1718909427610;1718909427611;1718909427623;12;
"PlaneSegmentation";4;1718909427582;1718909427598;1718909427623;25;
"PlaneSegmentation";5;1718909427611;1718909427624;1718909427628;4;
"PlaneSegmentationVisualization";4;1718909427582;1718909427624;1718909427628;4;
"frame";4;1718909427578;1718909427578;1718909427629;51;
"system";4;1718909427572;1718909427572;1718909427629;56;
"PlaneSegmentationVisualization";5;1718909427611;1718909427628;1718909427639;10;
"frame";5;1718909427610;1718909427610;1718909427639;28;
"system";5;1718909427609;1718909427609;1718909427639;30;
"ZEDImageDisparity";6;1718909427640;1718909427640;1718909427640;0;
"ImageOpticalFlow";6;1718909427640;1718909427640;1718909427651;11;
"PlaneSegmentation";6;1718909427640;1718909427652;1718909427654;1;
"PlaneSegmentationVisualization";6;1718909427640;1718909427654;1718909427658;4;
"frame";6;1718909427640;1718909427640;1718909427658;18;
"system";6;1718909427633;1718909427633;1718909427658;25;
"ZEDImageDisparity";7;1718909427668;1718909427668;1718909427680;11;
"ImageOpticalFlow";7;1718909427667;1718909427668;1718909427680;12;
"PlaneSegmentation";7;1718909427668;1718909427680;1718909427682;1;
"PlaneSegmentationVisualization";7;1718909427668;1718909427682;1718909427686;4;
"frame";7;1718909427667;1718909427667;1718909427686;18;
"system";7;1718909427660;1718909427660;1718909427686;25;
"ZEDImageDisparity";8;1718909427694;1718909427694;1718909427694;0;
"ImageOpticalFlow";8;1718909427694;1718909427694;1718909427705;11;
"PlaneSegmentation";8;1718909427694;1718909427706;1718909427707;1;
"PlaneSegmentationVisualization";8;1718909427694;1718909427708;1718909427713;5;
"frame";8;1718909427693;1718909427693;1718909427713;19;
"system";8;1718909427688;1718909427688;1718909427713;24;
"ZEDImageDisparity";9;1718909427720;1718909427720;1718909427720;0;
"ImageOpticalFlow";9;1718909427720;1718909427720;1718909427731;11;
"PlaneSegmentation";9;1718909427720;1718909427732;1718909427733;1;
"PlaneSegmentationVisualization";9;1718909427720;1718909427734;1718909427743;9;
"frame";9;1718909427720;1718909427720;1718909427743;23;
"system";9;1718909427714;1718909427714;1718909427743;29;
"ZEDImageDisparity";10;1718909427744;1718909427744;1718909427744;0;
"ImageOpticalFlow";10;1718909427743;1718909427744;1718909427756;12;
"PlaneSegmentation";10;1718909427744;1718909427756;1718909427762;6;
"ZEDImageDisparity";11;1718909427766;1718909427766;1718909427767;0;
"PlaneSegmentationVisualization";10;1718909427744;1718909427762;1718909427777;15;
"ImageOpticalFlow";11;1718909427766;1718909427766;1718909427777;11;
"frame";10;1718909427743;1718909427743;1718909427778;34;
"system";10;1718909427738;1718909427738;1718909427778;39;
"PlaneSegmentation";11;1718909427766;1718909427778;1718909427780;1;
"PlaneSegmentationVisualization";11;1718909427766;1718909427780;1718909427784;4;
"frame";11;1718909427766;1718909427766;1718909427785;18;
"system";11;1718909427757;1718909427757;1718909427785;27;
"ZEDImageDisparity";12;1718909427797;1718909427797;1718909427798;0;
"ImageOpticalFlow";12;1718909427797;1718909427797;1718909427809;11;
"PlaneSegmentation";12;1718909427797;1718909427809;1718909427810;1;
"PlaneSegmentationVisualization";12;1718909427798;1718909427811;1718909427816;5;
"frame";12;1718909427797;1718909427797;1718909427816;19;
"system";12;1718909427796;1718909427796;1718909427816;20;
"ZEDImageDisparity";13;1718909427824;1718909427824;1718909427825;0;
"ImageOpticalFlow";13;1718909427824;1718909427824;1718909427835;11;
"PlaneSegmentation";13;1718909427824;1718909427836;1718909427837;1;
"PlaneSegmentationVisualization";13;1718909427824;1718909427838;1718909427843;5;
"frame";13;1718909427824;1718909427824;1718909427843;19;
"system";13;1718909427819;1718909427819;1718909427843;24;
"ZEDImageDisparity";14;1718909427851;1718909427851;1718909427852;0;
"ImageOpticalFlow";14;1718909427851;1718909427851;1718909427863;11;
"PlaneSegmentation";14;1718909427852;1718909427863;1718909427865;2;
"PlaneSegmentationVisualization";14;1718909427852;1718909427865;1718909427871;5;
"frame";14;1718909427851;1718909427851;1718909427871;19;
"system";14;1718909427846;1718909427846;1718909427871;25;
"ZEDImageDisparity";15;1718909427881;1718909427881;1718909427881;0;
"ImageOpticalFlow";15;1718909427881;1718909427881;1718909427892;11;
"PlaneSegmentation";15;1718909427881;1718909427892;1718909427894;1;
"PlaneSegmentationVisualization";15;1718909427881;1718909427894;1718909427903;9;
"frame";15;1718909427881;1718909427881;1718909427903;22;
"system";15;1718909427875;1718909427875;1718909427904;28;
"ZEDImageDisparity";16;1718909427905;1718909427905;1718909427905;0;
"ImageOpticalFlow";16;1718909427905;1718909427905;1718909427916;11;
"PlaneSegmentation";16;1718909427905;1718909427916;1718909427918;1;
"PlaneSegmentationVisualization";16;1718909427905;1718909427918;1718909427924;6;
"frame";16;1718909427905;1718909427905;1718909427925;20;
"system";16;1718909427903;1718909427903;1718909427925;21;
"ZEDImageDisparity";17;1718909427930;1718909427930;1718909427931;0;
"ImageOpticalFlow";17;1718909427930;1718909427930;1718909427942;12;
