name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718909506646;1718909506646;1718909506647;0;
"ZEDImageDisparity";1;1718909506647;1718909506647;1718909506663;16;
"PlaneSegmentation";1;1718909506647;1718909506663;1718909506669;5;
"ZEDImageDisparity";2;1718909506674;1718909506674;1718909506674;0;
"PlaneSegmentationVisualization";1;1718909506647;1718909506669;1718909506675;5;
"frame";1;1718909506646;1718909506646;1718909506675;28;
"system";1;1718909506639;1718909506639;1718909506675;36;
"ImageOpticalFlow";2;1718909506674;1718909506674;1718909506686;11;
"PlaneSegmentation";2;1718909506674;1718909506686;1718909506697;10;
"ZEDImageDisparity";3;1718909506701;1718909506701;1718909506702;0;
"PlaneSegmentationVisualization";2;1718909506674;1718909506697;1718909506702;5;
"frame";2;1718909506674;1718909506674;1718909506702;28;
"system";2;1718909506669;1718909506669;1718909506702;32;
"ImageOpticalFlow";3;1718909506701;1718909506701;1718909506712;10;
"PlaneSegmentation";3;1718909506701;1718909506712;1718909506714;1;
"PlaneSegmentationVisualization";3;1718909506701;1718909506714;1718909506718;4;
"frame";3;1718909506701;1718909506701;1718909506719;17;
"system";3;1718909506697;1718909506697;1718909506719;21;
"ZEDImageDisparity";4;1718909506728;1718909506728;1718909506729;0;
"ImageOpticalFlow";4;1718909506728;1718909506728;1718909506739;10;
"PlaneSegmentation";4;1718909506728;1718909506739;1718909506741;1;
"PlaneSegmentationVisualization";4;1718909506728;1718909506741;1718909506749;8;
"frame";4;1718909506728;1718909506728;1718909506750;21;
"system";4;1718909506727;1718909506727;1718909506750;22;
"ZEDImageDisparity";5;1718909506751;1718909506751;1718909506752;0;
"ImageOpticalFlow";5;1718909506751;1718909506751;1718909506762;10;
"PlaneSegmentation";5;1718909506751;1718909506762;1718909506763;1;
"PlaneSegmentationVisualization";5;1718909506751;1718909506763;1718909506772;8;
"frame";5;1718909506751;1718909506751;1718909506772;21;
"system";5;1718909506750;1718909506750;1718909506772;22;
"ZEDImageDisparity";6;1718909506774;1718909506774;1718909506774;0;
"ImageOpticalFlow";6;1718909506774;1718909506774;1718909506784;10;
"PlaneSegmentation";6;1718909506774;1718909506785;1718909506786;1;
