name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718909402837;1718909402837;1718909402837;0;
"ZEDImageDisparity";1;1718909402837;1718909402837;1718909402851;14;
"PlaneSegmentation";1;1718909402837;1718909402852;1718909402855;3;
"PlaneSegmentationVisualization";1;1718909402837;1718909402856;1718909402861;5;
"frame";1;1718909402837;1718909402837;1718909402862;25;
"system";1;1718909402829;1718909402829;1718909402862;32;
"ZEDImageDisparity";2;1718909402862;1718909402862;1718909402862;0;
"ImageOpticalFlow";2;1718909402862;1718909402862;1718909402873;11;
"PlaneSegmentation";2;1718909402862;1718909402873;1718909402882;8;
"PlaneSegmentationVisualization";2;1718909402862;1718909402882;1718909402887;4;
"ZEDImageDisparity";3;1718909402886;1718909402886;1718909402887;1;
"frame";2;1718909402862;1718909402862;1718909402887;25;
"system";2;1718909402860;1718909402860;1718909402887;26;
"ImageOpticalFlow";3;1718909402886;1718909402886;1718909402897;10;
"PlaneSegmentation";3;1718909402886;1718909402897;1718909402898;1;
"PlaneSegmentationVisualization";3;1718909402886;1718909402898;1718909402903;4;
"frame";3;1718909402886;1718909402886;1718909402903;17;
"system";3;1718909402881;1718909402881;1718909402903;22;
"ZEDImageDisparity";4;1718909402909;1718909402909;1718909402909;0;
"ImageOpticalFlow";4;1718909402909;1718909402909;1718909402919;10;
"PlaneSegmentation";4;1718909402909;1718909402919;1718909402921;1;
"PlaneSegmentationVisualization";4;1718909402909;1718909402921;1718909402930;9;
"frame";4;1718909402909;1718909402909;1718909402931;21;
"system";4;1718909402904;1718909402904;1718909402931;27;
"ZEDImageDisparity";5;1718909402930;1718909402930;1718909402931;0;
"ImageOpticalFlow";5;1718909402930;1718909402930;1718909402942;11;
"ZEDImageDisparity";6;1718909402959;1718909402960;1718909402960;0;
"ImageOpticalFlow";6;1718909402959;1718909402959;1718909402970;11;
"PlaneSegmentation";5;1718909402931;1718909402944;1718909402970;26;
"PlaneSegmentation";6;1718909402960;1718909402971;1718909402975;4;
