name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718909297011;1718909297011;1718909297012;0;
"ZEDImageDisparity";1;1718909297011;1718909297011;1718909297028;16;
"PlaneSegmentation";1;1718909297011;1718909297028;1718909297029;1;
"PlaneSegmentationVisualization";1;1718909297011;1718909297029;1718909297037;8;
"frame";1;1718909297011;1718909297011;1718909297037;26;
"system";1;1718909297004;1718909297004;1718909297037;33;
"ZEDImageDisparity";2;1718909297039;1718909297039;1718909297040;0;
"ImageOpticalFlow";2;1718909297039;1718909297039;1718909297051;11;
"PlaneSegmentation";2;1718909297039;1718909297051;1718909297058;7;
"PlaneSegmentationVisualization";2;1718909297039;1718909297058;1718909297066;8;
"frame";2;1718909297039;1718909297039;1718909297067;27;
"system";2;1718909297038;1718909297038;1718909297067;28;
"ZEDImageDisparity";3;1718909297068;1718909297068;1718909297069;0;
"ImageOpticalFlow";3;1718909297068;1718909297068;1718909297078;10;
"PlaneSegmentation";3;1718909297068;1718909297079;1718909297080;1;
"PlaneSegmentationVisualization";3;1718909297068;1718909297081;1718909297085;4;
"frame";3;1718909297068;1718909297068;1718909297085;17;
"system";3;1718909297067;1718909297067;1718909297085;18;
"ZEDImageDisparity";4;1718909297097;1718909297097;1718909297098;0;
"ImageOpticalFlow";4;1718909297097;1718909297097;1718909297108;10;
"PlaneSegmentation";4;1718909297097;1718909297109;1718909297110;1;
"PlaneSegmentationVisualization";4;1718909297097;1718909297110;1718909297119;8;
"frame";4;1718909297097;1718909297097;1718909297133;35;
"system";4;1718909297092;1718909297092;1718909297133;40;
"ZEDImageDisparity";5;1718909297131;1718909297132;1718909297133;0;
"ImageOpticalFlow";5;1718909297125;1718909297131;1718909297143;11;
"PlaneSegmentation";5;1718909297132;1718909297143;1718909297145;1;
"PlaneSegmentationVisualization";5;1718909297133;1718909297145;1718909297149;4;
"frame";5;1718909297125;1718909297125;1718909297149;23;
"system";5;1718909297120;1718909297120;1718909297149;29;
"ZEDImageDisparity";6;1718909297162;1718909297162;1718909297162;0;
"ImageOpticalFlow";6;1718909297162;1718909297162;1718909297172;10;
"PlaneSegmentation";6;1718909297162;1718909297173;1718909297174;1;
"PlaneSegmentationVisualization";6;1718909297162;1718909297174;1718909297178;4;
"frame";6;1718909297162;1718909297162;1718909297179;17;
"system";6;1718909297156;1718909297156;1718909297179;22;
"ZEDImageDisparity";7;1718909297191;1718909297191;1718909297192;1;
"ImageOpticalFlow";7;1718909297191;1718909297191;1718909297202;11;
"PlaneSegmentation";7;1718909297191;1718909297203;1718909297204;1;
"PlaneSegmentationVisualization";7;1718909297191;1718909297204;1718909297209;4;
"frame";7;1718909297191;1718909297191;1718909297209;18;
"system";7;1718909297189;1718909297189;1718909297209;19;
"ZEDImageDisparity";8;1718909297216;1718909297216;1718909297216;0;
"ImageOpticalFlow";8;1718909297216;1718909297216;1718909297226;10;
"PlaneSegmentation";8;1718909297216;1718909297227;1718909297228;1;
"PlaneSegmentationVisualization";8;1718909297216;1718909297228;1718909297233;4;
"frame";8;1718909297216;1718909297216;1718909297233;17;
"system";8;1718909297215;1718909297215;1718909297233;18;
"ZEDImageDisparity";9;1718909297248;1718909297248;1718909297248;0;
"ImageOpticalFlow";9;1718909297248;1718909297248;1718909297259;10;
"PlaneSegmentation";9;1718909297248;1718909297259;1718909297260;1;
"PlaneSegmentationVisualization";9;1718909297248;1718909297261;1718909297265;4;
"frame";9;1718909297248;1718909297248;1718909297265;17;
"system";9;1718909297246;1718909297246;1718909297265;18;
"ZEDImageDisparity";10;1718909297278;1718909297278;1718909297289;10;
"ImageOpticalFlow";10;1718909297278;1718909297278;1718909297289;10;
"PlaneSegmentation";10;1718909297278;1718909297289;1718909297291;1;
"PlaneSegmentationVisualization";10;1718909297279;1718909297291;1718909297299;8;
"frame";10;1718909297278;1718909297278;1718909297300;21;
"system";10;1718909297277;1718909297277;1718909297300;22;
"ZEDImageDisparity";11;1718909297302;1718909297302;1718909297303;0;
"ImageOpticalFlow";11;1718909297302;1718909297302;1718909297312;10;
"PlaneSegmentation";11;1718909297302;1718909297313;1718909297314;1;
"PlaneSegmentationVisualization";11;1718909297302;1718909297315;1718909297319;4;
"frame";11;1718909297302;1718909297302;1718909297319;16;
"system";11;1718909297301;1718909297301;1718909297319;18;
"ZEDImageDisparity";12;1718909297331;1718909297331;1718909297332;0;
"ImageOpticalFlow";12;1718909297331;1718909297331;1718909297342;10;
"PlaneSegmentation";12;1718909297331;1718909297342;1718909297344;1;
"PlaneSegmentationVisualization";12;1718909297331;1718909297344;1718909297348;4;
"frame";12;1718909297331;1718909297331;1718909297348;17;
"system";12;1718909297330;1718909297330;1718909297348;18;
"ZEDImageDisparity";13;1718909297360;1718909297360;1718909297371;10;
"ImageOpticalFlow";13;1718909297360;1718909297360;1718909297371;11;
"PlaneSegmentation";13;1718909297360;1718909297372;1718909297373;1;
"PlaneSegmentationVisualization";13;1718909297360;1718909297373;1718909297377;4;
"frame";13;1718909297360;1718909297360;1718909297377;17;
"system";13;1718909297358;1718909297358;1718909297377;19;
"ZEDImageDisparity";14;1718909297389;1718909297389;1718909297390;0;
"ImageOpticalFlow";14;1718909297389;1718909297389;1718909297400;10;
"PlaneSegmentation";14;1718909297389;1718909297400;1718909297401;1;
"PlaneSegmentationVisualization";14;1718909297389;1718909297402;1718909297406;4;
"frame";14;1718909297389;1718909297389;1718909297406;16;
"system";14;1718909297388;1718909297388;1718909297406;18;
"ZEDImageDisparity";15;1718909297418;1718909297418;1718909297418;0;
"ImageOpticalFlow";15;1718909297418;1718909297418;1718909297429;11;
"PlaneSegmentation";15;1718909297418;1718909297430;1718909297431;1;
"PlaneSegmentationVisualization";15;1718909297418;1718909297432;1718909297436;3;
"frame";15;1718909297418;1718909297418;1718909297436;17;
"system";15;1718909297416;1718909297416;1718909297436;19;
"ZEDImageDisparity";16;1718909297446;1718909297447;1718909297447;0;
"ImageOpticalFlow";16;1718909297446;1718909297446;1718909297458;12;
"PlaneSegmentation";16;1718909297447;1718909297459;1718909297461;1;
"PlaneSegmentationVisualization";16;1718909297447;1718909297461;1718909297465;4;
"frame";16;1718909297446;1718909297446;1718909297466;19;
"system";16;1718909297445;1718909297445;1718909297466;20;
"ZEDImageDisparity";17;1718909297478;1718909297478;1718909297479;0;
"ImageOpticalFlow";17;1718909297478;1718909297478;1718909297489;11;
"PlaneSegmentation";17;1718909297478;1718909297490;1718909297492;2;
"PlaneSegmentationVisualization";17;1718909297478;1718909297492;1718909297496;4;
"frame";17;1718909297478;1718909297478;1718909297496;18;
"system";17;1718909297473;1718909297473;1718909297496;23;
"ZEDImageDisparity";18;1718909297508;1718909297508;1718909297509;0;
"ImageOpticalFlow";18;1718909297508;1718909297508;1718909297519;11;
"PlaneSegmentation";18;1718909297508;1718909297520;1718909297522;1;
"PlaneSegmentationVisualization";18;1718909297508;1718909297522;1718909297527;4;
"frame";18;1718909297508;1718909297508;1718909297527;18;
"system";18;1718909297507;1718909297507;1718909297527;20;
"ZEDImageDisparity";19;1718909297537;1718909297537;1718909297538;0;
"ImageOpticalFlow";19;1718909297537;1718909297537;1718909297549;11;
"PlaneSegmentation";19;1718909297538;1718909297549;1718909297551;1;
"PlaneSegmentationVisualization";19;1718909297538;1718909297552;1718909297556;4;
"frame";19;1718909297537;1718909297537;1718909297556;19;
"system";19;1718909297533;1718909297533;1718909297556;23;
"ZEDImageDisparity";20;1718909297567;1718909297567;1718909297568;0;
"ImageOpticalFlow";20;1718909297567;1718909297567;1718909297580;12;
"PlaneSegmentation";20;1718909297567;1718909297580;1718909297582;1;
"PlaneSegmentationVisualization";20;1718909297568;1718909297582;1718909297586;4;
"frame";20;1718909297567;1718909297567;1718909297586;19;
"system";20;1718909297562;1718909297562;1718909297586;24;
"ZEDImageDisparity";21;1718909297597;1718909297597;1718909297598;0;
"ImageOpticalFlow";21;1718909297597;1718909297597;1718909297609;11;
"PlaneSegmentation";21;1718909297597;1718909297609;1718909297611;1;
"PlaneSegmentationVisualization";21;1718909297598;1718909297611;1718909297615;4;
"frame";21;1718909297597;1718909297597;1718909297615;18;
"system";21;1718909297592;1718909297592;1718909297615;23;
"ZEDImageDisparity";22;1718909297625;1718909297625;1718909297626;0;
"ImageOpticalFlow";22;1718909297625;1718909297625;1718909297637;11;
"PlaneSegmentation";22;1718909297626;1718909297638;1718909297639;1;
"PlaneSegmentationVisualization";22;1718909297626;1718909297639;1718909297644;4;
"frame";22;1718909297625;1718909297625;1718909297644;18;
"system";22;1718909297620;1718909297620;1718909297644;24;
"ZEDImageDisparity";23;1718909297653;1718909297653;1718909297654;0;
"ImageOpticalFlow";23;1718909297653;1718909297653;1718909297665;11;
"PlaneSegmentation";23;1718909297653;1718909297665;1718909297667;1;
"PlaneSegmentationVisualization";23;1718909297654;1718909297667;1718909297673;5;
"frame";23;1718909297653;1718909297653;1718909297673;19;
"system";23;1718909297648;1718909297648;1718909297673;24;
"ZEDImageDisparity";24;1718909297683;1718909297683;1718909297683;0;
"ImageOpticalFlow";24;1718909297682;1718909297682;1718909297694;11;
"PlaneSegmentation";24;1718909297683;1718909297695;1718909297696;1;
"PlaneSegmentationVisualization";24;1718909297683;1718909297696;1718909297703;6;
"frame";24;1718909297682;1718909297682;1718909297703;20;
"system";24;1718909297676;1718909297676;1718909297703;26;
"ZEDImageDisparity";25;1718909297710;1718909297710;1718909297711;0;
"ImageOpticalFlow";25;1718909297710;1718909297710;1718909297722;11;
"PlaneSegmentation";25;1718909297710;1718909297722;1718909297724;1;
"PlaneSegmentationVisualization";25;1718909297710;1718909297724;1718909297729;5;
"frame";25;1718909297710;1718909297710;1718909297729;19;
