name;run_id;time_init;time_start;time_end;duration_ms;
"ZEDImageDisparity";1;1718908916848;1718908916848;1718908916865;16;
"PlaneSegmentation";1;1718908916848;1718908916865;1718908916866;1;
"PlaneSegmentationVisualization";1;1718908916848;1718908916867;1718908916869;2;
"frame";1;1718908916848;1718908916848;1718908916869;21;
"system";1;1718908916840;1718908916840;1718908916869;28;
"ZEDImageDisparity";2;1718908916884;1718908916884;1718908916884;0;
"PlaneSegmentation";2;1718908916884;1718908916884;1718908916885;0;
"PlaneSegmentationVisualization";2;1718908916884;1718908916885;1718908916888;3;
"frame";2;1718908916884;1718908916884;1718908916888;4;
"system";2;1718908916882;1718908916882;1718908916888;6;
"ZEDImageDisparity";3;1718908916910;1718908916910;1718908916910;0;
"PlaneSegmentation";3;1718908916910;1718908916911;1718908916911;0;
"PlaneSegmentationVisualization";3;1718908916910;1718908916911;1718908916914;2;
"frame";3;1718908916910;1718908916910;1718908916914;3;
"system";3;1718908916909;1718908916909;1718908916914;5;
"ZEDImageDisparity";4;1718908916935;1718908916935;1718908916935;0;
"PlaneSegmentation";4;1718908916935;1718908916935;1718908916936;0;
"PlaneSegmentationVisualization";4;1718908916935;1718908916936;1718908916939;2;
"frame";4;1718908916935;1718908916935;1718908916939;4;
"system";4;1718908916933;1718908916933;1718908916939;5;
"ZEDImageDisparity";5;1718908916959;1718908916959;1718908916960;0;
"PlaneSegmentation";5;1718908916959;1718908916960;1718908916961;0;
"PlaneSegmentationVisualization";5;1718908916959;1718908916961;1718908916963;2;
"frame";5;1718908916959;1718908916959;1718908916963;4;
"system";5;1718908916958;1718908916958;1718908916963;5;
"ZEDImageDisparity";6;1718908916981;1718908916981;1718908916982;0;
"PlaneSegmentation";6;1718908916981;1718908916982;1718908916983;0;
"PlaneSegmentationVisualization";6;1718908916981;1718908916983;1718908916985;2;
"frame";6;1718908916981;1718908916981;1718908916985;3;
"system";6;1718908916980;1718908916980;1718908916985;5;
"ZEDImageDisparity";7;1718908917008;1718908917008;1718908917008;0;
"PlaneSegmentation";7;1718908917008;1718908917008;1718908917009;0;
"PlaneSegmentationVisualization";7;1718908917008;1718908917009;1718908917012;2;
"frame";7;1718908917008;1718908917008;1718908917012;4;
"system";7;1718908917006;1718908917006;1718908917012;5;
"ZEDImageDisparity";8;1718908917031;1718908917036;1718908917038;1;
"PlaneSegmentation";8;1718908917036;1718908917038;1718908917039;0;
"PlaneSegmentationVisualization";8;1718908917037;1718908917039;1718908917041;2;
"frame";8;1718908917031;1718908917031;1718908917041;9;
"system";8;1718908917030;1718908917030;1718908917041;11;
"ZEDImageDisparity";9;1718908917063;1718908917063;1718908917063;0;
"PlaneSegmentation";9;1718908917063;1718908917064;1718908917064;0;
"PlaneSegmentationVisualization";9;1718908917063;1718908917064;1718908917067;2;
"frame";9;1718908917063;1718908917063;1718908917067;4;
"system";9;1718908917057;1718908917057;1718908917067;9;
"ZEDImageDisparity";10;1718908917090;1718908917090;1718908917091;0;
"PlaneSegmentation";10;1718908917090;1718908917091;1718908917092;0;
"PlaneSegmentationVisualization";10;1718908917090;1718908917092;1718908917095;2;
"frame";10;1718908917090;1718908917090;1718908917095;4;
"system";10;1718908917084;1718908917084;1718908917095;10;
"ZEDImageDisparity";11;1718908917107;1718908917107;1718908917108;0;
"PlaneSegmentation";11;1718908917107;1718908917108;1718908917108;0;
"PlaneSegmentationVisualization";11;1718908917107;1718908917109;1718908917111;2;
"frame";11;1718908917107;1718908917107;1718908917111;3;
"system";11;1718908917106;1718908917106;1718908917111;4;
"ZEDImageDisparity";12;1718908917141;1718908917141;1718908917141;0;
"PlaneSegmentation";12;1718908917141;1718908917142;1718908917142;0;
"PlaneSegmentationVisualization";12;1718908917141;1718908917143;1718908917146;2;
"frame";12;1718908917141;1718908917141;1718908917146;4;
"system";12;1718908917140;1718908917140;1718908917146;6;
"ZEDImageDisparity";13;1718908917171;1718908917171;1718908917172;0;
"PlaneSegmentation";13;1718908917171;1718908917172;1718908917173;0;
"PlaneSegmentationVisualization";13;1718908917172;1718908917173;1718908917175;2;
"frame";13;1718908917171;1718908917171;1718908917175;3;
"system";13;1718908917169;1718908917169;1718908917175;6;
"ZEDImageDisparity";14;1718908917202;1718908917202;1718908917202;0;
"PlaneSegmentation";14;1718908917202;1718908917203;1718908917203;0;
"PlaneSegmentationVisualization";14;1718908917202;1718908917204;1718908917206;2;
"frame";14;1718908917202;1718908917202;1718908917206;4;
"system";14;1718908917201;1718908917201;1718908917206;5;
"ZEDImageDisparity";15;1718908917228;1718908917228;1718908917228;0;
"PlaneSegmentation";15;1718908917228;1718908917229;1718908917229;0;
"PlaneSegmentationVisualization";15;1718908917228;1718908917229;1718908917232;2;
"frame";15;1718908917228;1718908917228;1718908917232;3;
"system";15;1718908917227;1718908917227;1718908917232;5;
"ZEDImageDisparity";16;1718908917259;1718908917259;1718908917259;0;
"PlaneSegmentation";16;1718908917259;1718908917259;1718908917260;0;
"PlaneSegmentationVisualization";16;1718908917259;1718908917260;1718908917263;2;
"frame";16;1718908917259;1718908917259;1718908917263;3;
"system";16;1718908917258;1718908917258;1718908917263;5;
"ZEDImageDisparity";17;1718908917290;1718908917290;1718908917291;0;
"PlaneSegmentation";17;1718908917290;1718908917291;1718908917292;0;
"PlaneSegmentationVisualization";17;1718908917290;1718908917292;1718908917294;2;
"frame";17;1718908917290;1718908917290;1718908917294;4;
"system";17;1718908917285;1718908917285;1718908917294;9;
"ZEDImageDisparity";18;1718908917314;1718908917314;1718908917315;0;
"PlaneSegmentation";18;1718908917314;1718908917315;1718908917316;0;
"PlaneSegmentationVisualization";18;1718908917314;1718908917316;1718908917318;2;
"frame";18;1718908917314;1718908917314;1718908917318;4;
"system";18;1718908917313;1718908917313;1718908917318;5;
"ZEDImageDisparity";19;1718908917342;1718908917342;1718908917342;0;
"PlaneSegmentation";19;1718908917342;1718908917342;1718908917343;0;
"PlaneSegmentationVisualization";19;1718908917342;1718908917343;1718908917346;2;
"frame";19;1718908917342;1718908917342;1718908917346;3;
"system";19;1718908917341;1718908917341;1718908917346;5;
"ZEDImageDisparity";20;1718908917369;1718908917369;1718908917370;0;
"PlaneSegmentation";20;1718908917369;1718908917370;1718908917372;1;
"PlaneSegmentationVisualization";20;1718908917369;1718908917372;1718908917374;2;
"frame";20;1718908917369;1718908917369;1718908917374;4;
"system";20;1718908917364;1718908917364;1718908917374;9;
"ZEDImageDisparity";21;1718908917396;1718908917397;1718908917397;0;
"PlaneSegmentation";21;1718908917397;1718908917397;1718908917398;0;
"PlaneSegmentationVisualization";21;1718908917397;1718908917398;1718908917400;2;
"frame";21;1718908917396;1718908917396;1718908917401;4;
"system";21;1718908917395;1718908917395;1718908917401;5;
"ZEDImageDisparity";22;1718908917423;1718908917423;1718908917423;0;
"PlaneSegmentation";22;1718908917423;1718908917423;1718908917424;0;
"PlaneSegmentationVisualization";22;1718908917423;1718908917424;1718908917427;2;
