name;run_id;time_init;time_start;time_end;duration_ms;
"ZEDImageDisparity";1;1718908933590;1718908933590;1718908933603;12;
"PlaneSegmentation";1;1718908933590;1718908933603;1718908933604;1;
"PlaneSegmentationVisualization";1;1718908933590;1718908933604;1718908933607;2;
"frame";1;1718908933590;1718908933590;1718908933607;17;
"system";1;1718908933582;1718908933582;1718908933607;25;
"ZEDImageDisparity";2;1718908933618;1718908933618;1718908933619;0;
"PlaneSegmentation";2;1718908933618;1718908933619;1718908933619;0;
"PlaneSegmentationVisualization";2;1718908933618;1718908933620;1718908933621;1;
"frame";2;1718908933618;1718908933618;1718908933621;2;
"system";2;1718908933613;1718908933613;1718908933621;7;
"ZEDImageDisparity";3;1718908933647;1718908933647;1718908933647;0;
"PlaneSegmentation";3;1718908933647;1718908933647;1718908933648;0;
"PlaneSegmentationVisualization";3;1718908933647;1718908933648;1718908933651;2;
"frame";3;1718908933647;1718908933647;1718908933651;3;
"system";3;1718908933642;1718908933642;1718908933651;8;
"ZEDImageDisparity";4;1718908933675;1718908933679;1718908933680;0;
"PlaneSegmentation";4;1718908933679;1718908933680;1718908933681;0;
"PlaneSegmentationVisualization";4;1718908933679;1718908933681;1718908933684;2;
"frame";4;1718908933675;1718908933675;1718908933684;9;
"system";4;1718908933671;1718908933671;1718908933684;13;
"ZEDImageDisparity";5;1718908933722;1718908933722;1718908933722;0;
"PlaneSegmentation";5;1718908933722;1718908933722;1718908933723;0;
"PlaneSegmentationVisualization";5;1718908933722;1718908933723;1718908933726;2;
"frame";5;1718908933722;1718908933722;1718908933726;4;
"system";5;1718908933718;1718908933718;1718908933726;8;
"ZEDImageDisparity";6;1718908933751;1718908933751;1718908933752;0;
"PlaneSegmentation";6;1718908933751;1718908933752;1718908933753;0;
"PlaneSegmentationVisualization";6;1718908933751;1718908933753;1718908933756;2;
"frame";6;1718908933751;1718908933751;1718908933756;4;
"system";6;1718908933747;1718908933747;1718908933756;9;
"ZEDImageDisparity";7;1718908933778;1718908933778;1718908933778;0;
"PlaneSegmentation";7;1718908933778;1718908933779;1718908933779;0;
"PlaneSegmentationVisualization";7;1718908933778;1718908933779;1718908933782;2;
"frame";7;1718908933778;1718908933778;1718908933782;4;
"system";7;1718908933774;1718908933774;1718908933782;7;
"ZEDImageDisparity";8;1718908933807;1718908933807;1718908933808;0;
"PlaneSegmentation";8;1718908933807;1718908933808;1718908933809;0;
