name;run_id;time_init;time_start;time_end;duration_ms;
"ZEDImageDisparity";1;1718909119915;1718909119915;1718909119928;12;
"PlaneSegmentation";1;1718909119915;1718909119928;1718909119929;1;
"PlaneSegmentationVisualization";1;1718909119915;1718909119929;1718909119933;3;
"frame";1;1718909119915;1718909119915;1718909119933;18;
"system";1;1718909119907;1718909119907;1718909119933;26;
"ZEDImageDisparity";2;1718909119939;1718909119939;1718909119939;0;
"PlaneSegmentation";2;1718909119939;1718909119939;1718909119940;0;
"PlaneSegmentationVisualization";2;1718909119939;1718909119940;1718909119942;2;
"frame";2;1718909119939;1718909119939;1718909119943;4;
"system";2;1718909119933;1718909119933;1718909119943;9;
"ZEDImageDisparity";3;1718909119959;1718909119959;1718909119960;0;
"PlaneSegmentation";3;1718909119959;1718909119960;1718909119961;0;
"PlaneSegmentationVisualization";3;1718909119959;1718909119961;1718909119964;3;
"frame";3;1718909119959;1718909119959;1718909119964;4;
"system";3;1718909119958;1718909119958;1718909119964;5;
"ZEDImageDisparity";4;1718909119982;1718909119982;1718909119982;0;
"PlaneSegmentation";4;1718909119982;1718909119982;1718909119983;0;
"PlaneSegmentationVisualization";4;1718909119982;1718909119983;1718909119986;2;
"frame";4;1718909119982;1718909119982;1718909119986;4;
"system";4;1718909119977;1718909119977;1718909119986;8;
"ZEDImageDisparity";5;1718909120004;1718909120008;1718909120009;0;
"PlaneSegmentation";5;1718909120008;1718909120009;1718909120010;0;
"PlaneSegmentationVisualization";5;1718909120008;1718909120010;1718909120013;2;
"frame";5;1718909120004;1718909120004;1718909120013;9;
"system";5;1718909120003;1718909120003;1718909120013;10;
"ZEDImageDisparity";6;1718909120037;1718909120039;1718909120040;1;
"PlaneSegmentation";6;1718909120039;1718909120041;1718909120041;0;
"PlaneSegmentationVisualization";6;1718909120039;1718909120041;1718909120044;2;
"frame";6;1718909120037;1718909120037;1718909120044;6;
"system";6;1718909120032;1718909120032;1718909120044;11;
"ZEDImageDisparity";7;1718909120064;1718909120064;1718909120064;0;
"PlaneSegmentation";7;1718909120064;1718909120064;1718909120065;0;
"PlaneSegmentationVisualization";7;1718909120064;1718909120066;1718909120068;2;
"frame";7;1718909120064;1718909120064;1718909120069;4;
"system";7;1718909120058;1718909120058;1718909120069;10;
"ZEDImageDisparity";8;1718909120087;1718909120087;1718909120088;0;
"PlaneSegmentation";8;1718909120087;1718909120088;1718909120090;1;
"PlaneSegmentationVisualization";8;1718909120088;1718909120090;1718909120092;2;
"frame";8;1718909120087;1718909120087;1718909120092;5;
"system";8;1718909120082;1718909120082;1718909120093;10;
"ZEDImageDisparity";9;1718909120110;1718909120110;1718909120111;0;
"PlaneSegmentation";9;1718909120110;1718909120111;1718909120112;0;
"PlaneSegmentationVisualization";9;1718909120111;1718909120112;1718909120114;2;
"frame";9;1718909120110;1718909120110;1718909120114;3;
"system";9;1718909120105;1718909120105;1718909120114;8;
"ZEDImageDisparity";10;1718909120134;1718909120134;1718909120134;0;
"PlaneSegmentation";10;1718909120134;1718909120134;1718909120135;0;
"PlaneSegmentationVisualization";10;1718909120134;1718909120136;1718909120138;2;
"frame";10;1718909120134;1718909120134;1718909120138;4;
"system";10;1718909120128;1718909120128;1718909120138;9;
"ZEDImageDisparity";11;1718909120151;1718909120151;1718909120152;0;
"PlaneSegmentation";11;1718909120151;1718909120152;1718909120153;0;
"PlaneSegmentationVisualization";11;1718909120151;1718909120153;1718909120155;2;
"frame";11;1718909120151;1718909120151;1718909120155;3;
"system";11;1718909120146;1718909120146;1718909120155;9;
"ZEDImageDisparity";12;1718909120178;1718909120178;1718909120179;0;
"PlaneSegmentation";12;1718909120178;1718909120179;1718909120180;0;
"PlaneSegmentationVisualization";12;1718909120178;1718909120180;1718909120183;2;
"frame";12;1718909120178;1718909120178;1718909120183;4;
"system";12;1718909120176;1718909120176;1718909120183;6;
"ZEDImageDisparity";13;1718909120201;1718909120201;1718909120201;0;
"PlaneSegmentation";13;1718909120201;1718909120201;1718909120202;0;
"PlaneSegmentationVisualization";13;1718909120201;1718909120202;1718909120204;2;
"frame";13;1718909120201;1718909120201;1718909120205;4;
"system";13;1718909120195;1718909120195;1718909120205;9;
"ZEDImageDisparity";14;1718909120224;1718909120224;1718909120224;0;
"PlaneSegmentation";14;1718909120224;1718909120225;1718909120225;0;
"PlaneSegmentationVisualization";14;1718909120224;1718909120225;1718909120228;2;
"frame";14;1718909120224;1718909120224;1718909120228;3;
"system";14;1718909120218;1718909120218;1718909120228;10;
"ZEDImageDisparity";15;1718909120251;1718909120251;1718909120252;0;
"PlaneSegmentation";15;1718909120251;1718909120252;1718909120253;0;
