name;run_id;time_init;time_start;time_end;duration_ms;
"ZEDImageDisparity";1;1718909189866;1718909189866;1718909189879;12;
"PlaneSegmentation";1;1718909189866;1718909189879;1718909189881;1;
"PlaneSegmentationVisualization";1;1718909189866;1718909189881;1718909189884;2;
"frame";1;1718909189866;1718909189866;1718909189884;17;
"system";1;1718909189859;1718909189859;1718909189884;25;
"ZEDImageDisparity";2;1718909189889;1718909189889;1718909189889;0;
"PlaneSegmentation";2;1718909189889;1718909189889;1718909189890;0;
"PlaneSegmentationVisualization";2;1718909189889;1718909189890;1718909189892;2;
"frame";2;1718909189889;1718909189889;1718909189892;3;
"system";2;1718909189888;1718909189888;1718909189893;4;
"ZEDImageDisparity";3;1718909189911;1718909189911;1718909189911;0;
"PlaneSegmentation";3;1718909189911;1718909189912;1718909189912;0;
"PlaneSegmentationVisualization";3;1718909189911;1718909189912;1718909189915;2;
"frame";3;1718909189911;1718909189911;1718909189915;3;
"system";3;1718909189910;1718909189910;1718909189915;5;
"ZEDImageDisparity";4;1718909189931;1718909189931;1718909189932;0;
"PlaneSegmentation";4;1718909189931;1718909189932;1718909189933;0;
"PlaneSegmentationVisualization";4;1718909189931;1718909189933;1718909189935;2;
"frame";4;1718909189931;1718909189931;1718909189936;4;
"system";4;1718909189930;1718909189930;1718909189936;5;
"ZEDImageDisparity";5;1718909189952;1718909189952;1718909189953;0;
"PlaneSegmentation";5;1718909189952;1718909189953;1718909189954;0;
"PlaneSegmentationVisualization";5;1718909189953;1718909189954;1718909189956;2;
"frame";5;1718909189952;1718909189952;1718909189956;3;
"system";5;1718909189951;1718909189951;1718909189956;5;
"ZEDImageDisparity";6;1718909189973;1718909189974;1718909189993;18;
"PlaneSegmentation";6;1718909189975;1718909189993;1718909189994;0;
"PlaneSegmentationVisualization";6;1718909189975;1718909189994;1718909189996;2;
"frame";6;1718909189973;1718909189973;1718909189996;23;
"system";6;1718909189968;1718909189968;1718909189996;28;
"ZEDImageDisparity";7;1718909190008;1718909190008;1718909190009;0;
"PlaneSegmentation";7;1718909190008;1718909190009;1718909190010;0;
"PlaneSegmentationVisualization";7;1718909190009;1718909190010;1718909190012;2;
"frame";7;1718909190008;1718909190008;1718909190012;4;
"system";7;1718909190004;1718909190004;1718909190012;8;
"ZEDImageDisparity";8;1718909190032;1718909190032;1718909190032;0;
"PlaneSegmentation";8;1718909190032;1718909190033;1718909190033;0;
"PlaneSegmentationVisualization";8;1718909190032;1718909190033;1718909190036;2;
"frame";8;1718909190032;1718909190032;1718909190036;4;
"system";8;1718909190030;1718909190030;1718909190036;5;
"ZEDImageDisparity";9;1718909190055;1718909190055;1718909190056;0;
"PlaneSegmentation";9;1718909190055;1718909190056;1718909190056;0;
"PlaneSegmentationVisualization";9;1718909190055;1718909190057;1718909190059;2;
"frame";9;1718909190055;1718909190055;1718909190059;4;
"system";9;1718909190054;1718909190054;1718909190059;5;
"ZEDImageDisparity";10;1718909190078;1718909190078;1718909190078;0;
"PlaneSegmentation";10;1718909190078;1718909190079;1718909190080;0;
"PlaneSegmentationVisualization";10;1718909190078;1718909190080;1718909190082;2;
"frame";10;1718909190078;1718909190078;1718909190083;4;
"system";10;1718909190073;1718909190073;1718909190083;9;
"ZEDImageDisparity";11;1718909190095;1718909190095;1718909190095;0;
"PlaneSegmentation";11;1718909190095;1718909190096;1718909190096;0;
"PlaneSegmentationVisualization";11;1718909190095;1718909190096;1718909190099;2;
"frame";11;1718909190095;1718909190095;1718909190099;3;
"system";11;1718909190090;1718909190090;1718909190099;8;
"ZEDImageDisparity";12;1718909190122;1718909190122;1718909190122;0;
"PlaneSegmentation";12;1718909190122;1718909190123;1718909190123;0;
"PlaneSegmentationVisualization";12;1718909190122;1718909190123;1718909190126;2;
"frame";12;1718909190122;1718909190122;1718909190126;4;
"system";12;1718909190121;1718909190121;1718909190126;5;
"ZEDImageDisparity";13;1718909190141;1718909190141;1718909190142;0;
"PlaneSegmentation";13;1718909190141;1718909190142;1718909190143;0;
"PlaneSegmentationVisualization";13;1718909190142;1718909190143;1718909190145;2;
"frame";13;1718909190141;1718909190141;1718909190145;3;
"system";13;1718909190137;1718909190137;1718909190145;8;
"ZEDImageDisparity";14;1718909190161;1718909190161;1718909190162;0;
"PlaneSegmentation";14;1718909190162;1718909190162;1718909190163;0;
"PlaneSegmentationVisualization";14;1718909190162;1718909190163;1718909190165;2;
"frame";14;1718909190161;1718909190161;1718909190165;3;
"system";14;1718909190157;1718909190157;1718909190165;8;
"ZEDImageDisparity";15;1718909190183;1718909190183;1718909190183;0;
