name;run_id;time_init;time_start;time_end;duration_ms;
"ZEDImageDisparity";1;1718909098336;1718909098336;1718909098349;12;
"PlaneSegmentation";1;1718909098336;1718909098350;1718909098351;1;
"PlaneSegmentationVisualization";1;1718909098336;1718909098351;1718909098358;6;
"frame";1;1718909098336;1718909098336;1718909098358;21;
"system";1;1718909098326;1718909098326;1718909098358;32;
"ZEDImageDisparity";2;1718909098358;1718909098358;1718909098359;0;
"PlaneSegmentation";2;1718909098358;1718909098359;1718909098359;0;
"PlaneSegmentationVisualization";2;1718909098358;1718909098360;1718909098362;2;
"frame";2;1718909098358;1718909098358;1718909098362;4;
"system";2;1718909098357;1718909098357;1718909098362;5;
"ZEDImageDisparity";3;1718909098376;1718909098376;1718909098377;0;
"PlaneSegmentation";3;1718909098376;1718909098377;1718909098377;0;
"PlaneSegmentationVisualization";3;1718909098376;1718909098377;1718909098380;2;
"frame";3;1718909098376;1718909098376;1718909098380;3;
"system";3;1718909098375;1718909098375;1718909098380;5;
"ZEDImageDisparity";4;1718909098396;1718909098396;1718909098397;0;
"PlaneSegmentation";4;1718909098396;1718909098397;1718909098398;0;
"PlaneSegmentationVisualization";4;1718909098396;1718909098398;1718909098400;2;
"frame";4;1718909098396;1718909098396;1718909098400;4;
"system";4;1718909098391;1718909098391;1718909098400;9;
"ZEDImageDisparity";5;1718909098413;1718909098413;1718909098414;0;
"PlaneSegmentation";5;1718909098413;1718909098414;1718909098414;0;
"PlaneSegmentationVisualization";5;1718909098413;1718909098415;1718909098417;2;
"frame";5;1718909098413;1718909098413;1718909098417;3;
"system";5;1718909098408;1718909098408;1718909098417;8;
"ZEDImageDisparity";6;1718909098435;1718909098437;1718909098455;18;
"PlaneSegmentation";6;1718909098437;1718909098455;1718909098456;0;
"PlaneSegmentationVisualization";6;1718909098437;1718909098456;1718909098458;2;
"frame";6;1718909098435;1718909098435;1718909098459;24;
"system";6;1718909098433;1718909098433;1718909098459;25;
"ZEDImageDisparity";7;1718909098471;1718909098471;1718909098471;0;
"PlaneSegmentation";7;1718909098471;1718909098471;1718909098472;0;
"PlaneSegmentationVisualization";7;1718909098471;1718909098472;1718909098475;2;
"frame";7;1718909098471;1718909098471;1718909098475;4;
"system";7;1718909098466;1718909098466;1718909098475;8;
"ZEDImageDisparity";8;1718909098492;1718909098492;1718909098492;0;
"PlaneSegmentation";8;1718909098492;1718909098493;1718909098493;0;
"PlaneSegmentationVisualization";8;1718909098492;1718909098494;1718909098496;2;
"frame";8;1718909098492;1718909098492;1718909098497;4;
"system";8;1718909098490;1718909098490;1718909098497;6;
"ZEDImageDisparity";9;1718909098513;1718909098513;1718909098513;0;
"PlaneSegmentation";9;1718909098513;1718909098514;1718909098514;0;
"PlaneSegmentationVisualization";9;1718909098513;1718909098514;1718909098517;2;
"frame";9;1718909098513;1718909098513;1718909098517;4;
"system";9;1718909098511;1718909098511;1718909098517;6;
"ZEDImageDisparity";10;1718909098532;1718909098532;1718909098532;0;
"PlaneSegmentation";10;1718909098532;1718909098533;1718909098534;0;
"PlaneSegmentationVisualization";10;1718909098532;1718909098534;1718909098536;2;
"frame";10;1718909098532;1718909098532;1718909098536;4;
"system";10;1718909098528;1718909098528;1718909098536;8;
"ZEDImageDisparity";11;1718909098552;1718909098552;1718909098552;0;
"PlaneSegmentation";11;1718909098552;1718909098553;1718909098553;0;
"PlaneSegmentationVisualization";11;1718909098552;1718909098553;1718909098556;2;
"frame";11;1718909098552;1718909098552;1718909098556;4;
"system";11;1718909098547;1718909098547;1718909098556;8;
"ZEDImageDisparity";12;1718909098572;1718909098572;1718909098572;0;
"PlaneSegmentation";12;1718909098572;1718909098573;1718909098573;0;
"PlaneSegmentationVisualization";12;1718909098572;1718909098574;1718909098576;2;
"frame";12;1718909098572;1718909098572;1718909098576;4;
"system";12;1718909098567;1718909098567;1718909098576;8;
"ZEDImageDisparity";13;1718909098592;1718909098592;1718909098593;0;
"PlaneSegmentation";13;1718909098592;1718909098593;1718909098594;0;
"PlaneSegmentationVisualization";13;1718909098592;1718909098594;1718909098597;2;
"frame";13;1718909098592;1718909098592;1718909098597;4;
"system";13;1718909098591;1718909098591;1718909098597;5;
"ZEDImageDisparity";14;1718909098613;1718909098613;1718909098614;0;
"PlaneSegmentation";14;1718909098613;1718909098614;1718909098615;0;
"PlaneSegmentationVisualization";14;1718909098613;1718909098615;1718909098617;2;
"frame";14;1718909098613;1718909098613;1718909098617;4;
"system";14;1718909098608;1718909098608;1718909098617;9;
"ZEDImageDisparity";15;1718909098634;1718909098634;1718909098634;0;
"PlaneSegmentation";15;1718909098634;1718909098634;1718909098635;0;
"PlaneSegmentationVisualization";15;1718909098634;1718909098635;1718909098638;2;
"frame";15;1718909098634;1718909098634;1718909098638;4;
"system";15;1718909098629;1718909098629;1718909098638;8;
"ZEDImageDisparity";16;1718909098656;1718909098656;1718909098656;0;
"PlaneSegmentation";16;1718909098656;1718909098657;1718909098657;0;
"PlaneSegmentationVisualization";16;1718909098656;1718909098657;1718909098661;3;
"frame";16;1718909098656;1718909098656;1718909098661;4;
"system";16;1718909098651;1718909098651;1718909098661;9;
"ZEDImageDisparity";17;1718909098679;1718909098679;1718909098679;0;
"PlaneSegmentation";17;1718909098679;1718909098679;1718909098680;0;
"PlaneSegmentationVisualization";17;1718909098679;1718909098680;1718909098683;2;
"frame";17;1718909098679;1718909098679;1718909098683;4;
"system";17;1718909098673;1718909098673;1718909098683;10;
"ZEDImageDisparity";18;1718909098697;1718909098697;1718909098698;0;
"PlaneSegmentation";18;1718909098697;1718909098698;1718909098699;0;
"PlaneSegmentationVisualization";18;1718909098698;1718909098699;1718909098702;3;
"frame";18;1718909098697;1718909098697;1718909098702;4;
"system";18;1718909098694;1718909098694;1718909098702;8;
"ZEDImageDisparity";19;1718909098716;1718909098716;1718909098716;0;
"PlaneSegmentation";19;1718909098716;1718909098717;1718909098717;0;
"PlaneSegmentationVisualization";19;1718909098716;1718909098718;1718909098720;2;
"frame";19;1718909098716;1718909098716;1718909098721;4;
"system";19;1718909098711;1718909098711;1718909098721;9;
"ZEDImageDisparity";20;1718909098734;1718909098734;1718909098734;0;
"PlaneSegmentation";20;1718909098734;1718909098734;1718909098735;0;
"PlaneSegmentationVisualization";20;1718909098734;1718909098735;1718909098738;2;
"frame";20;1718909098734;1718909098734;1718909098738;4;
"system";20;1718909098729;1718909098729;1718909098738;8;
"ZEDImageDisparity";21;1718909098751;1718909098751;1718909098752;0;
"PlaneSegmentation";21;1718909098751;1718909098752;1718909098753;0;
"PlaneSegmentationVisualization";21;1718909098751;1718909098753;1718909098756;2;
"frame";21;1718909098751;1718909098751;1718909098756;4;
"system";21;1718909098750;1718909098750;1718909098756;5;
"ZEDImageDisparity";22;1718909098769;1718909098769;1718909098769;0;
"PlaneSegmentation";22;1718909098769;1718909098769;1718909098770;0;
"PlaneSegmentationVisualization";22;1718909098769;1718909098770;1718909098772;2;
"frame";22;1718909098769;1718909098769;1718909098773;4;
"system";22;1718909098764;1718909098764;1718909098773;8;
"ZEDImageDisparity";23;1718909098787;1718909098787;1718909098787;0;
"PlaneSegmentation";23;1718909098787;1718909098788;1718909098788;0;
"PlaneSegmentationVisualization";23;1718909098787;1718909098788;1718909098791;2;
"frame";23;1718909098787;1718909098787;1718909098791;4;
"system";23;1718909098782;1718909098782;1718909098791;8;
"ZEDImageDisparity";24;1718909098805;1718909098805;1718909098805;0;
"PlaneSegmentation";24;1718909098805;1718909098806;1718909098806;0;
"PlaneSegmentationVisualization";24;1718909098805;1718909098806;1718909098809;2;
"frame";24;1718909098805;1718909098805;1718909098809;4;
"system";24;1718909098804;1718909098804;1718909098809;5;
"ZEDImageDisparity";25;1718909098823;1718909098823;1718909098824;0;
"PlaneSegmentation";25;1718909098823;1718909098824;1718909098824;0;
"PlaneSegmentationVisualization";25;1718909098823;1718909098825;1718909098827;2;
"frame";25;1718909098823;1718909098823;1718909098827;4;
"system";25;1718909098818;1718909098818;1718909098827;8;
"ZEDImageDisparity";26;1718909098841;1718909098841;1718909098842;0;
"PlaneSegmentation";26;1718909098841;1718909098842;1718909098843;0;
"PlaneSegmentationVisualization";26;1718909098841;1718909098843;1718909098846;2;
"frame";26;1718909098841;1718909098841;1718909098846;4;
"system";26;1718909098837;1718909098837;1718909098846;8;
"ZEDImageDisparity";27;1718909098859;1718909098859;1718909098860;0;
"PlaneSegmentation";27;1718909098859;1718909098860;1718909098860;0;
"PlaneSegmentationVisualization";27;1718909098859;1718909098861;1718909098863;2;
"frame";27;1718909098859;1718909098859;1718909098863;4;
"system";27;1718909098855;1718909098855;1718909098863;8;
"ZEDImageDisparity";28;1718909098878;1718909098878;1718909098879;0;
"PlaneSegmentation";28;1718909098878;1718909098879;1718909098879;0;
"PlaneSegmentationVisualization";28;1718909098878;1718909098880;1718909098882;2;
"frame";28;1718909098878;1718909098878;1718909098882;4;
"system";28;1718909098873;1718909098873;1718909098882;9;
"ZEDImageDisparity";29;1718909098896;1718909098896;1718909098897;0;
"PlaneSegmentation";29;1718909098896;1718909098897;1718909098898;0;
"PlaneSegmentationVisualization";29;1718909098897;1718909098898;1718909098900;2;
"frame";29;1718909098896;1718909098896;1718909098900;3;
"system";29;1718909098892;1718909098892;1718909098900;8;
"ZEDImageDisparity";30;1718909098914;1718909098914;1718909098915;0;
"PlaneSegmentation";30;1718909098915;1718909098915;1718909098916;0;
"PlaneSegmentationVisualization";30;1718909098915;1718909098916;1718909098919;3;
"frame";30;1718909098914;1718909098914;1718909098919;4;
"system";30;1718909098910;1718909098910;1718909098919;9;
"ZEDImageDisparity";31;1718909098933;1718909098933;1718909098934;0;
"PlaneSegmentation";31;1718909098933;1718909098934;1718909098934;0;
"PlaneSegmentationVisualization";31;1718909098933;1718909098935;1718909098937;2;
"frame";31;1718909098933;1718909098933;1718909098937;4;
"system";31;1718909098932;1718909098932;1718909098937;5;
"ZEDImageDisparity";32;1718909098951;1718909098951;1718909098952;0;
"PlaneSegmentation";32;1718909098951;1718909098952;1718909098953;0;
"PlaneSegmentationVisualization";32;1718909098951;1718909098953;1718909098955;2;
"frame";32;1718909098951;1718909098951;1718909098956;4;
"system";32;1718909098947;1718909098947;1718909098956;8;
"ZEDImageDisparity";33;1718909098972;1718909098972;1718909098973;0;
"PlaneSegmentation";33;1718909098972;1718909098973;1718909098974;0;
"PlaneSegmentationVisualization";33;1718909098972;1718909098974;1718909098976;2;
"frame";33;1718909098972;1718909098972;1718909098976;4;
"system";33;1718909098967;1718909098967;1718909098977;9;
"ZEDImageDisparity";34;1718909098990;1718909098991;1718909098991;0;
"PlaneSegmentation";34;1718909098991;1718909098991;1718909098992;0;
"PlaneSegmentationVisualization";34;1718909098991;1718909098992;1718909098995;2;
"frame";34;1718909098990;1718909098990;1718909098995;4;
"system";34;1718909098986;1718909098986;1718909098995;9;
"ZEDImageDisparity";35;1718909099010;1718909099010;1718909099011;0;
"PlaneSegmentation";35;1718909099010;1718909099011;1718909099012;0;
"PlaneSegmentationVisualization";35;1718909099010;1718909099012;1718909099014;2;
"frame";35;1718909099010;1718909099010;1718909099015;4;
"system";35;1718909099009;1718909099009;1718909099015;5;
