name;run_id;time_init;time_start;time_end;duration_ms;
"ZEDImageDisparity";1;1718909174768;1718909174768;1718909174785;16;
"PlaneSegmentation";1;1718909174768;1718909174785;1718909174786;1;
"PlaneSegmentationVisualization";1;1718909174768;1718909174786;1718909174790;3;
"frame";1;1718909174768;1718909174768;1718909174790;21;
"system";1;1718909174761;1718909174761;1718909174790;29;
"ZEDImageDisparity";2;1718909174795;1718909174795;1718909174796;0;
"PlaneSegmentation";2;1718909174795;1718909174796;1718909174797;0;
"PlaneSegmentationVisualization";2;1718909174796;1718909174797;1718909174800;2;
"frame";2;1718909174795;1718909174795;1718909174800;4;
"system";2;1718909174790;1718909174790;1718909174800;9;
"ZEDImageDisparity";3;1718909174820;1718909174820;1718909174821;0;
"PlaneSegmentation";3;1718909174820;1718909174821;1718909174822;0;
"PlaneSegmentationVisualization";3;1718909174820;1718909174822;1718909174824;2;
"frame";3;1718909174820;1718909174820;1718909174824;4;
"system";3;1718909174819;1718909174819;1718909174824;5;
"ZEDImageDisparity";4;1718909174844;1718909174844;1718909174844;0;
"PlaneSegmentation";4;1718909174844;1718909174844;1718909174845;0;
"PlaneSegmentationVisualization";4;1718909174844;1718909174845;1718909174848;2;
"frame";4;1718909174844;1718909174844;1718909174848;3;
"system";4;1718909174839;1718909174839;1718909174848;8;
"ZEDImageDisparity";5;1718909174868;1718909174869;1718909174888;18;
"PlaneSegmentation";5;1718909174869;1718909174888;1718909174889;0;
"PlaneSegmentationVisualization";5;1718909174870;1718909174889;1718909174891;2;
"frame";5;1718909174868;1718909174868;1718909174892;23;
"system";5;1718909174863;1718909174863;1718909174892;28;
"ZEDImageDisparity";6;1718909174908;1718909174908;1718909174908;0;
"PlaneSegmentation";6;1718909174908;1718909174909;1718909174909;0;
"PlaneSegmentationVisualization";6;1718909174908;1718909174909;1718909174912;3;
"frame";6;1718909174908;1718909174908;1718909174913;5;
"system";6;1718909174906;1718909174906;1718909174913;7;
"ZEDImageDisparity";7;1718909174927;1718909174927;1718909174928;0;
"PlaneSegmentation";7;1718909174927;1718909174928;1718909174929;0;
"PlaneSegmentationVisualization";7;1718909174928;1718909174929;1718909174931;2;
"frame";7;1718909174927;1718909174927;1718909174932;4;
"system";7;1718909174923;1718909174923;1718909174932;8;
"ZEDImageDisparity";8;1718909174947;1718909174947;1718909174948;0;
"PlaneSegmentation";8;1718909174947;1718909174948;1718909174948;0;
"PlaneSegmentationVisualization";8;1718909174947;1718909174949;1718909174951;2;
"frame";8;1718909174947;1718909174947;1718909174951;4;
"system";8;1718909174941;1718909174941;1718909174951;10;
"ZEDImageDisparity";9;1718909174966;1718909174966;1718909174966;0;
"PlaneSegmentation";9;1718909174966;1718909174967;1718909174967;0;
"PlaneSegmentationVisualization";9;1718909174966;1718909174967;1718909174970;2;
"frame";9;1718909174966;1718909174966;1718909174970;4;
"system";9;1718909174965;1718909174965;1718909174970;5;
"ZEDImageDisparity";10;1718909174985;1718909174985;1718909174986;0;
"PlaneSegmentation";10;1718909174985;1718909174986;1718909174987;0;
"PlaneSegmentationVisualization";10;1718909174985;1718909174987;1718909174989;2;
"frame";10;1718909174985;1718909174985;1718909174990;4;
"system";10;1718909174980;1718909174980;1718909174990;9;
"ZEDImageDisparity";11;1718909175003;1718909175003;1718909175004;0;
"PlaneSegmentation";11;1718909175003;1718909175004;1718909175005;0;
"PlaneSegmentationVisualization";11;1718909175003;1718909175005;1718909175007;2;
"frame";11;1718909175003;1718909175003;1718909175007;3;
"system";11;1718909175002;1718909175002;1718909175007;5;
"ZEDImageDisparity";12;1718909175024;1718909175024;1718909175025;0;
"PlaneSegmentation";12;1718909175024;1718909175025;1718909175026;0;
"PlaneSegmentationVisualization";12;1718909175025;1718909175026;1718909175028;2;
"frame";12;1718909175024;1718909175024;1718909175028;3;
"system";12;1718909175020;1718909175020;1718909175028;8;
"ZEDImageDisparity";13;1718909175045;1718909175045;1718909175046;0;
"PlaneSegmentation";13;1718909175045;1718909175046;1718909175046;0;
"PlaneSegmentationVisualization";13;1718909175045;1718909175047;1718909175049;2;
"frame";13;1718909175045;1718909175045;1718909175049;3;
"system";13;1718909175044;1718909175044;1718909175049;5;
"ZEDImageDisparity";14;1718909175067;1718909175068;1718909175068;0;
"PlaneSegmentation";14;1718909175068;1718909175068;1718909175069;0;
"PlaneSegmentationVisualization";14;1718909175068;1718909175069;1718909175071;2;
"frame";14;1718909175067;1718909175067;1718909175072;4;
"system";14;1718909175062;1718909175062;1718909175072;9;
"ZEDImageDisparity";15;1718909175088;1718909175088;1718909175089;0;
"PlaneSegmentation";15;1718909175088;1718909175089;1718909175089;0;
"PlaneSegmentationVisualization";15;1718909175088;1718909175090;1718909175092;2;
"frame";15;1718909175088;1718909175088;1718909175092;3;
"system";15;1718909175084;1718909175084;1718909175092;8;
"ZEDImageDisparity";16;1718909175111;1718909175111;1718909175111;0;
"PlaneSegmentation";16;1718909175111;1718909175111;1718909175112;0;
"PlaneSegmentationVisualization";16;1718909175111;1718909175112;1718909175115;2;
"frame";16;1718909175111;1718909175111;1718909175115;4;
"system";16;1718909175106;1718909175106;1718909175115;8;
"ZEDImageDisparity";17;1718909175133;1718909175133;1718909175133;0;
"PlaneSegmentation";17;1718909175133;1718909175134;1718909175134;0;
"PlaneSegmentationVisualization";17;1718909175133;1718909175135;1718909175137;2;
"frame";17;1718909175133;1718909175133;1718909175137;4;
"system";17;1718909175132;1718909175132;1718909175137;5;
"ZEDImageDisparity";18;1718909175155;1718909175155;1718909175155;0;
"PlaneSegmentation";18;1718909175155;1718909175155;1718909175156;0;
"PlaneSegmentationVisualization";18;1718909175155;1718909175156;1718909175159;2;
"frame";18;1718909175155;1718909175155;1718909175159;4;
"system";18;1718909175150;1718909175150;1718909175159;9;
"ZEDImageDisparity";19;1718909175175;1718909175175;1718909175175;0;
"PlaneSegmentation";19;1718909175175;1718909175175;1718909175176;0;
"PlaneSegmentationVisualization";19;1718909175175;1718909175176;1718909175179;2;
"frame";19;1718909175175;1718909175175;1718909175179;4;
"system";19;1718909175173;1718909175173;1718909175179;5;
"ZEDImageDisparity";20;1718909175194;1718909175194;1718909175195;0;
"PlaneSegmentation";20;1718909175194;1718909175196;1718909175196;0;
"PlaneSegmentationVisualization";20;1718909175194;1718909175196;1718909175199;2;
"frame";20;1718909175194;1718909175194;1718909175199;4;
"system";20;1718909175189;1718909175189;1718909175199;9;
"ZEDImageDisparity";21;1718909175214;1718909175214;1718909175215;0;
"PlaneSegmentation";21;1718909175214;1718909175215;1718909175216;0;
"PlaneSegmentationVisualization";21;1718909175214;1718909175216;1718909175219;2;
"frame";21;1718909175214;1718909175214;1718909175219;4;
"system";21;1718909175213;1718909175213;1718909175219;5;
"ZEDImageDisparity";22;1718909175232;1718909175232;1718909175233;0;
"PlaneSegmentation";22;1718909175232;1718909175233;1718909175233;0;
"PlaneSegmentationVisualization";22;1718909175232;1718909175234;1718909175236;2;
"frame";22;1718909175232;1718909175232;1718909175236;4;
"system";22;1718909175227;1718909175227;1718909175236;8;
"ZEDImageDisparity";23;1718909175252;1718909175252;1718909175252;0;
"PlaneSegmentation";23;1718909175252;1718909175253;1718909175253;0;
"PlaneSegmentationVisualization";23;1718909175252;1718909175253;1718909175256;2;
"frame";23;1718909175252;1718909175252;1718909175256;4;
"system";23;1718909175250;1718909175250;1718909175256;5;
"ZEDImageDisparity";24;1718909175270;1718909175270;1718909175270;0;
"PlaneSegmentation";24;1718909175270;1718909175270;1718909175271;0;
"PlaneSegmentationVisualization";24;1718909175270;1718909175271;1718909175274;2;
"frame";24;1718909175270;1718909175270;1718909175274;4;
"system";24;1718909175265;1718909175265;1718909175274;9;
"ZEDImageDisparity";25;1718909175289;1718909175289;1718909175290;0;
"PlaneSegmentation";25;1718909175289;1718909175290;1718909175291;0;
"PlaneSegmentationVisualization";25;1718909175290;1718909175291;1718909175293;2;
"frame";25;1718909175289;1718909175289;1718909175293;4;
"system";25;1718909175284;1718909175284;1718909175293;9;
"ZEDImageDisparity";26;1718909175308;1718909175308;1718909175308;0;
"PlaneSegmentation";26;1718909175308;1718909175308;1718909175309;0;
"PlaneSegmentationVisualization";26;1718909175308;1718909175309;1718909175311;2;
"frame";26;1718909175308;1718909175308;1718909175312;4;
