name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718912522540;1718912522540;1718912522540;0;
"ZEDImageDisparity";1;1718912522539;1718912522539;1718912522540;0;
"ImageDisparityDerivative";1;1718912522540;1718912522541;1718912522541;0;
"Depth";1;1718912522540;1718912522541;1718912522546;5;
"SuperPixelDetect";1;1718912522539;1718912522541;1718912522699;157;
"ZEDImageDisparity";2;1718912522700;1718912522700;1718912522703;3;
"ImageDisparityDerivative";2;1718912522700;1718912522704;1718912522706;1;
"Depth";2;1718912522700;1718912522704;1718912522706;1;
"ImageOpticalFlow";2;1718912522700;1718912522700;1718912522777;76;
"SuperPixelDetect";2;1718912522700;1718912522706;1718912522834;127;
"ZEDImageDisparity";3;1718912522835;1718912522836;1718912522840;3;
"Depth";3;1718912522835;1718912522843;1718912522862;19;
"ImageDisparityDerivative";3;1718912522835;1718912522841;1718912522866;25;
"ImageOpticalFlow";3;1718912522835;1718912522836;1718912522869;33;
"SuperPixelDetect";3;1718912522835;1718912522867;1718912522978;110;
"ZEDImageDisparity";4;1718912522979;1718912522979;1718912522982;3;
"ImageDisparityDerivative";4;1718912522979;1718912522983;1718912522984;1;
"Depth";4;1718912522979;1718912522983;1718912522994;11;
"ImageOpticalFlow";4;1718912522979;1718912522979;1718912522994;14;
"SuperPixelDetect";4;1718912522979;1718912522984;1718912523108;123;
"ZEDImageDisparity";5;1718912523116;1718912523117;1718912523118;1;
"ImageDisparityDerivative";5;1718912523117;1718912523119;1718912523128;9;
"ImageOpticalFlow";5;1718912523117;1718912523117;1718912523128;11;
"Depth";5;1718912523117;1718912523118;1718912523248;129;
"SuperPixelDetect";5;1718912523117;1718912523128;1718912523257;129;
"ZEDImageDisparity";6;1718912523265;1718912523265;1718912523268;2;
"ImageDisparityDerivative";6;1718912523265;1718912523268;1718912523278;9;
"ImageOpticalFlow";6;1718912523265;1718912523265;1718912523278;12;
"Depth";6;1718912523265;1718912523268;1718912523280;11;
"SuperPixelDetect";6;1718912523265;1718912523278;1718912523387;109;
"ZEDImageDisparity";7;1718912523404;1718912523404;1718912523408;3;
"ImageOpticalFlow";7;1718912523404;1718912523404;1718912523419;14;
"Depth";7;1718912523404;1718912523408;1718912523419;10;
"ImageDisparityDerivative";7;1718912523404;1718912523408;1718912523421;12;
"SuperPixelDetect";7;1718912523404;1718912523422;1718912523531;109;
"ZEDImageDisparity";8;1718912523562;1718912523562;1718912523566;4;
"ImageOpticalFlow";8;1718912523563;1718912523563;1718912523577;14;
"Depth";8;1718912523563;1718912523567;1718912523580;12;
"ImageDisparityDerivative";8;1718912523563;1718912523567;1718912523581;14;
"SuperPixelDetect";8;1718912523562;1718912523582;1718912523690;108;
"PlaneFit";1;1718912522540;1718912522700;1718912523692;992;
"SuperPixelPlaneFitVisualization";1;1718912522540;1718912523693;1718912523702;9;
"frame";1;1718912522539;1718912522539;1718912523702;1162;
"system";1;1718912522532;1718912522532;1718912523702;1170;
"PlaneFit";3;1718912522835;1718912522978;1718912523728;749;
