name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718913453324;1718913453324;1718913453324;0;
"ZEDImageDisparity";1;1718913453324;1718913453324;1718913453325;0;
"ImageDisparityDerivative";1;1718913453324;1718913453325;1718913453326;1;
"Depth";1;1718913453324;1718913453325;1718913453330;4;
"SuperPixelDetect";1;1718913453324;1718913453326;1718913453492;165;
"ZEDImageDisparity";2;1718913453491;1718913453491;1718913453492;0;
"Depth";2;1718913453492;1718913453492;1718913453496;3;
"ImageDisparityDerivative";2;1718913453492;1718913453492;1718913453496;3;
"ImageOpticalFlow";2;1718913453491;1718913453492;1718913453587;95;
"SuperPixelDetect";2;1718913453491;1718913453496;1718913453632;136;
"ZEDImageDisparity";3;1718913453601;1718913453602;1718913453636;33;
"ImageOpticalFlow";3;1718913453601;1718913453602;1718913453636;33;
"ImageDisparityDerivative";3;1718913453601;1718913453636;1718913453639;3;
"Depth";3;1718913453601;1718913453636;1718913453642;5;
"ZEDImageDisparity";4;1718913453649;1718913453652;1718913453708;55;
"ImageOpticalFlow";4;1718913453649;1718913453649;1718913453769;119;
"ImageDisparityDerivative";4;1718913453649;1718913453716;1718913453769;53;
"Depth";4;1718913453653;1718913453716;1718913453770;54;
"SuperPixelDetect";3;1718913453601;1718913453643;1718913453771;128;
"SuperPixelDetect";4;1718913453649;1718913453769;1718913453885;115;
"PlaneFit";1;1718913453324;1718913453492;1718913453895;403;
"PlaneFit";2;1718913453492;1718913453636;1718913453898;262;
"SuperPixelPlaneFitVisualization";1;1718913453324;1718913453895;1718913453901;5;
"frame";1;1718913453324;1718913453324;1718913453901;577;
"system";1;1718913453316;1718913453316;1718913453901;584;
"SuperPixelPlaneFitVisualization";2;1718913453492;1718913453898;1718913453904;5;
"frame";2;1718913453491;1718913453491;1718913453904;412;
"system";2;1718913453456;1718913453456;1718913453904;447;
"ZEDImageDisparity";5;1718913453906;1718913453906;1718913453908;2;
"PlaneFit";3;1718913453602;1718913453771;1718913453909;137;
"ImageDisparityDerivative";5;1718913453906;1718913453908;1718913453918;9;
"Depth";5;1718913453906;1718913453909;1718913453918;9;
"ImageOpticalFlow";5;1718913453906;1718913453906;1718913453918;12;
"SuperPixelPlaneFitVisualization";3;1718913453602;1718913453909;1718913453988;78;
"frame";3;1718913453601;1718913453601;1718913453988;387;
"system";3;1718913453588;1718913453588;1718913453988;400;
"PlaneFit";4;1718913453653;1718913453886;1718913454032;145;
"SuperPixelDetect";5;1718913453906;1718913453918;1718913454034;116;
"SuperPixelPlaneFitVisualization";4;1718913453653;1718913454032;1718913454037;5;
"frame";4;1718913453649;1718913453649;1718913454037;387;
"system";4;1718913453644;1718913453644;1718913454037;393;
"ZEDImageDisparity";6;1718913454039;1718913454042;1718913454044;2;
"ImageDisparityDerivative";6;1718913454044;1718913454049;1718913454065;15;
"Depth";6;1718913454044;1718913454049;1718913454065;16;
"ImageOpticalFlow";6;1718913454043;1718913454044;1718913454130;86;
"SuperPixelDetect";6;1718913454042;1718913454065;1718913454183;118;
"ZEDImageDisparity";7;1718913454184;1718913454184;1718913454190;5;
"ImageOpticalFlow";7;1718913454184;1718913454184;1718913454200;15;
"Depth";7;1718913454184;1718913454190;1718913454200;9;
"ImageDisparityDerivative";7;1718913454184;1718913454190;1718913454200;9;
"PlaneFit";5;1718913453906;1718913454034;1718913454257;222;
"SuperPixelPlaneFitVisualization";5;1718913453906;1718913454257;1718913454279;22;
"frame";5;1718913453906;1718913453906;1718913454280;374;
"system";5;1718913453904;1718913453904;1718913454280;375;
"SuperPixelDetect";7;1718913454184;1718913454200;1718913454315;114;
"ZEDImageDisparity";8;1718913454321;1718913454321;1718913454321;0;
"ImageOpticalFlow";8;1718913454321;1718913454321;1718913454333;12;
"Depth";8;1718913454321;1718913454322;1718913454333;11;
"ImageDisparityDerivative";8;1718913454321;1718913454322;1718913454333;11;
"PlaneFit";6;1718913454045;1718913454184;1718913454403;219;
"SuperPixelPlaneFitVisualization";6;1718913454046;1718913454403;1718913454443;39;
"SuperPixelDetect";8;1718913454321;1718913454333;1718913454443;110;
"frame";6;1718913454039;1718913454039;1718913454444;404;
"system";6;1718913454027;1718913454027;1718913454444;416;
"ZEDImageDisparity";9;1718913454455;1718913454455;1718913454455;0;
"Depth";9;1718913454455;1718913454456;1718913454466;10;
"ImageDisparityDerivative";9;1718913454455;1718913454456;1718913454466;10;
"ImageOpticalFlow";9;1718913454455;1718913454455;1718913454466;11;
"PlaneFit";7;1718913454184;1718913454315;1718913454564;248;
"SuperPixelPlaneFitVisualization";7;1718913454184;1718913454564;1718913454595;30;
"frame";7;1718913454184;1718913454184;1718913454595;411;
"system";7;1718913454176;1718913454176;1718913454595;418;
"SuperPixelDetect";9;1718913454455;1718913454466;1718913454595;128;
"ZEDImageDisparity";10;1718913454607;1718913454607;1718913454608;1;
