name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718913832512;1718913832512;1718913832512;0;
"ZEDImageDisparity";1;1718913832512;1718913832512;1718913832512;0;
"ImageDisparityDerivative";1;1718913832512;1718913832513;1718913832513;0;
"Depth";1;1718913832512;1718913832513;1718913832521;8;
"SuperPixelDetect";1;1718913832512;1718913832514;1718913832675;161;
"ZEDImageDisparity";2;1718913832676;1718913832676;1718913832679;3;
"ImageDisparityDerivative";2;1718913832676;1718913832679;1718913832681;1;
"Depth";2;1718913832676;1718913832680;1718913832681;1;
"ImageOpticalFlow";2;1718913832676;1718913832676;1718913832789;112;
"SuperPixelDetect";2;1718913832676;1718913832681;1718913832790;108;
"ZEDImageDisparity";3;1718913832804;1718913832805;1718913832805;0;
"ImageDisparityDerivative";3;1718913832806;1718913832812;1718913832816;3;
"ImageOpticalFlow";3;1718913832805;1718913832806;1718913832817;11;
"Depth";3;1718913832806;1718913832807;1718913832884;76;
"SuperPixelDetect";3;1718913832804;1718913832817;1718913832931;114;
"ZEDImageDisparity";4;1718913832934;1718913832934;1718913832937;3;
"ImageOpticalFlow";4;1718913832934;1718913832934;1718913832948;14;
"ImageDisparityDerivative";4;1718913832934;1718913832938;1718913832948;10;
"Depth";4;1718913832934;1718913832938;1718913832948;10;
"SuperPixelDetect";4;1718913832934;1718913832948;1718913833062;113;
"ZEDImageDisparity";5;1718913833069;1718913833069;1718913833071;2;
"ImageOpticalFlow";5;1718913833069;1718913833069;1718913833082;12;
"ImageDisparityDerivative";5;1718913833069;1718913833072;1718913833083;11;
"Depth";5;1718913833069;1718913833072;1718913833084;11;
"SuperPixelDetect";5;1718913833069;1718913833083;1718913833196;112;
"ZEDImageDisparity";6;1718913833212;1718913833212;1718913833225;12;
"ImageOpticalFlow";6;1718913833212;1718913833212;1718913833225;12;
"ImageDisparityDerivative";6;1718913833212;1718913833225;1718913833227;1;
"Depth";6;1718913833212;1718913833225;1718913833229;3;
"SuperPixelDetect";6;1718913833212;1718913833228;1718913833340;112;
"ZEDImageDisparity";7;1718913833357;1718913833357;1718913833359;1;
"ImageDisparityDerivative";7;1718913833358;1718913833359;1718913833370;10;
"ImageOpticalFlow";7;1718913833358;1718913833358;1718913833371;13;
"Depth";7;1718913833358;1718913833359;1718913833374;14;
"SuperPixelDetect";7;1718913833357;1718913833370;1718913833483;112;
"ZEDImageDisparity";8;1718913833499;1718913833499;1718913833502;2;
"ImageDisparityDerivative";8;1718913833499;1718913833502;1718913833513;11;
"ImageOpticalFlow";8;1718913833499;1718913833499;1718913833514;15;
"Depth";8;1718913833499;1718913833502;1718913833516;14;
"SuperPixelDetect";8;1718913833499;1718913833514;1718913833632;117;
"ZEDImageDisparity";9;1718913833649;1718913833649;1718913833650;1;
"ImageOpticalFlow";9;1718913833649;1718913833649;1718913833661;12;
"Depth";9;1718913833649;1718913833651;1718913833662;10;
"ImageDisparityDerivative";9;1718913833649;1718913833651;1718913833664;12;
"SuperPixelDetect";9;1718913833649;1718913833664;1718913833780;115;
"ZEDImageDisparity";10;1718913833810;1718913833810;1718913833812;1;
"ImageDisparityDerivative";10;1718913833811;1718913833813;1718913833823;10;
"ImageOpticalFlow";10;1718913833811;1718913833811;1718913833824;12;
"Depth";10;1718913833811;1718913833813;1718913833886;73;
"SuperPixelDetect";10;1718913833811;1718913833824;1718913833946;121;
"ZEDImageDisparity";11;1718913833957;1718913833957;1718913833971;13;
"ImageOpticalFlow";11;1718913833957;1718913833957;1718913833973;15;
"Depth";11;1718913833957;1718913833971;1718913833975;3;
"ImageDisparityDerivative";11;1718913833957;1718913833971;1718913833976;5;
"PlaneFit";1;1718913832512;1718913832675;1718913833981;1305;
"PlaneFit";2;1718913832676;1718913832790;1718913834094;1304;
"SuperPixelDetect";11;1718913833957;1718913833977;1718913834099;121;
"SuperPixelPlaneFitVisualization";1;1718913832512;1718913833981;1718913834100;118;
"frame";1;1718913832512;1718913832512;1718913834100;1588;
"system";1;1718913832504;1718913832504;1718913834100;1596;
"SuperPixelPlaneFitVisualization";2;1718913832676;1718913834095;1718913834102;6;
"frame";2;1718913832676;1718913832676;1718913834102;1426;
"system";2;1718913832653;1718913832653;1718913834102;1448;
"ZEDImageDisparity";12;1718913834120;1718913834120;1718913834121;1;
"PlaneFit";3;1718913832806;1718913832932;1718913834125;1193;
"ImageDisparityDerivative";12;1718913834120;1718913834122;1718913834133;11;
"ImageOpticalFlow";12;1718913834120;1718913834120;1718913834137;17;
"Depth";12;1718913834120;1718913834122;1718913834140;18;
"SuperPixelPlaneFitVisualization";3;1718913832806;1718913834125;1718913834254;128;
"SuperPixelDetect";12;1718913834120;1718913834133;1718913834255;121;
"frame";3;1718913832804;1718913832804;1718913834255;1451;
"system";3;1718913832795;1718913832795;1718913834255;1460;
"PlaneFit";4;1718913832934;1718913833063;1718913834266;1202;
"SuperPixelPlaneFitVisualization";4;1718913832934;1718913834266;1718913834271;4;
"frame";4;1718913832934;1718913832934;1718913834271;1337;
"system";4;1718913832924;1718913832924;1718913834271;1346;
"PlaneFit";5;1718913833070;1718913833196;1718913834280;1083;
"SuperPixelPlaneFitVisualization";5;1718913833070;1718913834280;1718913834288;8;
"frame";5;1718913833069;1718913833069;1718913834288;1218;
"system";5;1718913833066;1718913833066;1718913834288;1221;
"ZEDImageDisparity";13;1718913834291;1718913834291;1718913834293;1;
"ImageOpticalFlow";13;1718913834291;1718913834292;1718913834305;13;
"Depth";13;1718913834292;1718913834293;1718913834305;11;
"ImageDisparityDerivative";13;1718913834292;1718913834293;1718913834309;15;
"SuperPixelDetect";13;1718913834291;1718913834309;1718913834416;106;
"ZEDImageDisparity";14;1718913834428;1718913834428;1718913834429;1;
"ImageDisparityDerivative";14;1718913834428;1718913834430;1718913834440;10;
"ImageOpticalFlow";14;1718913834428;1718913834428;1718913834440;11;
"PlaneFit";6;1718913833213;1718913833341;1718913834441;1100;
"Depth";14;1718913834428;1718913834430;1718913834550;120;
"SuperPixelDetect";14;1718913834428;1718913834440;1718913834553;112;
"SuperPixelPlaneFitVisualization";6;1718913833213;1718913834441;1718913834553;112;
"frame";6;1718913833212;1718913833212;1718913834554;1341;
"system";6;1718913833205;1718913833205;1718913834554;1348;
"ZEDImageDisparity";15;1718913834594;1718913834594;1718913834598;3;
"ImageOpticalFlow";15;1718913834594;1718913834594;1718913834608;13;
"ImageDisparityDerivative";15;1718913834594;1718913834598;1718913834609;11;
"Depth";15;1718913834594;1718913834598;1718913834610;11;
"PlaneFit";8;1718913833499;1718913833632;1718913834721;1088;
"SuperPixelDetect";15;1718913834594;1718913834610;1718913834725;115;
"SuperPixelPlaneFitVisualization";8;1718913833499;1718913834721;1718913834732;11;
"frame";8;1718913833499;1718913833499;1718913834732;1233;
"system";8;1718913833490;1718913833490;1718913834732;1242;
"PlaneFit";7;1718913833358;1718913833483;1718913834735;1251;
"SuperPixelPlaneFitVisualization";7;1718913833358;1718913834735;1718913834739;4;
"frame";7;1718913833357;1718913833357;1718913834739;1382;
"system";7;1718913833352;1718913833352;1718913834739;1386;
"ZEDImageDisparity";16;1718913834764;1718913834765;1718913834768;3;
"ImageDisparityDerivative";16;1718913834765;1718913834768;1718913834779;11;
"Depth";16;1718913834765;1718913834768;1718913834779;11;
"ImageOpticalFlow";16;1718913834765;1718913834765;1718913834780;15;
"SuperPixelDetect";16;1718913834765;1718913834780;1718913834898;118;
"PlaneFit";9;1718913833649;1718913833780;1718913834908;1127;
"SuperPixelPlaneFitVisualization";9;1718913833650;1718913834908;1718913834915;7;
"frame";9;1718913833649;1718913833649;1718913834915;1266;
"system";9;1718913833641;1718913833641;1718913834915;1274;
"PlaneFit";10;1718913833812;1718913833946;1718913834917;971;
"SuperPixelPlaneFitVisualization";10;1718913833812;1718913834917;1718913834922;4;
"frame";10;1718913833810;1718913833810;1718913834922;1111;
"system";10;1718913833801;1718913833801;1718913834922;1121;
"ZEDImageDisparity";17;1718913834920;1718913834920;1718913834923;2;
"ImageDisparityDerivative";17;1718913834921;1718913834924;1718913834934;9;
"ImageOpticalFlow";17;1718913834921;1718913834921;1718913834934;13;
"Depth";17;1718913834921;1718913834924;1718913835061;136;
"SuperPixelDetect";17;1718913834920;1718913834934;1718913835063;128;
"ZEDImageDisparity";18;1718913835083;1718913835083;1718913835087;3;
"ImageOpticalFlow";18;1718913835083;1718913835083;1718913835098;15;
"Depth";18;1718913835083;1718913835087;1718913835098;11;
"ImageDisparityDerivative";18;1718913835083;1718913835088;1718913835100;12;
"SuperPixelDetect";18;1718913835083;1718913835101;1718913835219;118;
"ZEDImageDisparity";19;1718913835225;1718913835225;1718913835228;3;
"ImageDisparityDerivative";19;1718913835225;1718913835229;1718913835239;10;
"Depth";19;1718913835225;1718913835229;1718913835241;11;
"ImageOpticalFlow";19;1718913835225;1718913835225;1718913835242;17;
"SuperPixelDetect";19;1718913835225;1718913835239;1718913835359;120;
"ZEDImageDisparity";20;1718913835360;1718913835360;1718913835364;4;
"PlaneFit";11;1718913833957;1718913834099;1718913835367;1267;
"SuperPixelPlaneFitVisualization";11;1718913833957;1718913835367;1718913835377;9;
"frame";11;1718913833957;1718913833957;1718913835377;1420;
"system";11;1718913833935;1718913833935;1718913835377;1441;
"ImageOpticalFlow";20;1718913835360;1718913835360;1718913835377;16;
"Depth";20;1718913835360;1718913835365;1718913835377;12;
"ImageDisparityDerivative";20;1718913835360;1718913835365;1718913835377;12;
"PlaneFit";12;1718913834120;1718913834255;1718913835481;1225;
"SuperPixelDetect";20;1718913835360;1718913835378;1718913835490;112;
"SuperPixelPlaneFitVisualization";12;1718913834120;1718913835482;1718913835496;14;
"frame";12;1718913834120;1718913834120;1718913835496;1376;
"system";12;1718913834118;1718913834118;1718913835496;1378;
"ZEDImageDisparity";21;1718913835502;1718913835502;1718913835505;2;
"ImageOpticalFlow";21;1718913835502;1718913835502;1718913835517;14;
"ImageDisparityDerivative";21;1718913835502;1718913835505;1718913835517;11;
"Depth";21;1718913835502;1718913835505;1718913835519;13;
"SuperPixelDetect";21;1718913835502;1718913835517;1718913835635;118;
"PlaneFit";13;1718913834292;1718913834416;1718913835643;1226;
"PlaneFit";14;1718913834428;1718913834554;1718913835643;1089;
"SuperPixelPlaneFitVisualization";13;1718913834292;1718913835643;1718913835648;4;
"frame";13;1718913834291;1718913834291;1718913835648;1357;
"system";13;1718913834272;1718913834272;1718913835648;1376;
"ZEDImageDisparity";22;1718913835645;1718913835645;1718913835650;5;
"SuperPixelPlaneFitVisualization";14;1718913834429;1718913835644;1718913835660;16;
"frame";14;1718913834428;1718913834428;1718913835660;1232;
"system";14;1718913834426;1718913834426;1718913835660;1234;
"ImageOpticalFlow";22;1718913835645;1718913835645;1718913835660;15;
"ImageDisparityDerivative";22;1718913835645;1718913835650;1718913835665;14;
"Depth";22;1718913835645;1718913835650;1718913835667;17;
"SuperPixelDetect";22;1718913835645;1718913835666;1718913835781;115;
"ZEDImageDisparity";23;1718913835799;1718913835799;1718913835802;2;
"ImageDisparityDerivative";23;1718913835799;1718913835803;1718913835814;11;
"ImageOpticalFlow";23;1718913835799;1718913835799;1718913835817;18;
"Depth";23;1718913835800;1718913835803;1718913835818;15;
"SuperPixelDetect";23;1718913835799;1718913835814;1718913835934;120;
"ZEDImageDisparity";24;1718913835942;1718913835942;1718913835945;2;
"ImageDisparityDerivative";24;1718913835942;1718913835946;1718913835956;10;
"Depth";24;1718913835943;1718913835946;1718913835956;10;
"ImageOpticalFlow";24;1718913835942;1718913835942;1718913835956;13;
"SuperPixelDetect";24;1718913835942;1718913835956;1718913836074;117;
"PlaneFit";16;1718913834765;1718913834898;1718913836092;1193;
"ZEDImageDisparity";25;1718913836097;1718913836097;1718913836101;3;
"SuperPixelPlaneFitVisualization";16;1718913834766;1718913836092;1718913836111;19;
"frame";16;1718913834764;1718913834764;1718913836111;1346;
"system";16;1718913834751;1718913834751;1718913836111;1360;
"PlaneFit";15;1718913834595;1718913834726;1718913836112;1386;
"ImageOpticalFlow";25;1718913836097;1718913836097;1718913836113;15;
"ImageDisparityDerivative";25;1718913836098;1718913836101;1718913836115;13;
"SuperPixelPlaneFitVisualization";15;1718913834595;1718913836112;1718913836117;4;
"frame";15;1718913834594;1718913834594;1718913836117;1523;
"system";15;1718913834576;1718913834576;1718913836117;1540;
"Depth";25;1718913836098;1718913836101;1718913836227;125;
"SuperPixelDetect";25;1718913836097;1718913836115;1718913836229;113;
"ZEDImageDisparity";26;1718913836253;1718913836253;1718913836257;3;
"ImageDisparityDerivative";26;1718913836254;1718913836257;1718913836269;11;
"ImageOpticalFlow";26;1718913836253;1718913836254;1718913836270;15;
"PlaneFit";17;1718913834921;1718913835063;1718913836270;1206;
"Depth";26;1718913836254;1718913836257;1718913836272;14;
"SuperPixelPlaneFitVisualization";17;1718913834921;1718913836270;1718913836385;114;
"frame";17;1718913834920;1718913834920;1718913836385;1464;
"system";17;1718913834917;1718913834917;1718913836385;1468;
"SuperPixelDetect";26;1718913836253;1718913836269;1718913836386;116;
"ZEDImageDisparity";27;1718913836410;1718913836410;1718913836412;2;
"Depth";27;1718913836410;1718913836412;1718913836422;9;
"ImageDisparityDerivative";27;1718913836410;1718913836412;1718913836422;9;
"ImageOpticalFlow";27;1718913836410;1718913836410;1718913836423;13;
"PlaneFit";19;1718913835225;1718913835360;1718913836537;1177;
"SuperPixelPlaneFitVisualization";19;1718913835225;1718913836537;1718913836543;5;
"frame";19;1718913835225;1718913835225;1718913836543;1318;
"system";19;1718913835209;1718913835209;1718913836543;1334;
"SuperPixelDetect";27;1718913836410;1718913836422;1718913836543;120;
"PlaneFit";21;1718913835502;1718913835636;1718913836555;918;
"SuperPixelPlaneFitVisualization";21;1718913835502;1718913836555;1718913836561;6;
"frame";21;1718913835502;1718913835502;1718913836562;1059;
"system";21;1718913835500;1718913835500;1718913836562;1061;
"PlaneFit";20;1718913835360;1718913835491;1718913836567;1076;
"SuperPixelPlaneFitVisualization";20;1718913835360;1718913836567;1718913836572;4;
"frame";20;1718913835360;1718913835360;1718913836572;1212;
"system";20;1718913835348;1718913835348;1718913836572;1224;
"ZEDImageDisparity";28;1718913836571;1718913836572;1718913836575;3;
"Depth";28;1718913836572;1718913836575;1718913836585;10;
"ImageOpticalFlow";28;1718913836572;1718913836572;1718913836587;14;
"ImageDisparityDerivative";28;1718913836572;1718913836575;1718913836588;13;
"PlaneFit";18;1718913835083;1718913835219;1718913836592;1372;
"SuperPixelPlaneFitVisualization";18;1718913835083;1718913836592;1718913836701;108;
"frame";18;1718913835083;1718913835083;1718913836701;1618;
"system";18;1718913835073;1718913835073;1718913836701;1628;
"SuperPixelDetect";28;1718913836572;1718913836589;1718913836703;114;
"ZEDImageDisparity";29;1718913836720;1718913836720;1718913836724;3;
"ImageDisparityDerivative";29;1718913836720;1718913836724;1718913836734;9;
"ImageOpticalFlow";29;1718913836720;1718913836720;1718913836734;13;
"Depth";29;1718913836720;1718913836724;1718913836794;69;
"SuperPixelDetect";29;1718913836720;1718913836734;1718913836848;114;
"ZEDImageDisparity";30;1718913836863;1718913836863;1718913836869;6;
"Depth";30;1718913836863;1718913836870;1718913836879;9;
"ImageOpticalFlow";30;1718913836863;1718913836863;1718913836881;18;
"ImageDisparityDerivative";30;1718913836863;1718913836870;1718913836883;13;
"PlaneFit";22;1718913835645;1718913835782;1718913836993;1211;
"SuperPixelDetect";30;1718913836863;1718913836884;1718913836997;113;
"SuperPixelPlaneFitVisualization";22;1718913835645;1718913836993;1718913837002;9;
"frame";22;1718913835645;1718913835645;1718913837003;1357;
"system";22;1718913835628;1718913835628;1718913837003;1374;
"ZEDImageDisparity";31;1718913837010;1718913837010;1718913837012;1;
"PlaneFit";23;1718913835800;1718913835934;1718913837016;1081;
"ImageOpticalFlow";31;1718913837010;1718913837010;1718913837025;14;
"Depth";31;1718913837010;1718913837012;1718913837027;14;
"ImageDisparityDerivative";31;1718913837010;1718913837012;1718913837027;14;
"SuperPixelPlaneFitVisualization";23;1718913835800;1718913837016;1718913837139;122;
"frame";23;1718913835799;1718913835799;1718913837139;1339;
"system";23;1718913835782;1718913835782;1718913837139;1357;
"SuperPixelDetect";31;1718913837010;1718913837027;1718913837141;113;
"PlaneFit";24;1718913835943;1718913836075;1718913837144;1069;
"SuperPixelPlaneFitVisualization";24;1718913835943;1718913837144;1718913837151;7;
"frame";24;1718913835942;1718913835942;1718913837151;1209;
"system";24;1718913835924;1718913835924;1718913837151;1227;
"PlaneFit";25;1718913836098;1718913836229;1718913837171;941;
"SuperPixelPlaneFitVisualization";25;1718913836098;1718913837171;1718913837174;2;
"frame";25;1718913836097;1718913836097;1718913837175;1077;
"system";25;1718913836080;1718913836080;1718913837175;1094;
"ImageOpticalFlow";32;1718913837178;1718913837178;1718913837190;11;
"ZEDImageDisparity";32;1718913837177;1718913837178;1718913837191;13;
"ImageDisparityDerivative";32;1718913837178;1718913837192;1718913837196;4;
"Depth";32;1718913837178;1718913837192;1718913837258;66;
"SuperPixelDetect";32;1718913837178;1718913837196;1718913837311;115;
"PlaneFit";26;1718913836254;1718913836387;1718913837326;939;
"ZEDImageDisparity";33;1718913837324;1718913837325;1718913837336;11;
"ImageOpticalFlow";33;1718913837325;1718913837325;1718913837338;13;
"ImageDisparityDerivative";33;1718913837325;1718913837337;1718913837339;2;
"SuperPixelPlaneFitVisualization";26;1718913836254;1718913837327;1718913837342;15;
"frame";26;1718913836253;1718913836253;1718913837343;1089;
"system";26;1718913836246;1718913836246;1718913837343;1096;
"Depth";33;1718913837325;1718913837337;1718913837452;115;
"SuperPixelDetect";33;1718913837325;1718913837339;1718913837454;114;
"ZEDImageDisparity";34;1718913837476;1718913837476;1718913837479;2;
"Depth";34;1718913837476;1718913837479;1718913837489;9;
"ImageOpticalFlow";34;1718913837476;1718913837476;1718913837489;12;
