name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718914340360;1718914340360;1718914340361;0;
"ZEDImageDisparity";1;1718914340360;1718914340360;1718914340361;0;
"ImageDisparityDerivative";1;1718914340360;1718914340361;1718914340363;1;
"Depth";1;1718914340360;1718914340361;1718914340367;5;
"SuperPixelDetect";1;1718914340360;1718914340363;1718914340511;147;
"ZEDImageDisparity";2;1718914340511;1718914340511;1718914340515;3;
"Depth";2;1718914340512;1718914340515;1718914340517;1;
"ImageDisparityDerivative";2;1718914340512;1718914340515;1718914340517;1;
"ImageOpticalFlow";2;1718914340511;1718914340512;1718914340589;77;
"SuperPixelDetect";2;1718914340511;1718914340517;1718914340629;112;
"ZEDImageDisparity";3;1718914340625;1718914340626;1718914340629;3;
"ImageOpticalFlow";3;1718914340625;1718914340629;1718914340641;11;
"Depth";3;1718914340625;1718914340630;1718914340641;11;
"ImageDisparityDerivative";3;1718914340625;1718914340630;1718914340642;12;
"SuperPixelDetect";3;1718914340625;1718914340642;1718914340760;117;
"ZEDImageDisparity";4;1718914340768;1718914340768;1718914340769;1;
"ImageDisparityDerivative";4;1718914340768;1718914340769;1718914340780;10;
"ImageOpticalFlow";4;1718914340768;1718914340768;1718914340780;11;
"Depth";4;1718914340768;1718914340769;1718914340782;12;
"SuperPixelDetect";4;1718914340768;1718914340780;1718914340890;109;
"ZEDImageDisparity";5;1718914340899;1718914340899;1718914340901;1;
"ImageDisparityDerivative";5;1718914340900;1718914340902;1718914340913;11;
"ImageOpticalFlow";5;1718914340900;1718914340900;1718914340914;14;
"Depth";5;1718914340900;1718914340902;1718914340972;70;
"SuperPixelDetect";5;1718914340899;1718914340913;1718914341027;113;
"ZEDImageDisparity";6;1718914341033;1718914341033;1718914341034;1;
"ImageOpticalFlow";6;1718914341033;1718914341033;1718914341045;11;
"Depth";6;1718914341033;1718914341035;1718914341046;11;
"ImageDisparityDerivative";6;1718914341033;1718914341035;1718914341046;11;
"SuperPixelDetect";6;1718914341033;1718914341047;1718914341157;109;
"PlaneFit";1;1718914340360;1718914340511;1718914341171;659;
"SuperPixelPlaneFitVisualization";1;1718914340361;1718914341171;1718914341177;6;
"frame";1;1718914340360;1718914340360;1718914341178;817;
"system";1;1718914340352;1718914340352;1718914341178;825;
"ZEDImageDisparity";7;1718914341177;1718914341177;1718914341179;2;
"ImageOpticalFlow";7;1718914341177;1718914341177;1718914341189;12;
"Depth";7;1718914341177;1718914341180;1718914341190;9;
"ImageDisparityDerivative";7;1718914341177;1718914341180;1718914341192;11;
"SuperPixelDetect";7;1718914341177;1718914341192;1718914341312;120;
"ZEDImageDisparity";8;1718914341304;1718914341312;1718914341319;6;
"ImageOpticalFlow";8;1718914341314;1718914341315;1718914341330;15;
"Depth";8;1718914341315;1718914341319;1718914341330;10;
"ImageDisparityDerivative";8;1718914341315;1718914341319;1718914341332;12;
"PlaneFit";2;1718914340512;1718914340639;1718914341338;699;
"SuperPixelPlaneFitVisualization";2;1718914340512;1718914341339;1718914341443;104;
"frame";2;1718914340511;1718914340511;1718914341444;932;
"system";2;1718914340503;1718914340503;1718914341444;940;
"SuperPixelDetect";8;1718914341312;1718914341332;1718914341447;115;
"PlaneFit";3;1718914340625;1718914340761;1718914341463;702;
"ZEDImageDisparity";9;1718914341462;1718914341462;1718914341463;1;
"PlaneFit";4;1718914340768;1718914340890;1718914341472;581;
"SuperPixelPlaneFitVisualization";3;1718914340626;1718914341464;1718914341474;10;
"frame";3;1718914340625;1718914340625;1718914341475;849;
"system";3;1718914340605;1718914340605;1718914341475;869;
"ImageOpticalFlow";9;1718914341462;1718914341462;1718914341476;13;
"ImageDisparityDerivative";9;1718914341462;1718914341464;1718914341476;12;
"Depth";9;1718914341462;1718914341464;1718914341476;12;
"SuperPixelPlaneFitVisualization";4;1718914340768;1718914341472;1718914341562;90;
"frame";4;1718914340768;1718914340768;1718914341563;794;
"system";4;1718914340761;1718914340761;1718914341563;801;
"SuperPixelDetect";9;1718914341462;1718914341476;1718914341589;113;
"ImageOpticalFlow";10;1718914341590;1718914341591;1718914341605;13;
"ZEDImageDisparity";10;1718914341590;1718914341590;1718914341605;14;
"ImageDisparityDerivative";10;1718914341591;1718914341605;1718914341608;3;
"Depth";10;1718914341591;1718914341605;1718914341610;5;
"SuperPixelDetect";10;1718914341590;1718914341608;1718914341720;112;
"ZEDImageDisparity";11;1718914341722;1718914341722;1718914341726;4;
"Depth";11;1718914341722;1718914341727;1718914341737;9;
"ImageOpticalFlow";11;1718914341722;1718914341722;1718914341738;16;
"ImageDisparityDerivative";11;1718914341722;1718914341727;1718914341738;11;
"SuperPixelDetect";11;1718914341722;1718914341739;1718914341851;112;
"PlaneFit";5;1718914340900;1718914341028;1718914341861;832;
"SuperPixelPlaneFitVisualization";5;1718914340900;1718914341861;1718914341866;5;
"frame";5;1718914340899;1718914340899;1718914341866;966;
"system";5;1718914340890;1718914340890;1718914341866;975;
"ZEDImageDisparity";12;1718914341868;1718914341868;1718914341869;0;
"ImageDisparityDerivative";12;1718914341868;1718914341869;1718914341879;9;
"Depth";12;1718914341868;1718914341869;1718914341880;10;
"ImageOpticalFlow";12;1718914341868;1718914341868;1718914341880;12;
"PlaneFit";6;1718914341034;1718914341157;1718914341881;724;
"SuperPixelDetect";12;1718914341868;1718914341879;1718914341990;110;
"SuperPixelPlaneFitVisualization";6;1718914341034;1718914341882;1718914341990;108;
"frame";6;1718914341033;1718914341033;1718914341990;956;
"system";6;1718914341019;1718914341019;1718914341990;970;
"ZEDImageDisparity";13;1718914342007;1718914342007;1718914342009;2;
"ImageDisparityDerivative";13;1718914342007;1718914342010;1718914342022;12;
"Depth";13;1718914342007;1718914342010;1718914342023;13;
"ImageOpticalFlow";13;1718914342007;1718914342007;1718914342024;17;
"SuperPixelDetect";13;1718914342007;1718914342023;1718914342135;112;
"ZEDImageDisparity";14;1718914342144;1718914342144;1718914342146;1;
"Depth";14;1718914342145;1718914342146;1718914342156;9;
"ImageOpticalFlow";14;1718914342144;1718914342144;1718914342158;13;
"ImageDisparityDerivative";14;1718914342145;1718914342146;1718914342159;12;
"SuperPixelDetect";14;1718914342144;1718914342159;1718914342269;109;
"PlaneFit";7;1718914341178;1718914341315;1718914342291;976;
"ZEDImageDisparity";15;1718914342289;1718914342289;1718914342295;5;
"SuperPixelPlaneFitVisualization";7;1718914341178;1718914342291;1718914342305;13;
"ImageOpticalFlow";15;1718914342289;1718914342289;1718914342305;15;
"frame";7;1718914341177;1718914341177;1718914342305;1128;
"system";7;1718914341170;1718914341170;1718914342305;1135;
"ImageDisparityDerivative";15;1718914342289;1718914342295;1718914342310;15;
"Depth";15;1718914342289;1718914342295;1718914342311;16;
"PlaneFit";8;1718914341315;1718914341448;1718914342422;974;
"SuperPixelDetect";15;1718914342289;1718914342310;1718914342424;113;
"SuperPixelPlaneFitVisualization";8;1718914341315;1718914342422;1718914342431;8;
"frame";8;1718914341304;1718914341304;1718914342431;1126;
"system";8;1718914341302;1718914341302;1718914342431;1128;
"PlaneFit";9;1718914341462;1718914341590;1718914342451;861;
"ZEDImageDisparity";16;1718914342450;1718914342450;1718914342453;2;
"ImageOpticalFlow";16;1718914342450;1718914342451;1718914342463;12;
"SuperPixelPlaneFitVisualization";9;1718914341462;1718914342452;1718914342464;12;
"Depth";16;1718914342451;1718914342454;1718914342464;10;
"frame";9;1718914341462;1718914341462;1718914342464;1002;
"system";9;1718914341460;1718914341460;1718914342464;1004;
"ImageDisparityDerivative";16;1718914342451;1718914342454;1718914342468;13;
"SuperPixelDetect";16;1718914342450;1718914342468;1718914342581;112;
"ZEDImageDisparity";17;1718914342599;1718914342599;1718914342601;2;
"ImageOpticalFlow";17;1718914342599;1718914342599;1718914342614;15;
"Depth";17;1718914342599;1718914342602;1718914342615;12;
"ImageDisparityDerivative";17;1718914342599;1718914342602;1718914342617;15;
"SuperPixelDetect";17;1718914342599;1718914342618;1718914342728;109;
"PlaneFit";10;1718914341591;1718914341721;1718914342752;1031;
"SuperPixelPlaneFitVisualization";10;1718914341591;1718914342753;1718914342759;6;
"frame";10;1718914341590;1718914341590;1718914342759;1168;
"system";10;1718914341581;1718914341581;1718914342759;1178;
"ZEDImageDisparity";18;1718914342762;1718914342762;1718914342763;1;
"ImageOpticalFlow";18;1718914342762;1718914342762;1718914342776;13;
"Depth";18;1718914342762;1718914342764;1718914342776;12;
"ImageDisparityDerivative";18;1718914342762;1718914342764;1718914342776;12;
"PlaneFit";11;1718914341722;1718914341851;1718914342777;926;
