name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718913672471;1718913672471;1718913672471;0;
"ZEDImageDisparity";1;1718913672471;1718913672471;1718913672472;0;
"ImageDisparityDerivative";1;1718913672471;1718913672472;1718913672472;0;
"Depth";1;1718913672471;1718913672472;1718913672479;6;
"SuperPixelDetect";1;1718913672471;1718913672473;1718913672623;150;
"ZEDImageDisparity";2;1718913672623;1718913672623;1718913672623;0;
"ImageDisparityDerivative";2;1718913672623;1718913672624;1718913672628;3;
"Depth";2;1718913672623;1718913672624;1718913672628;4;
"ImageOpticalFlow";2;1718913672623;1718913672623;1718913672697;73;
"SuperPixelDetect";2;1718913672623;1718913672628;1718913672744;115;
"ZEDImageDisparity";3;1718913672750;1718913672750;1718913672762;12;
"ImageDisparityDerivative";3;1718913672756;1718913672763;1718913672773;10;
"Depth";3;1718913672756;1718913672763;1718913672773;10;
"ImageOpticalFlow";3;1718913672750;1718913672752;1718913672775;22;
"SuperPixelDetect";3;1718913672750;1718913672774;1718913672878;104;
"ZEDImageDisparity";4;1718913672879;1718913672879;1718913672883;3;
"ImageDisparityDerivative";4;1718913672879;1718913672884;1718913672893;9;
"ImageOpticalFlow";4;1718913672879;1718913672879;1718913672893;14;
"Depth";4;1718913672879;1718913672884;1718913672894;10;
"SuperPixelDetect";4;1718913672879;1718913672894;1718913672999;105;
"ZEDImageDisparity";5;1718913673000;1718913673000;1718913673004;4;
"Depth";5;1718913673000;1718913673005;1718913673014;9;
"ImageOpticalFlow";5;1718913673000;1718913673000;1718913673014;14;
"ImageDisparityDerivative";5;1718913673000;1718913673005;1718913673015;10;
"PlaneFit";1;1718913672471;1718913672624;1718913673119;495;
"SuperPixelDetect";5;1718913673000;1718913673016;1718913673123;107;
"SuperPixelPlaneFitVisualization";1;1718913672471;1718913673119;1718913673129;9;
"frame";1;1718913672471;1718913672471;1718913673129;658;
"system";1;1718913672463;1718913672463;1718913673129;666;
"ZEDImageDisparity";6;1718913673133;1718913673133;1718913673134;1;
"ImageOpticalFlow";6;1718913673133;1718913673133;1718913673144;10;
"Depth";6;1718913673133;1718913673135;1718913673145;10;
"ImageDisparityDerivative";6;1718913673133;1718913673135;1718913673146;10;
"SuperPixelDetect";6;1718913673133;1718913673146;1718913673255;108;
"PlaneFit";2;1718913672623;1718913672744;1718913673259;515;
"ZEDImageDisparity";7;1718913673256;1718913673256;1718913673261;5;
"SuperPixelPlaneFitVisualization";2;1718913672624;1718913673259;1718913673271;11;
"ImageOpticalFlow";7;1718913673256;1718913673256;1718913673271;15;
"frame";2;1718913672623;1718913672623;1718913673271;648;
"system";2;1718913672598;1718913672598;1718913673271;673;
"Depth";7;1718913673256;1718913673261;1718913673273;11;
"ImageDisparityDerivative";7;1718913673256;1718913673261;1718913673273;11;
"SuperPixelDetect";7;1718913673256;1718913673273;1718913673379;106;
"ZEDImageDisparity";8;1718913673386;1718913673386;1718913673387;0;
"ImageDisparityDerivative";8;1718913673386;1718913673388;1718913673397;9;
"ImageOpticalFlow";8;1718913673386;1718913673386;1718913673398;11;
"Depth";8;1718913673386;1718913673388;1718913673399;11;
"SuperPixelDetect";8;1718913673386;1718913673397;1718913673501;103;
"PlaneFit";3;1718913672756;1718913672879;1718913673504;625;
"SuperPixelPlaneFitVisualization";3;1718913672756;1718913673504;1718913673512;7;
"frame";3;1718913672750;1718913672750;1718913673513;762;
"system";3;1718913672743;1718913672743;1718913673513;769;
"PlaneFit";4;1718913672879;1718913672999;1718913673518;518;
"ZEDImageDisparity";9;1718913673517;1718913673517;1718913673518;1;
"SuperPixelPlaneFitVisualization";4;1718913672880;1718913673518;1718913673530;12;
"frame";4;1718913672879;1718913672879;1718913673530;651;
"system";4;1718913672870;1718913672870;1718913673530;659;
"ImageOpticalFlow";9;1718913673517;1718913673517;1718913673530;13;
"ImageDisparityDerivative";9;1718913673517;1718913673519;1718913673532;13;
"Depth";9;1718913673517;1718913673519;1718913673532;13;
"PlaneFit";5;1718913673000;1718913673124;1718913673533;409;
"PlaneFit";6;1718913673134;1718913673256;1718913673534;277;
"SuperPixelPlaneFitVisualization";5;1718913673001;1718913673534;1718913673638;103;
"SuperPixelPlaneFitVisualization";6;1718913673134;1718913673534;1718913673638;103;
"frame";5;1718913673000;1718913673000;1718913673638;638;
"system";5;1718913672991;1718913672991;1718913673638;646;
"frame";6;1718913673133;1718913673133;1718913673638;504;
"system";6;1718913673130;1718913673130;1718913673638;508;
"SuperPixelDetect";9;1718913673517;1718913673532;1718913673638;106;
"ZEDImageDisparity";10;1718913673652;1718913673652;1718913673654;1;
"ImageDisparityDerivative";10;1718913673652;1718913673654;1718913673663;9;
"ImageOpticalFlow";10;1718913673652;1718913673652;1718913673664;12;
"Depth";10;1718913673652;1718913673654;1718913673665;10;
"SuperPixelDetect";10;1718913673652;1718913673664;1718913673773;109;
"ZEDImageDisparity";11;1718913673773;1718913673773;1718913673776;2;
"ImageOpticalFlow";11;1718913673773;1718913673774;1718913673789;14;
"ImageDisparityDerivative";11;1718913673774;1718913673776;1718913673790;14;
"Depth";11;1718913673774;1718913673776;1718913673792;15;
"SuperPixelDetect";11;1718913673773;1718913673791;1718913673902;111;
"ZEDImageDisparity";12;1718913673902;1718913673902;1718913673919;16;
"ImageOpticalFlow";12;1718913673903;1718913673903;1718913673919;16;
"ImageDisparityDerivative";12;1718913673903;1718913673919;1718913673920;0;
"Depth";12;1718913673903;1718913673920;1718913673920;0;
"SuperPixelDetect";12;1718913673903;1718913673921;1718913674034;113;
"ZEDImageDisparity";13;1718913674044;1718913674044;1718913674046;2;
"PlaneFit";7;1718913673256;1718913673380;1718913674052;672;
"ImageOpticalFlow";13;1718913674044;1718913674044;1718913674058;13;
"ImageDisparityDerivative";13;1718913674044;1718913674046;1718913674060;13;
"Depth";13;1718913674044;1718913674046;1718913674062;15;
"SuperPixelPlaneFitVisualization";7;1718913673257;1718913674052;1718913674062;9;
"frame";7;1718913673256;1718913673256;1718913674062;806;
"system";7;1718913673247;1718913673247;1718913674062;815;
"SuperPixelDetect";13;1718913674044;1718913674060;1718913674175;115;
"ZEDImageDisparity";14;1718913674176;1718913674176;1718913674182;6;
"Depth";14;1718913674176;1718913674182;1718913674184;1;
"ImageDisparityDerivative";14;1718913674176;1718913674182;1718913674193;10;
"ImageOpticalFlow";14;1718913674176;1718913674176;1718913674194;17;
"PlaneFit";8;1718913673386;1718913673502;1718913674199;697;
"SuperPixelPlaneFitVisualization";8;1718913673386;1718913674199;1718913674304;104;
"frame";8;1718913673386;1718913673386;1718913674304;918;
"system";8;1718913673379;1718913673379;1718913674304;925;
"SuperPixelDetect";14;1718913674176;1718913674193;1718913674306;112;
"ZEDImageDisparity";15;1718913674323;1718913674323;1718913674326;2;
"ImageOpticalFlow";15;1718913674323;1718913674323;1718913674336;12;
"Depth";15;1718913674323;1718913674326;1718913674336;9;
"ImageDisparityDerivative";15;1718913674323;1718913674327;1718913674338;11;
"SuperPixelDetect";15;1718913674323;1718913674339;1718913674448;109;
"PlaneFit";10;1718913673652;1718913673773;1718913674456;683;
"ZEDImageDisparity";16;1718913674455;1718913674455;1718913674457;1;
"SuperPixelPlaneFitVisualization";10;1718913673652;1718913674457;1718913674467;10;
"ImageOpticalFlow";16;1718913674455;1718913674455;1718913674467;12;
"frame";10;1718913673652;1718913673652;1718913674467;815;
"system";10;1718913673644;1718913673644;1718913674467;823;
"Depth";16;1718913674455;1718913674457;1718913674467;10;
"ImageDisparityDerivative";16;1718913674455;1718913674457;1718913674469;11;
"PlaneFit";9;1718913673517;1718913673638;1718913674470;831;
"SuperPixelPlaneFitVisualization";9;1718913673517;1718913674471;1718913674577;106;
"frame";9;1718913673517;1718913673517;1718913674577;1060;
"system";9;1718913673514;1718913673514;1718913674577;1062;
"SuperPixelDetect";16;1718913674455;1718913674469;1718913674578;109;
"PlaneFit";11;1718913673774;1718913673902;1718913674597;694;
"SuperPixelPlaneFitVisualization";11;1718913673774;1718913674597;1718913674601;3;
"frame";11;1718913673773;1718913673773;1718913674601;827;
"system";11;1718913673764;1718913673764;1718913674601;836;
"ZEDImageDisparity";17;1718913674602;1718913674602;1718913674604;1;
"ImageDisparityDerivative";17;1718913674603;1718913674605;1718913674614;9;
"ImageOpticalFlow";17;1718913674602;1718913674602;1718913674614;11;
"Depth";17;1718913674603;1718913674605;1718913674616;11;
"SuperPixelDetect";17;1718913674602;1718913674615;1718913674727;112;
"ZEDImageDisparity";18;1718913674734;1718913674734;1718913674735;1;
"ImageDisparityDerivative";18;1718913674735;1718913674736;1718913674748;12;
"ImageOpticalFlow";18;1718913674734;1718913674734;1718913674748;13;
"Depth";18;1718913674735;1718913674736;1718913674751;14;
"PlaneFit";12;1718913673903;1718913674034;1718913674752;717;
"SuperPixelPlaneFitVisualization";12;1718913673903;1718913674753;1718913674861;107;
"SuperPixelDetect";18;1718913674734;1718913674748;1718913674861;112;
"frame";12;1718913673902;1718913673902;1718913674861;958;
"system";12;1718913673894;1718913673894;1718913674861;967;
"PlaneFit";13;1718913674044;1718913674175;1718913674872;697;
"SuperPixelPlaneFitVisualization";13;1718913674044;1718913674872;1718913674875;2;
"frame";13;1718913674044;1718913674044;1718913674876;831;
"system";13;1718913674034;1718913674034;1718913674876;841;
"ZEDImageDisparity";19;1718913674873;1718913674873;1718913674877;3;
"ImageDisparityDerivative";19;1718913674873;1718913674877;1718913674886;9;
"ImageOpticalFlow";19;1718913674873;1718913674873;1718913674887;13;
"Depth";19;1718913674873;1718913674877;1718913674888;11;
"SuperPixelDetect";19;1718913674873;1718913674887;1718913675001;114;
"ZEDImageDisparity";20;1718913675002;1718913675002;1718913675008;5;
"ImageDisparityDerivative";20;1718913675002;1718913675008;1718913675018;9;
"Depth";20;1718913675002;1718913675008;1718913675019;10;
"ImageOpticalFlow";20;1718913675002;1718913675002;1718913675019;16;
"SuperPixelDetect";20;1718913675002;1718913675018;1718913675132;113;
"ZEDImageDisparity";21;1718913675146;1718913675146;1718913675147;1;
"PlaneFit";14;1718913674176;1718913674306;1718913675151;844;
"ImageOpticalFlow";21;1718913675146;1718913675146;1718913675158;12;
"Depth";21;1718913675146;1718913675148;1718913675161;12;
"ImageDisparityDerivative";21;1718913675146;1718913675148;1718913675161;13;
"SuperPixelPlaneFitVisualization";14;1718913674176;1718913675152;1718913675165;13;
"frame";14;1718913674176;1718913674176;1718913675165;989;
"system";14;1718913674166;1718913674166;1718913675165;998;
"SuperPixelDetect";21;1718913675146;1718913675161;1718913675275;113;
"ZEDImageDisparity";22;1718913675275;1718913675276;1718913675291;14;
