name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718909585562;1718909585562;1718909585562;0;
"ZEDImageDisparity";1;1718909585562;1718909585562;1718909585562;0;
"ImageDisparityDerivative";1;1718909585562;1718909585563;1718909585564;1;
"Depth";1;1718909585562;1718909585563;1718909585568;5;
"SuperPixelDetect";1;1718909585561;1718909585565;1718909585677;112;
"ZEDImageDisparity";2;1718909585678;1718909585678;1718909585679;0;
"SPPlaneSegmentation";1;1718909585562;1718909585677;1718909585679;1;
"Depth";2;1718909585679;1718909585680;1718909585683;3;
"ImageDisparityDerivative";2;1718909585678;1718909585680;1718909585683;2;
"PlaneSegmentationVisualization";1;1718909585562;1718909585680;1718909585696;16;
"PlaneSegmentationBEVVisualization";1;1718909585562;1718909585680;1718909585696;16;
"frame";1;1718909585561;1718909585561;1718909585697;135;
"system";1;1718909585553;1718909585553;1718909585697;143;
"ImageOpticalFlow";2;1718909585678;1718909585678;1718909585733;54;
"SuperPixelDetect";2;1718909585678;1718909585683;1718909585758;75;
"SPPlaneSegmentation";2;1718909585679;1718909585758;1718909585760;1;
"ZEDImageDisparity";3;1718909585760;1718909585760;1718909585761;0;
"ImageOpticalFlow";3;1718909585760;1718909585760;1718909585770;10;
"PlaneSegmentationBEVVisualization";2;1718909585679;1718909585761;1718909585772;10;
"ImageDisparityDerivative";3;1718909585760;1718909585761;1718909585774;12;
"Depth";3;1718909585760;1718909585761;1718909585775;14;
"PlaneSegmentationVisualization";2;1718909585679;1718909585761;1718909585815;53;
"frame";2;1718909585678;1718909585678;1718909585815;137;
"system";2;1718909585668;1718909585668;1718909585815;146;
"SuperPixelDetect";3;1718909585760;1718909585774;1718909585834;60;
"ZEDImageDisparity";4;1718909585835;1718909585835;1718909585836;1;
"SPPlaneSegmentation";3;1718909585760;1718909585835;1718909585845;10;
"ImageOpticalFlow";4;1718909585835;1718909585835;1718909585846;10;
"ImageDisparityDerivative";4;1718909585835;1718909585837;1718909585846;9;
"Depth";4;1718909585835;1718909585837;1718909585846;9;
"PlaneSegmentationBEVVisualization";3;1718909585761;1718909585846;1718909585849;3;
"PlaneSegmentationVisualization";3;1718909585761;1718909585846;1718909585889;43;
"frame";3;1718909585760;1718909585760;1718909585889;129;
"system";3;1718909585758;1718909585758;1718909585889;131;
"SuperPixelDetect";4;1718909585835;1718909585846;1718909585913;66;
"ZEDImageDisparity";5;1718909585915;1718909585915;1718909585916;0;
"SPPlaneSegmentation";4;1718909585835;1718909585913;1718909585916;2;
"ImageOpticalFlow";5;1718909585915;1718909585915;1718909585926;10;
"Depth";5;1718909585915;1718909585916;1718909585926;9;
"ImageDisparityDerivative";5;1718909585915;1718909585916;1718909585926;9;
"PlaneSegmentationVisualization";4;1718909585835;1718909585916;1718909585929;12;
"PlaneSegmentationBEVVisualization";4;1718909585836;1718909585917;1718909585930;13;
"frame";4;1718909585835;1718909585835;1718909585930;95;
"system";4;1718909585832;1718909585832;1718909585930;97;
"SuperPixelDetect";5;1718909585915;1718909585926;1718909585990;63;
"SPPlaneSegmentation";5;1718909585915;1718909585990;1718909585993;2;
"ZEDImageDisparity";6;1718909585992;1718909585992;1718909585993;0;
"ImageOpticalFlow";6;1718909585992;1718909585992;1718909586004;11;
"ImageDisparityDerivative";6;1718909585992;1718909585993;1718909586004;10;
"PlaneSegmentationBEVVisualization";5;1718909585916;1718909585993;1718909586005;11;
"Depth";6;1718909585992;1718909585994;1718909586006;12;
"PlaneSegmentationVisualization";5;1718909585915;1718909585993;1718909586043;49;
"frame";5;1718909585915;1718909585915;1718909586043;128;
"system";5;1718909585913;1718909585913;1718909586043;130;
"SuperPixelDetect";6;1718909585992;1718909586004;1718909586065;60;
"SPPlaneSegmentation";6;1718909585992;1718909586065;1718909586068;2;
"ZEDImageDisparity";7;1718909586067;1718909586067;1718909586068;0;
"ImageOpticalFlow";7;1718909586067;1718909586067;1718909586079;12;
"Depth";7;1718909586067;1718909586068;1718909586079;11;
"ImageDisparityDerivative";7;1718909586067;1718909586068;1718909586082;13;
"PlaneSegmentationBEVVisualization";6;1718909585992;1718909586068;1718909586082;13;
"PlaneSegmentationVisualization";6;1718909585992;1718909586069;1718909586125;56;
"frame";6;1718909585992;1718909585992;1718909586125;133;
"system";6;1718909585989;1718909585989;1718909586125;135;
"SuperPixelDetect";7;1718909586067;1718909586082;1718909586144;61;
"SPPlaneSegmentation";7;1718909586067;1718909586144;1718909586146;2;
"ZEDImageDisparity";8;1718909586146;1718909586146;1718909586146;0;
"ImageOpticalFlow";8;1718909586146;1718909586146;1718909586158;11;
"ImageDisparityDerivative";8;1718909586146;1718909586147;1718909586159;11;
"PlaneSegmentationBEVVisualization";7;1718909586068;1718909586147;1718909586159;11;
"Depth";8;1718909586146;1718909586147;1718909586160;13;
"PlaneSegmentationVisualization";7;1718909586067;1718909586147;1718909586205;57;
"frame";7;1718909586067;1718909586067;1718909586205;138;
"system";7;1718909586065;1718909586065;1718909586205;139;
"SuperPixelDetect";8;1718909586146;1718909586159;1718909586225;65;
"ZEDImageDisparity";9;1718909586226;1718909586226;1718909586227;1;
"SPPlaneSegmentation";8;1718909586146;1718909586225;1718909586236;11;
"ImageOpticalFlow";9;1718909586225;1718909586226;1718909586236;10;
"ImageDisparityDerivative";9;1718909586226;1718909586227;1718909586239;11;
"Depth";9;1718909586226;1718909586227;1718909586241;13;
"PlaneSegmentationVisualization";8;1718909586146;1718909586237;1718909586243;6;
"PlaneSegmentationBEVVisualization";8;1718909586146;1718909586236;1718909586243;6;
"frame";8;1718909586146;1718909586146;1718909586243;97;
