name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718910580462;1718910580462;1718910580462;0;
"ZEDImageDisparity";1;1718910580461;1718910580461;1718910580462;0;
"ImageDisparityDerivative";1;1718910580462;1718910580463;1718910580464;1;
"Depth";1;1718910580462;1718910580463;1718910580468;5;
"SuperPixelDetect";1;1718910580462;1718910580464;1718910580621;157;
"ZEDImageDisparity";2;1718910580622;1718910580622;1718910580625;3;
"ImageDisparityDerivative";2;1718910580622;1718910580625;1718910580627;1;
"Depth";2;1718910580622;1718910580625;1718910580627;1;
"ImageOpticalFlow";2;1718910580622;1718910580622;1718910580702;80;
"SuperPixelDetect";2;1718910580622;1718910580627;1718910580747;119;
"ZEDImageDisparity";3;1718910580747;1718910580749;1718910580749;0;
"ImageDisparityDerivative";3;1718910580748;1718910580750;1718910580761;10;
"ImageOpticalFlow";3;1718910580748;1718910580749;1718910580819;69;
"Depth";3;1718910580748;1718910580753;1718910580873;119;
"SuperPixelDetect";3;1718910580747;1718910580763;1718910580874;110;
"ZEDImageDisparity";4;1718910580888;1718910580888;1718910580891;2;
"ImageDisparityDerivative";4;1718910580888;1718910580891;1718910580901;9;
"ImageOpticalFlow";4;1718910580888;1718910580888;1718910580901;12;
"Depth";4;1718910580889;1718910580891;1718910580902;10;
"SuperPixelDetect";4;1718910580888;1718910580901;1718910581011;109;
"ZEDImageDisparity";5;1718910581025;1718910581025;1718910581028;2;
"ImageDisparityDerivative";5;1718910581025;1718910581028;1718910581037;9;
"ImageOpticalFlow";5;1718910581025;1718910581025;1718910581038;12;
"Depth";5;1718910581026;1718910581028;1718910581038;9;
"SuperPixelDetect";5;1718910581025;1718910581038;1718910581154;115;
"ZEDImageDisparity";6;1718910581160;1718910581160;1718910581161;0;
"ImageDisparityDerivative";6;1718910581160;1718910581162;1718910581172;10;
"ImageOpticalFlow";6;1718910581160;1718910581160;1718910581172;11;
"Depth";6;1718910581161;1718910581162;1718910581175;13;
"SuperPixelDetect";6;1718910581160;1718910581172;1718910581288;116;
"ZEDImageDisparity";7;1718910581289;1718910581289;1718910581303;14;
"ImageOpticalFlow";7;1718910581289;1718910581289;1718910581306;17;
"Depth";7;1718910581289;1718910581304;1718910581309;4;
"ImageDisparityDerivative";7;1718910581289;1718910581304;1718910581309;5;
"SuperPixelDetect";7;1718910581289;1718910581309;1718910581425;115;
"ZEDImageDisparity";8;1718910581444;1718910581444;1718910581444;0;
"ImageDisparityDerivative";8;1718910581444;1718910581445;1718910581448;3;
"ImageOpticalFlow";8;1718910581444;1718910581444;1718910581459;14;
"Depth";8;1718910581444;1718910581446;1718910581516;70;
"SuperPixelDetect";8;1718910581444;1718910581448;1718910581572;124;
"ZEDImageDisparity";9;1718910581581;1718910581581;1718910581585;3;
