name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718911517778;1718911517778;1718911517778;0;
"ZEDImageDisparity";1;1718911517778;1718911517778;1718911517778;0;
"ImageDisparityDerivative";1;1718911517778;1718911517779;1718911517779;0;
"Depth";1;1718911517778;1718911517779;1718911517785;6;
"SuperPixelDetect";1;1718911517778;1718911517780;1718911517946;166;
"ZEDImageDisparity";2;1718911517947;1718911517947;1718911517951;4;
"ImageDisparityDerivative";2;1718911517947;1718911517951;1718911517953;1;
"Depth";2;1718911517947;1718911517951;1718911517953;1;
"ImageOpticalFlow";2;1718911517947;1718911517947;1718911518020;73;
"SuperPixelDetect";2;1718911517947;1718911517953;1718911518069;116;
"ZEDImageDisparity";3;1718911518073;1718911518074;1718911518075;1;
"ImageOpticalFlow";3;1718911518073;1718911518074;1718911518090;15;
"ImageDisparityDerivative";3;1718911518073;1718911518083;1718911518090;7;
"Depth";3;1718911518073;1718911518083;1718911518090;7;
"SuperPixelDetect";3;1718911518073;1718911518090;1718911518220;130;
"ZEDImageDisparity";4;1718911518227;1718911518227;1718911518230;3;
"ImageOpticalFlow";4;1718911518227;1718911518227;1718911518242;14;
"Depth";4;1718911518228;1718911518231;1718911518242;11;
"ImageDisparityDerivative";4;1718911518227;1718911518231;1718911518242;11;
"PlaneFit";2;1718911517947;1718911518075;1718911518247;172;
"SuperPixelPlaneFitVisualization";2;1718911517947;1718911518247;1718911518361;113;
"frame";2;1718911517947;1718911517947;1718911518361;414;
"system";2;1718911517924;1718911517924;1718911518361;436;
"SuperPixelDetect";4;1718911518227;1718911518243;1718911518363;120;
"PlaneFit";1;1718911517778;1718911517946;1718911518364;417;
"SuperPixelPlaneFitVisualization";1;1718911517778;1718911518364;1718911518374;9;
"frame";1;1718911517778;1718911517778;1718911518374;596;
"system";1;1718911517770;1718911517770;1718911518374;603;
"ZEDImageDisparity";5;1718911518375;1718911518375;1718911518376;0;
"Depth";5;1718911518376;1718911518377;1718911518386;9;
"ImageDisparityDerivative";5;1718911518376;1718911518377;1718911518386;9;
"ImageOpticalFlow";5;1718911518376;1718911518376;1718911518386;10;
"SuperPixelDetect";5;1718911518375;1718911518386;1718911518501;114;
"PlaneFit";3;1718911518074;1718911518221;1718911518507;286;
"ZEDImageDisparity";6;1718911518506;1718911518507;1718911518524;16;
"SuperPixelPlaneFitVisualization";3;1718911518074;1718911518521;1718911518534;12;
"frame";3;1718911518073;1718911518073;1718911518534;461;
"system";3;1718911518062;1718911518062;1718911518534;471;
"ImageOpticalFlow";6;1718911518519;1718911518520;1718911518534;13;
"Depth";6;1718911518521;1718911518524;1718911518535;10;
"ImageDisparityDerivative";6;1718911518520;1718911518525;1718911518535;10;
"SuperPixelDetect";6;1718911518507;1718911518535;1718911518663;127;
"ZEDImageDisparity";7;1718911518667;1718911518667;1718911518671;4;
"PlaneFit";4;1718911518228;1718911518364;1718911518674;310;
"ImageOpticalFlow";7;1718911518667;1718911518667;1718911518682;14;
"Depth";7;1718911518667;1718911518672;1718911518682;10;
"ImageDisparityDerivative";7;1718911518667;1718911518672;1718911518682;10;
"SuperPixelPlaneFitVisualization";4;1718911518228;1718911518674;1718911518685;10;
"frame";4;1718911518227;1718911518227;1718911518685;457;
"system";4;1718911518212;1718911518212;1718911518685;473;
"SuperPixelDetect";7;1718911518667;1718911518682;1718911518802;119;
"PlaneFit";5;1718911518376;1718911518504;1718911518811;306;
"PlaneFit";6;1718911518521;1718911518663;1718911518811;147;
"SuperPixelPlaneFitVisualization";5;1718911518376;1718911518811;1718911518813;2;
"frame";5;1718911518375;1718911518375;1718911518813;438;
"system";5;1718911518374;1718911518374;1718911518813;439;
"ZEDImageDisparity";8;1718911518813;1718911518813;1718911518815;1;
"SuperPixelPlaneFitVisualization";6;1718911518521;1718911518811;1718911518815;3;
"frame";6;1718911518506;1718911518506;1718911518816;309;
"system";6;1718911518503;1718911518503;1718911518816;312;
"ImageOpticalFlow";8;1718911518813;1718911518813;1718911518825;11;
"ImageDisparityDerivative";8;1718911518813;1718911518816;1718911518825;9;
"Depth";8;1718911518813;1718911518815;1718911518825;9;
"SuperPixelDetect";8;1718911518813;1718911518825;1718911518943;118;
"ZEDImageDisparity";9;1718911518944;1718911518944;1718911518950;5;
"ImageOpticalFlow";9;1718911518944;1718911518944;1718911518960;15;
"Depth";9;1718911518944;1718911518950;1718911518960;9;
"ImageDisparityDerivative";9;1718911518944;1718911518950;1718911518960;9;
"PlaneFit";7;1718911518667;1718911518802;1718911518963;161;
"SuperPixelPlaneFitVisualization";7;1718911518668;1718911518964;1718911519041;77;
