name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718911902174;1718911902174;1718911902175;0;
"ZEDImageDisparity";1;1718911902174;1718911902174;1718911902175;1;
"ImageDisparityDerivative";1;1718911902175;1718911902176;1718911902177;1;
"Depth";1;1718911902175;1718911902176;1718911902182;5;
"SuperPixelDetect";1;1718911902174;1718911902177;1718911902348;171;
"ZEDImageDisparity";2;1718911902349;1718911902349;1718911902352;3;
"ImageDisparityDerivative";2;1718911902349;1718911902352;1718911902354;1;
"Depth";2;1718911902349;1718911902352;1718911902354;1;
"ImageOpticalFlow";2;1718911902349;1718911902349;1718911902428;79;
"ZEDImageDisparity";3;1718911902454;1718911902456;1718911902478;21;
"ImageOpticalFlow";3;1718911902455;1718911902459;1718911902482;22;
"SuperPixelDetect";2;1718911902349;1718911902354;1718911902483;128;
"ImageDisparityDerivative";3;1718911902455;1718911902479;1718911902483;3;
"Depth";3;1718911902455;1718911902479;1718911902486;6;
"SuperPixelDetect";3;1718911902455;1718911902483;1718911902601;118;
"ZEDImageDisparity";4;1718911902606;1718911902606;1718911902608;1;
"ImageOpticalFlow";4;1718911902606;1718911902607;1718911902620;13;
"Depth";4;1718911902607;1718911902608;1718911902620;11;
"ImageDisparityDerivative";4;1718911902607;1718911902609;1718911902620;11;
"SuperPixelDetect";4;1718911902606;1718911902620;1718911902753;132;
"ZEDImageDisparity";5;1718911902759;1718911902759;1718911902760;1;
"Depth";5;1718911902760;1718911902761;1718911902771;9;
"ImageOpticalFlow";5;1718911902759;1718911902759;1718911902771;11;
"ImageDisparityDerivative";5;1718911902759;1718911902761;1718911902771;9;
"SuperPixelDetect";5;1718911902759;1718911902771;1718911902887;115;
"ZEDImageDisparity";6;1718911902887;1718911902887;1718911902891;3;
"ImageDisparityDerivative";6;1718911902887;1718911902891;1718911902903;11;
"ImageOpticalFlow";6;1718911902887;1718911902887;1718911902904;16;
"Depth";6;1718911902888;1718911902891;1718911902905;13;
"SuperPixelDetect";6;1718911902887;1718911902903;1718911903017;113;
"ZEDImageDisparity";7;1718911903017;1718911903017;1718911903022;4;
"ImageDisparityDerivative";7;1718911903018;1718911903022;1718911903035;12;
"ImageOpticalFlow";7;1718911903018;1718911903018;1718911903035;17;
"Depth";7;1718911903018;1718911903022;1718911903037;14;
"SuperPixelDetect";7;1718911903017;1718911903035;1718911903154;118;
"ZEDImageDisparity";8;1718911903154;1718911903154;1718911903159;4;
"ImageDisparityDerivative";8;1718911903154;1718911903160;1718911903169;9;
"ImageOpticalFlow";8;1718911903154;1718911903154;1718911903170;15;
"Depth";8;1718911903154;1718911903160;1718911903174;13;
"SuperPixelDetect";8;1718911903154;1718911903170;1718911903286;116;
"ZEDImageDisparity";9;1718911903310;1718911903310;1718911903312;2;
"ImageOpticalFlow";9;1718911903310;1718911903310;1718911903323;13;
"ImageDisparityDerivative";9;1718911903310;1718911903313;1718911903323;10;
"Depth";9;1718911903310;1718911903313;1718911903324;11;
"SuperPixelDetect";9;1718911903310;1718911903324;1718911903438;114;
"ZEDImageDisparity";10;1718911903480;1718911903480;1718911903483;3;
"Depth";10;1718911903481;1718911903484;1718911903495;11;
"ImageDisparityDerivative";10;1718911903480;1718911903484;1718911903497;13;
"ImageOpticalFlow";10;1718911903480;1718911903480;1718911903497;16;
"SuperPixelDetect";10;1718911903480;1718911903497;1718911903615;117;
"PlaneFit";2;1718911902349;1718911902496;1718911903620;1123;
"ZEDImageDisparity";11;1718911903617;1718911903617;1718911903623;5;
"SuperPixelPlaneFitVisualization";2;1718911902349;1718911903620;1718911903638;17;
"frame";2;1718911902349;1718911902349;1718911903638;1289;
"system";2;1718911902331;1718911902331;1718911903638;1306;
"Depth";11;1718911903617;1718911903623;1718911903638;14;
"ImageOpticalFlow";11;1718911903617;1718911903617;1718911903638;21;
"ImageDisparityDerivative";11;1718911903617;1718911903623;1718911903640;16;
"SuperPixelDetect";11;1718911903617;1718911903640;1718911903763;122;
"PlaneFit";3;1718911902455;1718911902601;1718911903772;1170;
"SuperPixelPlaneFitVisualization";3;1718911902455;1718911903772;1718911903775;2;
"frame";3;1718911902454;1718911902454;1718911903775;1320;
"system";3;1718911902438;1718911902438;1718911903775;1336;
"ZEDImageDisparity";12;1718911903774;1718911903774;1718911903778;3;
"ImageDisparityDerivative";12;1718911903775;1718911903779;1718911903789;10;
"ImageOpticalFlow";12;1718911903775;1718911903775;1718911903794;19;
"Depth";12;1718911903775;1718911903779;1718911903794;15;
"SuperPixelDetect";12;1718911903774;1718911903790;1718911903905;115;
"PlaneFit";1;1718911902175;1718911902348;1718911903906;1557;
"SuperPixelPlaneFitVisualization";1;1718911902175;1718911903906;1718911903921;15;
"frame";1;1718911902174;1718911902174;1718911903922;1747;
"system";1;1718911902167;1718911902167;1718911903922;1754;
"ZEDImageDisparity";13;1718911903930;1718911903930;1718911903931;1;
"ImageDisparityDerivative";13;1718911903931;1718911903932;1718911903945;13;
"ImageOpticalFlow";13;1718911903930;1718911903930;1718911903945;14;
"Depth";13;1718911903931;1718911903932;1718911903950;17;
"SuperPixelDetect";13;1718911903930;1718911903945;1718911904064;118;
"PlaneFit";4;1718911902607;1718911902753;1718911904077;1323;
"SuperPixelPlaneFitVisualization";4;1718911902607;1718911904077;1718911904086;9;
"frame";4;1718911902606;1718911902606;1718911904087;1480;
"system";4;1718911902596;1718911902596;1718911904087;1490;
"ZEDImageDisparity";14;1718911904095;1718911904096;1718911904098;2;
"ImageDisparityDerivative";14;1718911904096;1718911904098;1718911904108;10;
"ImageOpticalFlow";14;1718911904096;1718911904096;1718911904108;12;
"Depth";14;1718911904096;1718911904098;1718911904113;14;
"PlaneFit";7;1718911903018;1718911903154;1718911904113;958;
"SuperPixelPlaneFitVisualization";7;1718911903018;1718911904113;1718911904226;113;
"SuperPixelDetect";14;1718911904096;1718911904109;1718911904226;117;
"frame";7;1718911903017;1718911903017;1718911904227;1209;
"system";7;1718911903007;1718911903007;1718911904227;1219;
"PlaneFit";5;1718911902760;1718911902887;1718911904240;1352;
"SuperPixelPlaneFitVisualization";5;1718911902760;1718911904240;1718911904245;4;
"frame";5;1718911902759;1718911902759;1718911904245;1485;
"system";5;1718911902753;1718911902753;1718911904245;1492;
"ZEDImageDisparity";15;1718911904253;1718911904253;1718911904255;2;
"ImageDisparityDerivative";15;1718911904253;1718911904256;1718911904265;9;
"ImageOpticalFlow";15;1718911904253;1718911904253;1718911904266;12;
"PlaneFit";6;1718911902888;1718911903018;1718911904384;1365;
"SuperPixelDetect";15;1718911904253;1718911904265;1718911904385;119;
"Depth";15;1718911904253;1718911904256;1718911904385;129;
"SuperPixelPlaneFitVisualization";6;1718911902888;1718911904384;1718911904389;5;
"frame";6;1718911902887;1718911902887;1718911904389;1502;
"system";6;1718911902878;1718911902878;1718911904389;1511;
"ZEDImageDisparity";16;1718911904408;1718911904408;1718911904412;4;
"PlaneFit";9;1718911903310;1718911903439;1718911904418;979;
"ImageDisparityDerivative";16;1718911904408;1718911904412;1718911904424;11;
"ImageOpticalFlow";16;1718911904408;1718911904408;1718911904424;15;
"Depth";16;1718911904409;1718911904412;1718911904425;12;
"SuperPixelPlaneFitVisualization";9;1718911903310;1718911904418;1718911904428;10;
"frame";9;1718911903310;1718911903310;1718911904429;1118;
"system";9;1718911903298;1718911903298;1718911904429;1130;
"SuperPixelDetect";16;1718911904408;1718911904424;1718911904545;120;
"ZEDImageDisparity";17;1718911904553;1718911904553;1718911904555;1;
"PlaneFit";8;1718911903154;1718911903286;1718911904555;1269;
"ImageDisparityDerivative";17;1718911904554;1718911904555;1718911904567;11;
"Depth";17;1718911904554;1718911904555;1718911904573;17;
"SuperPixelPlaneFitVisualization";8;1718911903155;1718911904556;1718911904682;126;
"frame";8;1718911903154;1718911903154;1718911904683;1528;
"system";8;1718911903144;1718911903144;1718911904683;1538;
"ImageOpticalFlow";17;1718911904554;1718911904554;1718911904685;130;
"SuperPixelDetect";17;1718911904553;1718911904567;1718911904688;120;
"PlaneFit";10;1718911903481;1718911903615;1718911904727;1111;
"ZEDImageDisparity";18;1718911904727;1718911904727;1718911904733;5;
"SuperPixelPlaneFitVisualization";10;1718911903481;1718911904727;1718911904743;15;
"frame";10;1718911903480;1718911903480;1718911904743;1263;
"system";10;1718911903462;1718911903462;1718911904743;1281;
