name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718912417522;1718912417522;1718912417522;0;
"ZEDImageDisparity";1;1718912417522;1718912417522;1718912417523;0;
"ImageDisparityDerivative";1;1718912417522;1718912417523;1718912417523;0;
"Depth";1;1718912417522;1718912417523;1718912417529;5;
"SuperPixelDetect";1;1718912417522;1718912417524;1718912417691;167;
"ZEDImageDisparity";2;1718912417696;1718912417696;1718912417696;0;
"Depth";2;1718912417696;1718912417697;1718912417699;1;
"ImageDisparityDerivative";2;1718912417696;1718912417697;1718912417699;1;
"ImageOpticalFlow";2;1718912417696;1718912417696;1718912417779;82;
"SuperPixelDetect";2;1718912417696;1718912417699;1718912417823;123;
"ZEDImageDisparity";3;1718912417819;1718912417823;1718912417825;2;
"Depth";3;1718912417820;1718912417827;1718912417829;1;
"ImageDisparityDerivative";3;1718912417820;1718912417827;1718912417838;11;
"ImageOpticalFlow";3;1718912417819;1718912417823;1718912417841;18;
"SuperPixelDetect";3;1718912417819;1718912417839;1718912417957;118;
"ZEDImageDisparity";4;1718912417963;1718912417963;1718912417964;1;
"ImageDisparityDerivative";4;1718912417963;1718912417964;1718912417975;10;
"Depth";4;1718912417963;1718912417964;1718912417975;10;
"ImageOpticalFlow";4;1718912417963;1718912417963;1718912417975;12;
"SuperPixelDetect";4;1718912417963;1718912417975;1718912418095;119;
"ZEDImageDisparity";5;1718912418103;1718912418103;1718912418105;2;
"ImageDisparityDerivative";5;1718912418103;1718912418106;1718912418115;9;
"ImageOpticalFlow";5;1718912418103;1718912418103;1718912418117;13;
"Depth";5;1718912418104;1718912418106;1718912418118;11;
"SuperPixelDetect";5;1718912418103;1718912418115;1718912418234;118;
"ZEDImageDisparity";6;1718912418235;1718912418235;1718912418238;3;
"Depth";6;1718912418235;1718912418239;1718912418250;11;
"ImageOpticalFlow";6;1718912418235;1718912418235;1718912418250;15;
"ImageDisparityDerivative";6;1718912418235;1718912418239;1718912418250;11;
"SuperPixelDetect";6;1718912418235;1718912418251;1718912418361;110;
"ZEDImageDisparity";7;1718912418362;1718912418362;1718912418375;12;
"ImageOpticalFlow";7;1718912418362;1718912418362;1718912418375;13;
"ImageDisparityDerivative";7;1718912418362;1718912418375;1718912418377;1;
"Depth";7;1718912418362;1718912418375;1718912418379;3;
"SuperPixelDetect";7;1718912418362;1718912418377;1718912418492;114;
"ZEDImageDisparity";8;1718912418505;1718912418505;1718912418505;0;
"PlaneFit";2;1718912417696;1718912417823;1718912418512;688;
