name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718911740384;1718911740384;1718911740384;0;
"ZEDImageDisparity";1;1718911740384;1718911740384;1718911740385;0;
"ImageDisparityDerivative";1;1718911740384;1718911740385;1718911740386;0;
"Depth";1;1718911740384;1718911740385;1718911740391;5;
"SuperPixelDetect";1;1718911740384;1718911740386;1718911740549;162;
"ZEDImageDisparity";2;1718911740549;1718911740549;1718911740551;1;
"ImageDisparityDerivative";2;1718911740550;1718911740551;1718911740553;2;
"Depth";2;1718911740550;1718911740551;1718911740554;2;
"ImageOpticalFlow";2;1718911740550;1718911740550;1718911740646;96;
"SuperPixelDetect";2;1718911740549;1718911740554;1718911740664;110;
"ZEDImageDisparity";3;1718911740662;1718911740666;1718911740667;0;
"ImageDisparityDerivative";3;1718911740663;1718911740667;1718911740685;18;
"ImageOpticalFlow";3;1718911740662;1718911740666;1718911740686;19;
"Depth";3;1718911740663;1718911740667;1718911740686;18;
"SuperPixelDetect";3;1718911740662;1718911740694;1718911740799;104;
"ZEDImageDisparity";4;1718911740800;1718911740800;1718911740802;2;
"ImageDisparityDerivative";4;1718911740800;1718911740802;1718911740815;12;
"ImageOpticalFlow";4;1718911740800;1718911740800;1718911740815;15;
"Depth";4;1718911740800;1718911740803;1718911740815;12;
"SuperPixelDetect";4;1718911740800;1718911740815;1718911740937;122;
"ZEDImageDisparity";5;1718911740938;1718911740938;1718911740952;14;
"ImageOpticalFlow";5;1718911740938;1718911740938;1718911740953;14;
"ImageDisparityDerivative";5;1718911740938;1718911740952;1718911740953;1;
"Depth";5;1718911740938;1718911740953;1718911740954;0;
"SuperPixelDetect";5;1718911740938;1718911740954;1718911741057;103;
"ZEDImageDisparity";6;1718911741061;1718911741061;1718911741064;3;
"Depth";6;1718911741062;1718911741065;1718911741066;0;
"ImageDisparityDerivative";6;1718911741061;1718911741065;1718911741076;10;
"ImageOpticalFlow";6;1718911741061;1718911741061;1718911741076;14;
"SuperPixelDetect";6;1718911741061;1718911741076;1718911741184;108;
"ZEDImageDisparity";7;1718911741192;1718911741192;1718911741194;1;
"ImageDisparityDerivative";7;1718911741192;1718911741194;1718911741203;9;
"ImageOpticalFlow";7;1718911741192;1718911741192;1718911741204;11;
"Depth";7;1718911741192;1718911741194;1718911741206;12;
"PlaneFit";3;1718911740663;1718911740800;1718911741265;465;
"PlaneFit";2;1718911740550;1718911740667;1718911741307;639;
"PlaneFit";1;1718911740384;1718911740549;1718911741309;759;
"SuperPixelPlaneFitVisualization";3;1718911740664;1718911741265;1718911741312;46;
"frame";3;1718911740662;1718911740662;1718911741312;649;
"system";3;1718911740645;1718911740645;1718911741312;666;
"SuperPixelDetect";7;1718911741192;1718911741204;1718911741315;111;
