name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718911103555;1718911103555;1718911103555;0;
"ZEDImageDisparity";1;1718911103555;1718911103555;1718911103556;0;
"ImageDisparityDerivative";1;1718911103555;1718911103556;1718911103557;1;
"Depth";1;1718911103555;1718911103556;1718911103562;6;
"SuperPixelDetect";1;1718911103555;1718911103558;1718911103734;176;
"ZEDImageDisparity";2;1718911103734;1718911103734;1718911103737;2;
"ImageDisparityDerivative";2;1718911103734;1718911103738;1718911103739;1;
"Depth";2;1718911103735;1718911103738;1718911103739;1;
"ImageOpticalFlow";2;1718911103734;1718911103734;1718911103814;79;
"ZEDImageDisparity";3;1718911103835;1718911103836;1718911103839;3;
"ImageDisparityDerivative";3;1718911103836;1718911103842;1718911103860;17;
"ImageOpticalFlow";3;1718911103836;1718911103837;1718911103860;22;
"Depth";3;1718911103836;1718911103842;1718911103865;23;
"SuperPixelDetect";2;1718911103734;1718911103739;1718911103866;127;
"SuperPixelDetect";3;1718911103836;1718911103860;1718911103986;125;
"ZEDImageDisparity";4;1718911103986;1718911103986;1718911103991;4;
"ImageOpticalFlow";4;1718911103986;1718911103987;1718911104001;14;
"Depth";4;1718911103987;1718911103992;1718911104001;9;
"ImageDisparityDerivative";4;1718911103987;1718911103992;1718911104001;9;
"SuperPixelDetect";4;1718911103986;1718911104001;1718911104119;117;
"ZEDImageDisparity";5;1718911104120;1718911104120;1718911104123;3;
"ImageDisparityDerivative";5;1718911104120;1718911104123;1718911104133;9;
"Depth";5;1718911104120;1718911104123;1718911104133;9;
"ImageOpticalFlow";5;1718911104120;1718911104120;1718911104133;13;
"SuperPixelDetect";5;1718911104120;1718911104134;1718911104251;117;
"ZEDImageDisparity";6;1718911104260;1718911104260;1718911104262;2;
"ImageOpticalFlow";6;1718911104260;1718911104260;1718911104274;13;
"Depth";6;1718911104260;1718911104263;1718911104274;11;
"ImageDisparityDerivative";6;1718911104260;1718911104263;1718911104275;11;
"SuperPixelDetect";6;1718911104260;1718911104275;1718911104391;115;
"ZEDImageDisparity";7;1718911104407;1718911104407;1718911104409;2;
"ImageDisparityDerivative";7;1718911104408;1718911104410;1718911104420;10;
"ImageOpticalFlow";7;1718911104408;1718911104408;1718911104421;12;
"Depth";7;1718911104408;1718911104410;1718911104421;11;
