name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718909527079;1718909527079;1718909527079;0;
"ZEDImageDisparity";1;1718909527079;1718909527079;1718909527080;0;
"ImageDisparityDerivative";1;1718909527079;1718909527080;1718909527081;0;
"Depth";1;1718909527079;1718909527080;1718909527086;5;
"SuperPixelDetect";1;1718909527079;1718909527081;1718909527194;112;
"ZEDImageDisparity";2;1718909527194;1718909527194;1718909527195;0;
"SPPlaneSegmentation";1;1718909527079;1718909527194;1718909527196;1;
"ImageDisparityDerivative";2;1718909527194;1718909527196;1718909527199;3;
"Depth";2;1718909527194;1718909527196;1718909527199;3;
"PlaneSegmentationVisualization";1;1718909527079;1718909527196;1718909527203;6;
"PlaneSegmentationBEVVisualization";1;1718909527079;1718909527196;1718909527212;15;
"frame";1;1718909527079;1718909527079;1718909527212;133;
"system";1;1718909527070;1718909527070;1718909527212;142;
"ImageOpticalFlow";2;1718909527194;1718909527194;1718909527255;60;
"SuperPixelDetect";2;1718909527194;1718909527199;1718909527276;76;
"SPPlaneSegmentation";2;1718909527195;1718909527276;1718909527278;1;
"ZEDImageDisparity";3;1718909527278;1718909527278;1718909527284;6;
"ImageOpticalFlow";3;1718909527278;1718909527278;1718909527289;11;
"PlaneSegmentationBEVVisualization";2;1718909527195;1718909527279;1718909527291;12;
"Depth";3;1718909527278;1718909527285;1718909527291;6;
"PlaneSegmentationVisualization";2;1718909527195;1718909527284;1718909527295;10;
"ImageDisparityDerivative";3;1718909527278;1718909527285;1718909527295;10;
"frame";2;1718909527194;1718909527194;1718909527314;119;
"system";2;1718909527190;1718909527191;1718909527314;123;
"SuperPixelDetect";3;1718909527278;1718909527314;1718909527381;66;
"SPPlaneSegmentation";3;1718909527278;1718909527381;1718909527385;3;
"ZEDImageDisparity";4;1718909527384;1718909527384;1718909527385;1;
"ImageDisparityDerivative";4;1718909527384;1718909527385;1718909527397;11;
"ImageOpticalFlow";4;1718909527384;1718909527384;1718909527397;13;
"PlaneSegmentationBEVVisualization";3;1718909527279;1718909527385;1718909527397;12;
"Depth";4;1718909527384;1718909527386;1718909527399;13;
"PlaneSegmentationVisualization";3;1718909527278;1718909527385;1718909527440;54;
"frame";3;1718909527278;1718909527278;1718909527440;162;
"system";3;1718909527276;1718909527276;1718909527440;164;
"SuperPixelDetect";4;1718909527384;1718909527397;1718909527465;67;
"ZEDImageDisparity";5;1718909527467;1718909527467;1718909527468;0;
"SPPlaneSegmentation";4;1718909527384;1718909527465;1718909527468;2;
"ImageDisparityDerivative";5;1718909527467;1718909527468;1718909527477;9;
"ImageOpticalFlow";5;1718909527467;1718909527467;1718909527477;10;
"PlaneSegmentationBEVVisualization";4;1718909527384;1718909527468;1718909527520;51;
"Depth";5;1718909527467;1718909527468;1718909527520;51;
"PlaneSegmentationVisualization";4;1718909527384;1718909527468;1718909527529;60;
"frame";4;1718909527383;1718909527383;1718909527529;146;
"system";4;1718909527381;1718909527381;1718909527529;148;
"SuperPixelDetect";5;1718909527467;1718909527477;1718909527543;65;
"SPPlaneSegmentation";5;1718909527467;1718909527543;1718909527546;2;
"ZEDImageDisparity";6;1718909527545;1718909527545;1718909527546;0;
"ImageOpticalFlow";6;1718909527545;1718909527545;1718909527557;11;
"ImageDisparityDerivative";6;1718909527545;1718909527546;1718909527558;11;
"PlaneSegmentationBEVVisualization";5;1718909527468;1718909527546;1718909527558;12;
"Depth";6;1718909527545;1718909527546;1718909527559;12;
"PlaneSegmentationVisualization";5;1718909527467;1718909527546;1718909527597;50;
"frame";5;1718909527467;1718909527467;1718909527597;130;
"system";5;1718909527465;1718909527465;1718909527597;131;
"SuperPixelDetect";6;1718909527545;1718909527558;1718909527620;61;
"SPPlaneSegmentation";6;1718909527545;1718909527620;1718909527622;1;
"ZEDImageDisparity";7;1718909527621;1718909527621;1718909527622;0;
"ImageOpticalFlow";7;1718909527621;1718909527621;1718909527633;11;
"Depth";7;1718909527621;1718909527622;1718909527635;12;
"ImageDisparityDerivative";7;1718909527621;1718909527622;1718909527635;12;
"PlaneSegmentationBEVVisualization";6;1718909527545;1718909527622;1718909527637;14;
"PlaneSegmentationVisualization";6;1718909527545;1718909527622;1718909527637;14;
"frame";6;1718909527545;1718909527545;1718909527637;91;
"system";6;1718909527543;1718909527543;1718909527637;94;
"SuperPixelDetect";7;1718909527621;1718909527635;1718909527697;61;
"SPPlaneSegmentation";7;1718909527621;1718909527697;1718909527699;1;
"ZEDImageDisparity";8;1718909527699;1718909527699;1718909527699;0;
"ImageOpticalFlow";8;1718909527698;1718909527699;1718909527709;10;
"PlaneSegmentationBEVVisualization";7;1718909527622;1718909527700;1718909527712;12;
"ImageDisparityDerivative";8;1718909527699;1718909527700;1718909527712;12;
"Depth";8;1718909527699;1718909527700;1718909527712;12;
"PlaneSegmentationVisualization";7;1718909527621;1718909527700;1718909527751;51;
"frame";7;1718909527621;1718909527621;1718909527751;129;
"system";7;1718909527620;1718909527620;1718909527751;131;
"SuperPixelDetect";8;1718909527698;1718909527713;1718909527773;60;
"ZEDImageDisparity";9;1718909527774;1718909527774;1718909527775;1;
"SPPlaneSegmentation";8;1718909527699;1718909527774;1718909527775;1;
"ImageDisparityDerivative";9;1718909527774;1718909527776;1718909527785;9;
"ImageOpticalFlow";9;1718909527774;1718909527774;1718909527785;10;
"Depth";9;1718909527774;1718909527776;1718909527820;44;
"PlaneSegmentationVisualization";8;1718909527699;1718909527776;1718909527823;47;
"PlaneSegmentationBEVVisualization";8;1718909527699;1718909527776;1718909527827;50;
"frame";8;1718909527698;1718909527698;1718909527827;128;
"system";8;1718909527697;1718909527697;1718909527827;130;
"SuperPixelDetect";9;1718909527774;1718909527785;1718909527848;63;
"ZEDImageDisparity";10;1718909527849;1718909527849;1718909527860;10;
"SPPlaneSegmentation";9;1718909527774;1718909527848;1718909527860;11;
"ImageOpticalFlow";10;1718909527849;1718909527849;1718909527860;11;
"Depth";10;1718909527849;1718909527860;1718909527861;0;
"ImageDisparityDerivative";10;1718909527849;1718909527860;1718909527863;2;
"PlaneSegmentationBEVVisualization";9;1718909527775;1718909527861;1718909527866;5;
"PlaneSegmentationVisualization";9;1718909527774;1718909527861;1718909527903;41;
"frame";9;1718909527774;1718909527774;1718909527903;128;
"system";9;1718909527768;1718909527768;1718909527903;135;
"SuperPixelDetect";10;1718909527849;1718909527863;1718909527927;63;
"SPPlaneSegmentation";10;1718909527849;1718909527927;1718909527929;2;
"ZEDImageDisparity";11;1718909527929;1718909527929;1718909527930;1;
"ImageOpticalFlow";11;1718909527928;1718909527929;1718909527940;11;
"PlaneSegmentationBEVVisualization";10;1718909527850;1718909527930;1718909527942;12;
"Depth";11;1718909527929;1718909527930;1718909527942;12;
"ImageDisparityDerivative";11;1718909527929;1718909527930;1718909527942;12;
"PlaneSegmentationVisualization";10;1718909527849;1718909527930;1718909527978;48;
"frame";10;1718909527849;1718909527849;1718909527978;129;
"system";10;1718909527842;1718909527842;1718909527978;136;
"SuperPixelDetect";11;1718909527928;1718909527943;1718909528006;63;
"ZEDImageDisparity";12;1718909528008;1718909528008;1718909528009;0;
"SPPlaneSegmentation";11;1718909527929;1718909528006;1718909528009;3;
"ImageOpticalFlow";12;1718909528008;1718909528008;1718909528022;13;
"ImageDisparityDerivative";12;1718909528008;1718909528009;1718909528022;12;
"PlaneSegmentationBEVVisualization";11;1718909527929;1718909528010;1718909528022;12;
"Depth";12;1718909528008;1718909528009;1718909528023;13;
"PlaneSegmentationVisualization";11;1718909527929;1718909528010;1718909528063;53;
"frame";11;1718909527928;1718909527928;1718909528063;134;
"system";11;1718909527927;1718909527927;1718909528063;136;
"SuperPixelDetect";12;1718909528008;1718909528022;1718909528088;65;
"SPPlaneSegmentation";12;1718909528008;1718909528088;1718909528091;2;
"ZEDImageDisparity";13;1718909528090;1718909528090;1718909528091;0;
"ImageOpticalFlow";13;1718909528090;1718909528090;1718909528101;11;
"Depth";13;1718909528090;1718909528092;1718909528101;9;
"ImageDisparityDerivative";13;1718909528090;1718909528092;1718909528102;9;
"PlaneSegmentationBEVVisualization";12;1718909528009;1718909528092;1718909528105;12;
"PlaneSegmentationVisualization";12;1718909528009;1718909528092;1718909528144;52;
"frame";12;1718909528008;1718909528008;1718909528144;136;
"system";12;1718909528006;1718909528006;1718909528144;138;
"SuperPixelDetect";13;1718909528090;1718909528102;1718909528170;67;
"SPPlaneSegmentation";13;1718909528090;1718909528170;1718909528174;4;
"ZEDImageDisparity";14;1718909528172;1718909528172;1718909528174;1;
"ImageOpticalFlow";14;1718909528172;1718909528172;1718909528185;13;
"ImageDisparityDerivative";14;1718909528173;1718909528175;1718909528187;11;
"PlaneSegmentationBEVVisualization";13;1718909528091;1718909528175;1718909528187;12;
"Depth";14;1718909528173;1718909528175;1718909528187;12;
"PlaneSegmentationVisualization";13;1718909528090;1718909528175;1718909528187;12;
"frame";13;1718909528090;1718909528090;1718909528187;97;
"system";13;1718909528088;1718909528088;1718909528187;99;
"SuperPixelDetect";14;1718909528172;1718909528187;1718909528250;63;
"SPPlaneSegmentation";14;1718909528173;1718909528251;1718909528252;1;
"ZEDImageDisparity";15;1718909528252;1718909528252;1718909528253;0;
"ImageOpticalFlow";15;1718909528252;1718909528252;1718909528262;10;
"Depth";15;1718909528252;1718909528253;1718909528263;9;
"ImageDisparityDerivative";15;1718909528252;1718909528253;1718909528264;10;
"PlaneSegmentationBEVVisualization";14;1718909528173;1718909528253;1718909528266;12;
"PlaneSegmentationVisualization";14;1718909528173;1718909528253;1718909528266;12;
"frame";14;1718909528172;1718909528172;1718909528266;94;
"system";14;1718909528170;1718909528170;1718909528266;96;
"SuperPixelDetect";15;1718909528252;1718909528264;1718909528332;67;
"ZEDImageDisparity";16;1718909528334;1718909528334;1718909528335;0;
"SPPlaneSegmentation";15;1718909528252;1718909528332;1718909528335;2;
"ImageDisparityDerivative";16;1718909528334;1718909528335;1718909528345;9;
"ImageOpticalFlow";16;1718909528334;1718909528334;1718909528345;11;
"Depth";16;1718909528334;1718909528335;1718909528347;11;
"PlaneSegmentationVisualization";15;1718909528252;1718909528335;1718909528385;49;
"PlaneSegmentationBEVVisualization";15;1718909528252;1718909528335;1718909528386;50;
"frame";15;1718909528252;1718909528252;1718909528386;134;
"system";15;1718909528250;1718909528250;1718909528386;135;
"SuperPixelDetect";16;1718909528334;1718909528345;1718909528410;64;
"ZEDImageDisparity";17;1718909528410;1718909528410;1718909528411;0;
"SPPlaneSegmentation";16;1718909528334;1718909528410;1718909528420;10;
"ImageOpticalFlow";17;1718909528410;1718909528410;1718909528421;10;
"Depth";17;1718909528410;1718909528411;1718909528421;9;
"ImageDisparityDerivative";17;1718909528410;1718909528411;1718909528421;9;
"PlaneSegmentationBEVVisualization";16;1718909528334;1718909528421;1718909528426;4;
"PlaneSegmentationVisualization";16;1718909528334;1718909528421;1718909528462;41;
"frame";16;1718909528334;1718909528334;1718909528462;128;
"system";16;1718909528332;1718909528332;1718909528462;130;
"SuperPixelDetect";17;1718909528410;1718909528422;1718909528491;69;
"ZEDImageDisparity";18;1718909528494;1718909528494;1718909528495;0;
"SPPlaneSegmentation";17;1718909528410;1718909528492;1718909528495;3;
"Depth";18;1718909528494;1718909528495;1718909528505;9;
"ImageOpticalFlow";18;1718909528494;1718909528494;1718909528505;10;
"PlaneSegmentationBEVVisualization";17;1718909528411;1718909528495;1718909528509;13;
"ImageDisparityDerivative";18;1718909528494;1718909528495;1718909528509;13;
"PlaneSegmentationVisualization";17;1718909528410;1718909528496;1718909528551;55;
"frame";17;1718909528410;1718909528410;1718909528551;140;
"system";17;1718909528403;1718909528403;1718909528551;147;
"SuperPixelDetect";18;1718909528494;1718909528509;1718909528576;66;
"SPPlaneSegmentation";18;1718909528494;1718909528576;1718909528578;2;
"ZEDImageDisparity";19;1718909528578;1718909528578;1718909528579;0;
"ImageOpticalFlow";19;1718909528578;1718909528578;1718909528589;10;
"PlaneSegmentationBEVVisualization";18;1718909528494;1718909528579;1718909528592;12;
"ImageDisparityDerivative";19;1718909528578;1718909528579;1718909528592;12;
"Depth";19;1718909528578;1718909528579;1718909528594;14;
"PlaneSegmentationVisualization";18;1718909528494;1718909528579;1718909528633;53;
"frame";18;1718909528494;1718909528494;1718909528633;139;
"system";18;1718909528491;1718909528491;1718909528633;141;
"SuperPixelDetect";19;1718909528578;1718909528592;1718909528660;68;
"ZEDImageDisparity";20;1718909528661;1718909528661;1718909528662;0;
"SPPlaneSegmentation";19;1718909528578;1718909528660;1718909528672;11;
"ImageOpticalFlow";20;1718909528661;1718909528661;1718909528672;10;
"ImageDisparityDerivative";20;1718909528661;1718909528662;1718909528673;10;
"Depth";20;1718909528661;1718909528662;1718909528673;10;
"PlaneSegmentationBEVVisualization";19;1718909528578;1718909528672;1718909528678;5;
"PlaneSegmentationVisualization";19;1718909528578;1718909528672;1718909528715;43;
"frame";19;1718909528578;1718909528578;1718909528716;137;
"system";19;1718909528576;1718909528576;1718909528716;139;
"SuperPixelDetect";20;1718909528661;1718909528673;1718909528739;66;
"SPPlaneSegmentation";20;1718909528661;1718909528739;1718909528741;2;
"ZEDImageDisparity";21;1718909528741;1718909528741;1718909528741;0;
"ImageOpticalFlow";21;1718909528741;1718909528741;1718909528751;10;
"ImageDisparityDerivative";21;1718909528741;1718909528742;1718909528752;9;
"Depth";21;1718909528741;1718909528742;1718909528752;10;
"PlaneSegmentationBEVVisualization";20;1718909528662;1718909528742;1718909528753;11;
"PlaneSegmentationVisualization";20;1718909528661;1718909528742;1718909528789;46;
"frame";20;1718909528661;1718909528661;1718909528789;127;
"system";20;1718909528653;1718909528653;1718909528789;135;
"SuperPixelDetect";21;1718909528741;1718909528752;1718909528815;62;
"SPPlaneSegmentation";21;1718909528741;1718909528815;1718909528817;2;
"ZEDImageDisparity";22;1718909528816;1718909528816;1718909528817;0;
"ImageOpticalFlow";22;1718909528816;1718909528816;1718909528828;12;
"ImageDisparityDerivative";22;1718909528816;1718909528817;1718909528828;11;
"Depth";22;1718909528817;1718909528817;1718909528829;11;
"PlaneSegmentationBEVVisualization";21;1718909528741;1718909528818;1718909528830;12;
"PlaneSegmentationVisualization";21;1718909528741;1718909528817;1718909528830;12;
"frame";21;1718909528741;1718909528741;1718909528830;89;
"system";21;1718909528739;1718909528739;1718909528830;91;
"SuperPixelDetect";22;1718909528816;1718909528829;1718909528896;67;
"ZEDImageDisparity";23;1718909528898;1718909528898;1718909528899;0;
"SPPlaneSegmentation";22;1718909528817;1718909528896;1718909528899;2;
"ImageOpticalFlow";23;1718909528898;1718909528898;1718909528909;11;
"Depth";23;1718909528898;1718909528900;1718909528911;11;
"PlaneSegmentationVisualization";22;1718909528817;1718909528900;1718909528912;12;
"ImageDisparityDerivative";23;1718909528898;1718909528900;1718909528912;12;
"PlaneSegmentationBEVVisualization";22;1718909528817;1718909528900;1718909528912;12;
"frame";22;1718909528816;1718909528816;1718909528913;96;
"system";22;1718909528814;1718909528814;1718909528913;98;
"SuperPixelDetect";23;1718909528898;1718909528912;1718909528979;66;
"SPPlaneSegmentation";23;1718909528898;1718909528979;1718909528982;2;
"ZEDImageDisparity";24;1718909528982;1718909528982;1718909528983;0;
"ImageOpticalFlow";24;1718909528981;1718909528982;1718909528993;11;
"ImageDisparityDerivative";24;1718909528982;1718909528983;1718909528994;11;
"PlaneSegmentationBEVVisualization";23;1718909528899;1718909528982;1718909528995;12;
"PlaneSegmentationVisualization";23;1718909528898;1718909528982;1718909528995;12;
"Depth";24;1718909528982;1718909528983;1718909528995;11;
"frame";23;1718909528898;1718909528898;1718909528995;96;
"system";23;1718909528896;1718909528896;1718909528995;98;
"SuperPixelDetect";24;1718909528981;1718909528995;1718909529064;69;
"SPPlaneSegmentation";24;1718909528982;1718909529064;1718909529066;2;
"ZEDImageDisparity";25;1718909529066;1718909529066;1718909529066;0;
"ImageOpticalFlow";25;1718909529066;1718909529066;1718909529076;10;
"Depth";25;1718909529066;1718909529067;1718909529078;10;
"ImageDisparityDerivative";25;1718909529066;1718909529067;1718909529078;10;
"PlaneSegmentationBEVVisualization";24;1718909528983;1718909529067;1718909529079;12;
"PlaneSegmentationVisualization";24;1718909528982;1718909529067;1718909529079;12;
"frame";24;1718909528981;1718909528981;1718909529080;98;
"system";24;1718909528979;1718909528979;1718909529080;100;
"SuperPixelDetect";25;1718909529066;1718909529078;1718909529148;70;
"ZEDImageDisparity";26;1718909529149;1718909529149;1718909529150;0;
"SPPlaneSegmentation";25;1718909529066;1718909529149;1718909529150;1;
"ImageOpticalFlow";26;1718909529149;1718909529149;1718909529162;12;
"Depth";26;1718909529149;1718909529151;1718909529163;12;
"ImageDisparityDerivative";26;1718909529149;1718909529151;1718909529163;12;
"PlaneSegmentationBEVVisualization";25;1718909529066;1718909529151;1718909529165;14;
"PlaneSegmentationVisualization";25;1718909529066;1718909529151;1718909529165;14;
"frame";25;1718909529066;1718909529066;1718909529165;99;
"system";25;1718909529064;1718909529064;1718909529165;101;
"SuperPixelDetect";26;1718909529149;1718909529164;1718909529235;70;
"ZEDImageDisparity";27;1718909529235;1718909529235;1718909529236;0;
"SPPlaneSegmentation";26;1718909529150;1718909529235;1718909529246;11;
"ImageOpticalFlow";27;1718909529235;1718909529235;1718909529246;10;
"ImageDisparityDerivative";27;1718909529235;1718909529236;1718909529247;10;
"Depth";27;1718909529236;1718909529236;1718909529249;12;
"PlaneSegmentationBEVVisualization";26;1718909529150;1718909529246;1718909529289;42;
"PlaneSegmentationVisualization";26;1718909529150;1718909529246;1718909529290;44;
"frame";26;1718909529149;1718909529149;1718909529290;141;
"system";26;1718909529141;1718909529141;1718909529290;149;
"SuperPixelDetect";27;1718909529235;1718909529247;1718909529320;72;
"SPPlaneSegmentation";27;1718909529236;1718909529320;1718909529322;2;
"ZEDImageDisparity";28;1718909529321;1718909529321;1718909529322;0;
"ImageOpticalFlow";28;1718909529321;1718909529321;1718909529333;12;
"PlaneSegmentationBEVVisualization";27;1718909529236;1718909529322;1718909529335;12;
"ImageDisparityDerivative";28;1718909529321;1718909529323;1718909529335;12;
"Depth";28;1718909529321;1718909529323;1718909529335;12;
"PlaneSegmentationVisualization";27;1718909529236;1718909529322;1718909529376;53;
"frame";27;1718909529235;1718909529235;1718909529377;141;
"system";27;1718909529228;1718909529228;1718909529377;148;
"SuperPixelDetect";28;1718909529321;1718909529335;1718909529407;72;
"SPPlaneSegmentation";28;1718909529321;1718909529408;1718909529410;2;
"ZEDImageDisparity";29;1718909529409;1718909529409;1718909529410;1;
"ImageOpticalFlow";29;1718909529409;1718909529409;1718909529420;11;
"ImageDisparityDerivative";29;1718909529409;1718909529411;1718909529424;12;
"Depth";29;1718909529410;1718909529411;1718909529424;12;
"PlaneSegmentationBEVVisualization";28;1718909529322;1718909529411;1718909529424;12;
"PlaneSegmentationVisualization";28;1718909529322;1718909529411;1718909529424;13;
"frame";28;1718909529321;1718909529321;1718909529424;103;
"system";28;1718909529320;1718909529320;1718909529424;104;
"SuperPixelDetect";29;1718909529409;1718909529424;1718909529492;67;
"ZEDImageDisparity";30;1718909529492;1718909529492;1718909529503;10;
"SPPlaneSegmentation";29;1718909529410;1718909529492;1718909529503;11;
"ImageOpticalFlow";30;1718909529492;1718909529492;1718909529504;11;
"ImageDisparityDerivative";30;1718909529493;1718909529504;1718909529504;0;
"Depth";30;1718909529493;1718909529504;1718909529505;0;
"PlaneSegmentationBEVVisualization";29;1718909529410;1718909529504;1718909529557;52;
"PlaneSegmentationVisualization";29;1718909529410;1718909529504;1718909529560;55;
"frame";29;1718909529409;1718909529409;1718909529560;151;
"system";29;1718909529407;1718909529407;1718909529560;152;
"SuperPixelDetect";30;1718909529492;1718909529505;1718909529575;70;
"SPPlaneSegmentation";30;1718909529493;1718909529576;1718909529578;2;
"ZEDImageDisparity";31;1718909529577;1718909529577;1718909529579;1;
"ImageOpticalFlow";31;1718909529577;1718909529577;1718909529588;10;
"ImageDisparityDerivative";31;1718909529578;1718909529579;1718909529589;9;
"PlaneSegmentationBEVVisualization";30;1718909529493;1718909529579;1718909529589;10;
"Depth";31;1718909529578;1718909529579;1718909529589;10;
"PlaneSegmentationVisualization";30;1718909529493;1718909529579;1718909529628;48;
"frame";30;1718909529492;1718909529492;1718909529628;136;
"system";30;1718909529489;1718909529489;1718909529628;138;
"SuperPixelDetect";31;1718909529577;1718909529589;1718909529658;68;
"SPPlaneSegmentation";31;1718909529578;1718909529658;1718909529662;3;
"ZEDImageDisparity";32;1718909529661;1718909529661;1718909529662;0;
"ImageOpticalFlow";32;1718909529661;1718909529661;1718909529672;11;
"ImageDisparityDerivative";32;1718909529661;1718909529662;1718909529673;10;
"PlaneSegmentationBEVVisualization";31;1718909529578;1718909529662;1718909529674;11;
