name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718910078462;1718910078462;1718910078463;0;
"ZEDImageDisparity";1;1718910078462;1718910078462;1718910078463;0;
"ImageDisparityDerivative";1;1718910078462;1718910078464;1718910078464;0;
"Depth";1;1718910078462;1718910078464;1718910078471;7;
"SuperPixelDetect";1;1718910078462;1718910078464;1718910078570;105;
"SPPlaneSegmentation";1;1718910078463;1718910078570;1718910078571;1;
"ZEDImageDisparity";2;1718910078571;1718910078571;1718910078571;0;
"ImageDisparityDerivative";2;1718910078571;1718910078572;1718910078574;1;
"Depth";2;1718910078571;1718910078572;1718910078576;3;
"PlaneSegmentationVisualization";1;1718910078463;1718910078572;1718910078579;6;
"PlaneSegmentationBEVVisualization";1;1718910078463;1718910078572;1718910078579;7;
"frame";1;1718910078462;1718910078462;1718910078579;117;
"system";1;1718910078454;1718910078454;1718910078579;124;
"ImageOpticalFlow";2;1718910078570;1718910078570;1718910078615;44;
"SuperPixelDetect";2;1718910078570;1718910078574;1718910078638;63;
"ZEDImageDisparity";3;1718910078639;1718910078639;1718910078640;0;
"SPPlaneSegmentation";2;1718910078571;1718910078638;1718910078640;1;
"ImageDisparityDerivative";3;1718910078639;1718910078640;1718910078649;9;
"ImageOpticalFlow";3;1718910078639;1718910078639;1718910078650;10;
"Depth";3;1718910078639;1718910078640;1718910078656;16;
"PlaneSegmentationVisualization";2;1718910078571;1718910078640;1718910078688;48;
"PlaneSegmentationBEVVisualization";2;1718910078571;1718910078640;1718910078690;49;
"frame";2;1718910078570;1718910078570;1718910078690;119;
"system";2;1718910078556;1718910078556;1718910078690;133;
"SuperPixelDetect";3;1718910078639;1718910078650;1718910078715;65;
"ZEDImageDisparity";4;1718910078716;1718910078716;1718910078717;0;
"SPPlaneSegmentation";3;1718910078639;1718910078716;1718910078727;10;
"ImageOpticalFlow";4;1718910078716;1718910078716;1718910078727;11;
"Depth";4;1718910078716;1718910078717;1718910078728;10;
"ImageDisparityDerivative";4;1718910078716;1718910078717;1718910078729;11;
"PlaneSegmentationBEVVisualization";3;1718910078639;1718910078727;1718910078732;4;
"PlaneSegmentationVisualization";3;1718910078639;1718910078727;1718910078732;5;
"frame";3;1718910078639;1718910078639;1718910078732;93;
"system";3;1718910078631;1718910078631;1718910078732;100;
"SuperPixelDetect";4;1718910078716;1718910078729;1718910078798;68;
"ZEDImageDisparity";5;1718910078798;1718910078798;1718910078809;10;
