name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718910279765;1718910279765;1718910279765;0;
"ZEDImageDisparity";1;1718910279765;1718910279765;1718910279766;0;
"ImageDisparityDerivative";1;1718910279765;1718910279766;1718910279767;1;
"Depth";1;1718910279765;1718910279766;1718910279773;7;
"SuperPixelDetect";1;1718910279764;1718910279767;1718910279870;103;
"ZEDImageDisparity";2;1718910279870;1718910279870;1718910279871;0;
"SPPlaneSegmentation";1;1718910279765;1718910279871;1718910279872;1;
"ImageDisparityDerivative";2;1718910279871;1718910279871;1718910279872;0;
"Depth";2;1718910279871;1718910279872;1718910279874;2;
"PlaneSegmentationVisualization";1;1718910279765;1718910279873;1718910279923;50;
"PlaneSegmentationBEVVisualization";1;1718910279765;1718910279873;1718910279925;52;
"frame";1;1718910279764;1718910279764;1718910279926;161;
"system";1;1718910279757;1718910279757;1718910279926;168;
"ImageOpticalFlow";2;1718910279870;1718910279870;1718910279933;62;
"SuperPixelDetect";2;1718910279870;1718910279873;1718910279933;60;
"SPPlaneSegmentation";2;1718910279871;1718910279934;1718910279936;1;
"ZEDImageDisparity";3;1718910279935;1718910279935;1718910279936;0;
"ImageOpticalFlow";3;1718910279935;1718910279935;1718910279947;12;
"ImageDisparityDerivative";3;1718910279935;1718910279936;1718910279947;10;
"Depth";3;1718910279935;1718910279936;1718910279949;12;
"PlaneSegmentationVisualization";2;1718910279871;1718910279936;1718910279949;12;
"PlaneSegmentationBEVVisualization";2;1718910279871;1718910279936;1718910279949;12;
"frame";2;1718910279870;1718910279870;1718910279949;78;
"system";2;1718910279850;1718910279850;1718910279949;99;
"SuperPixelDetect";3;1718910279935;1718910279947;1718910280006;58;
"ZEDImageDisparity";4;1718910280006;1718910280006;1718910280007;0;
"SPPlaneSegmentation";3;1718910279935;1718910280006;1718910280017;11;
"ImageDisparityDerivative";4;1718910280007;1718910280008;1718910280018;9;
"ImageOpticalFlow";4;1718910280006;1718910280006;1718910280018;11;
"PlaneSegmentationBEVVisualization";3;1718910279935;1718910280017;1718910280022;4;
"Depth";4;1718910280007;1718910280008;1718910280022;14;
"PlaneSegmentationVisualization";3;1718910279935;1718910280017;1718910280060;42;
"frame";3;1718910279935;1718910279935;1718910280060;125;
"system";3;1718910279933;1718910279933;1718910280060;127;
"SuperPixelDetect";4;1718910280006;1718910280018;1718910280086;68;
"SPPlaneSegmentation";4;1718910280007;1718910280087;1718910280089;2;
"ZEDImageDisparity";5;1718910280089;1718910280089;1718910280089;0;
"ImageDisparityDerivative";5;1718910280089;1718910280090;1718910280099;8;
"ImageOpticalFlow";5;1718910280089;1718910280089;1718910280101;12;
"Depth";5;1718910280089;1718910280090;1718910280101;10;
"PlaneSegmentationBEVVisualization";4;1718910280007;1718910280090;1718910280104;13;
"PlaneSegmentationVisualization";4;1718910280007;1718910280090;1718910280143;52;
"frame";4;1718910280006;1718910280006;1718910280143;136;
"system";4;1718910280003;1718910280003;1718910280143;139;
"SuperPixelDetect";5;1718910280089;1718910280100;1718910280165;65;
"ZEDImageDisparity";6;1718910280166;1718910280166;1718910280177;10;
"SPPlaneSegmentation";5;1718910280089;1718910280165;1718910280177;11;
"ImageOpticalFlow";6;1718910280166;1718910280166;1718910280177;11;
"ImageDisparityDerivative";6;1718910280166;1718910280177;1718910280178;0;
"Depth";6;1718910280166;1718910280177;1718910280180;2;
"PlaneSegmentationBEVVisualization";5;1718910280089;1718910280177;1718910280182;4;
"PlaneSegmentationVisualization";5;1718910280089;1718910280178;1718910280217;39;
"frame";5;1718910280089;1718910280089;1718910280218;129;
"system";5;1718910280086;1718910280086;1718910280218;131;
"SuperPixelDetect";6;1718910280166;1718910280178;1718910280243;64;
"ZEDImageDisparity";7;1718910280244;1718910280244;1718910280245;0;
"SPPlaneSegmentation";6;1718910280166;1718910280243;1718910280254;11;
"ImageOpticalFlow";7;1718910280244;1718910280244;1718910280255;10;
"ImageDisparityDerivative";7;1718910280244;1718910280245;1718910280257;11;
"Depth";7;1718910280244;1718910280245;1718910280257;11;
"PlaneSegmentationVisualization";6;1718910280166;1718910280255;1718910280260;5;
"PlaneSegmentationBEVVisualization";6;1718910280166;1718910280255;1718910280260;5;
"frame";6;1718910280166;1718910280166;1718910280261;94;
"system";6;1718910280159;1718910280159;1718910280261;101;
"SuperPixelDetect";7;1718910280244;1718910280257;1718910280317;60;
"ZEDImageDisparity";8;1718910280318;1718910280318;1718910280319;0;
"SPPlaneSegmentation";7;1718910280244;1718910280318;1718910280329;11;
"ImageOpticalFlow";8;1718910280318;1718910280318;1718910280329;10;
"ImageDisparityDerivative";8;1718910280318;1718910280319;1718910280330;10;
