name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718910527061;1718910527061;1718910527062;0;
"ZEDImageDisparity";1;1718910527061;1718910527061;1718910527062;0;
"ImageDisparityDerivative";1;1718910527061;1718910527062;1718910527063;0;
"Depth";1;1718910527061;1718910527063;1718910527069;6;
"SuperPixelDetect";1;1718910527061;1718910527063;1718910527164;101;
"SPPlaneSegmentation";1;1718910527061;1718910527165;1718910527166;1;
"ZEDImageDisparity";2;1718910527165;1718910527165;1718910527166;1;
"ImageDisparityDerivative";2;1718910527165;1718910527167;1718910527169;2;
"Depth";2;1718910527165;1718910527167;1718910527171;3;
"PlaneSegmentationVisualization";1;1718910527062;1718910527167;1718910527221;54;
"PlaneSegmentationBEVVisualization";1;1718910527062;1718910527167;1718910527224;57;
"frame";1;1718910527061;1718910527061;1718910527225;163;
"system";1;1718910527053;1718910527053;1718910527225;171;
"ImageOpticalFlow";2;1718910527165;1718910527165;1718910527231;65;
"SuperPixelDetect";2;1718910527165;1718910527170;1718910527246;76;
"SPPlaneSegmentation";2;1718910527165;1718910527246;1718910527248;1;
"ZEDImageDisparity";3;1718910527248;1718910527248;1718910527249;0;
"ImageOpticalFlow";3;1718910527248;1718910527248;1718910527258;10;
"PlaneSegmentationBEVVisualization";2;1718910527166;1718910527248;1718910527259;10;
"ImageDisparityDerivative";3;1718910527248;1718910527249;1718910527266;16;
"Depth";3;1718910527248;1718910527249;1718910527266;16;
"PlaneSegmentationVisualization";2;1718910527166;1718910527249;1718910527266;17;
"frame";2;1718910527165;1718910527165;1718910527266;101;
"system";2;1718910527154;1718910527154;1718910527266;112;
"SuperPixelDetect";3;1718910527248;1718910527266;1718910527324;57;
"SPPlaneSegmentation";3;1718910527248;1718910527325;1718910527326;1;
"ZEDImageDisparity";4;1718910527326;1718910527326;1718910527327;0;
"ImageOpticalFlow";4;1718910527326;1718910527326;1718910527338;12;
"PlaneSegmentationVisualization";3;1718910527248;1718910527327;1718910527340;12;
"PlaneSegmentationBEVVisualization";3;1718910527249;1718910527327;1718910527340;12;
"ImageDisparityDerivative";4;1718910527326;1718910527327;1718910527340;12;
"frame";3;1718910527248;1718910527248;1718910527340;92;
"system";3;1718910527246;1718910527246;1718910527340;94;
"Depth";4;1718910527326;1718910527327;1718910527340;12;
"SuperPixelDetect";4;1718910527326;1718910527340;1718910527399;58;
