name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718910205119;1718910205119;1718910205119;0;
"ZEDImageDisparity";1;1718910205119;1718910205119;1718910205119;0;
"ImageDisparityDerivative";1;1718910205119;1718910205120;1718910205121;1;
"Depth";1;1718910205119;1718910205120;1718910205126;5;
"SuperPixelDetect";1;1718910205118;1718910205121;1718910205221;100;
"ZEDImageDisparity";2;1718910205222;1718910205222;1718910205223;0;
"SPPlaneSegmentation";1;1718910205119;1718910205222;1718910205223;1;
"ImageDisparityDerivative";2;1718910205222;1718910205223;1718910205225;1;
"Depth";2;1718910205222;1718910205224;1718910205227;3;
"PlaneSegmentationVisualization";1;1718910205119;1718910205224;1718910205279;55;
"ImageOpticalFlow";2;1718910205222;1718910205222;1718910205283;61;
"PlaneSegmentationBEVVisualization";1;1718910205119;1718910205224;1718910205289;65;
"frame";1;1718910205118;1718910205118;1718910205289;170;
"system";1;1718910205110;1718910205110;1718910205289;178;
"SuperPixelDetect";2;1718910205222;1718910205225;1718910205300;75;
"SPPlaneSegmentation";2;1718910205222;1718910205301;1718910205303;1;
"ZEDImageDisparity";3;1718910205302;1718910205302;1718910205303;0;
"ImageOpticalFlow";3;1718910205302;1718910205302;1718910205317;14;
"ImageDisparityDerivative";3;1718910205302;1718910205303;1718910205317;13;
"PlaneSegmentationBEVVisualization";2;1718910205222;1718910205303;1718910205318;14;
"Depth";3;1718910205302;1718910205303;1718910205318;14;
"PlaneSegmentationVisualization";2;1718910205222;1718910205303;1718910205318;14;
"frame";2;1718910205222;1718910205222;1718910205318;96;
"system";2;1718910205206;1718910205206;1718910205318;111;
"SuperPixelDetect";3;1718910205302;1718910205318;1718910205374;56;
"ZEDImageDisparity";4;1718910205375;1718910205375;1718910205376;0;
"SPPlaneSegmentation";3;1718910205303;1718910205375;1718910205386;10;
"ImageOpticalFlow";4;1718910205375;1718910205375;1718910205386;10;
"ImageDisparityDerivative";4;1718910205375;1718910205376;1718910205387;10;
"Depth";4;1718910205375;1718910205376;1718910205389;13;
"PlaneSegmentationBEVVisualization";3;1718910205303;1718910205386;1718910205392;5;
"PlaneSegmentationVisualization";3;1718910205303;1718910205386;1718910205431;44;
"frame";3;1718910205302;1718910205302;1718910205431;129;
"system";3;1718910205300;1718910205300;1718910205431;130;
"SuperPixelDetect";4;1718910205375;1718910205387;1718910205452;65;
"ZEDImageDisparity";5;1718910205453;1718910205453;1718910205454;0;
"SPPlaneSegmentation";4;1718910205375;1718910205453;1718910205454;1;
"ImageOpticalFlow";5;1718910205453;1718910205453;1718910205464;11;
"Depth";5;1718910205453;1718910205454;1718910205464;9;
"ImageDisparityDerivative";5;1718910205453;1718910205454;1718910205464;10;
"PlaneSegmentationBEVVisualization";4;1718910205375;1718910205455;1718910205503;47;
"PlaneSegmentationVisualization";4;1718910205375;1718910205455;1718910205503;48;
"frame";4;1718910205375;1718910205375;1718910205503;128;
"system";4;1718910205368;1718910205368;1718910205503;135;
"SuperPixelDetect";5;1718910205453;1718910205465;1718910205527;62;
"SPPlaneSegmentation";5;1718910205453;1718910205527;1718910205530;2;
"ZEDImageDisparity";6;1718910205529;1718910205529;1718910205530;0;
"ImageOpticalFlow";6;1718910205529;1718910205529;1718910205541;11;
"ImageDisparityDerivative";6;1718910205529;1718910205530;1718910205541;10;
"Depth";6;1718910205529;1718910205530;1718910205542;12;
"PlaneSegmentationVisualization";5;1718910205453;1718910205530;1718910205542;12;
"PlaneSegmentationBEVVisualization";5;1718910205454;1718910205530;1718910205543;12;
"frame";5;1718910205453;1718910205453;1718910205543;90;
"system";5;1718910205450;1718910205450;1718910205543;93;
"SuperPixelDetect";6;1718910205529;1718910205541;1718910205603;61;
"ZEDImageDisparity";7;1718910205604;1718910205604;1718910205605;1;
"SPPlaneSegmentation";6;1718910205529;1718910205603;1718910205605;1;
"ImageOpticalFlow";7;1718910205604;1718910205604;1718910205615;11;
"ImageDisparityDerivative";7;1718910205604;1718910205605;1718910205615;9;
"Depth";7;1718910205604;1718910205605;1718910205617;11;
"PlaneSegmentationBEVVisualization";6;1718910205529;1718910205605;1718910205658;52;
"PlaneSegmentationVisualization";6;1718910205529;1718910205605;1718910205658;52;
"frame";6;1718910205529;1718910205529;1718910205658;129;
"system";6;1718910205527;1718910205527;1718910205658;131;
"SuperPixelDetect";7;1718910205603;1718910205615;1718910205677;61;
"SPPlaneSegmentation";7;1718910205604;1718910205677;1718910205680;2;
"ZEDImageDisparity";8;1718910205679;1718910205679;1718910205680;0;
"ImageOpticalFlow";8;1718910205679;1718910205679;1718910205690;10;
"PlaneSegmentationBEVVisualization";7;1718910205604;1718910205680;1718910205693;12;
"ImageDisparityDerivative";8;1718910205679;1718910205680;1718910205693;12;
"Depth";8;1718910205679;1718910205681;1718910205693;12;
"PlaneSegmentationVisualization";7;1718910205604;1718910205680;1718910205732;51;
"frame";7;1718910205603;1718910205603;1718910205732;128;
"system";7;1718910205597;1718910205597;1718910205732;134;
"SuperPixelDetect";8;1718910205679;1718910205693;1718910205754;61;
"SPPlaneSegmentation";8;1718910205679;1718910205755;1718910205757;1;
"ZEDImageDisparity";9;1718910205756;1718910205756;1718910205757;1;
"ImageOpticalFlow";9;1718910205756;1718910205756;1718910205768;11;
"PlaneSegmentationBEVVisualization";8;1718910205679;1718910205757;1718910205768;10;
"ImageDisparityDerivative";9;1718910205756;1718910205757;1718910205769;11;
"Depth";9;1718910205756;1718910205757;1718910205769;11;
"PlaneSegmentationVisualization";8;1718910205679;1718910205757;1718910205808;51;
"frame";8;1718910205679;1718910205679;1718910205808;129;
"system";8;1718910205677;1718910205677;1718910205808;131;
"SuperPixelDetect";9;1718910205756;1718910205769;1718910205834;64;
"ZEDImageDisparity";10;1718910205835;1718910205835;1718910205846;10;
"ImageOpticalFlow";10;1718910205835;1718910205835;1718910205846;11;
"SPPlaneSegmentation";9;1718910205756;1718910205834;1718910205846;11;
"ImageDisparityDerivative";10;1718910205835;1718910205846;1718910205849;2;
"Depth";10;1718910205835;1718910205846;1718910205850;3;
"PlaneSegmentationVisualization";9;1718910205756;1718910205847;1718910205852;4;
"PlaneSegmentationBEVVisualization";9;1718910205756;1718910205847;1718910205852;5;
"frame";9;1718910205756;1718910205756;1718910205852;96;
"system";9;1718910205754;1718910205754;1718910205852;97;
"SuperPixelDetect";10;1718910205835;1718910205849;1718910205911;62;
"ZEDImageDisparity";11;1718910205912;1718910205912;1718910205913;0;
"SPPlaneSegmentation";10;1718910205835;1718910205912;1718910205923;11;
"ImageOpticalFlow";11;1718910205912;1718910205912;1718910205923;10;
"ImageDisparityDerivative";11;1718910205912;1718910205913;1718910205925;11;
"Depth";11;1718910205912;1718910205913;1718910205927;13;
