name;run_id;time_init;time_start;time_end;duration_ms;
"ImageOpticalFlow";1;1718910475951;1718910475951;1718910475951;0;
"ZEDImageDisparity";1;1718910475951;1718910475951;1718910475952;0;
"ImageDisparityDerivative";1;1718910475951;1718910475952;1718910475953;0;
"Depth";1;1718910475951;1718910475952;1718910475961;9;
"SuperPixelDetect";1;1718910475951;1718910475953;1718910476069;115;
"ZEDImageDisparity";2;1718910476069;1718910476069;1718910476070;0;
"SPPlaneSegmentation";1;1718910475951;1718910476069;1718910476070;1;
"Depth";2;1718910476069;1718910476070;1718910476073;2;
"ImageDisparityDerivative";2;1718910476069;1718910476070;1718910476073;3;
"PlaneSegmentationVisualization";1;1718910475951;1718910476071;1718910476110;39;
"ImageOpticalFlow";2;1718910476069;1718910476069;1718910476111;41;
"PlaneSegmentationBEVVisualization";1;1718910475951;1718910476071;1718910476127;56;
"frame";1;1718910475951;1718910475951;1718910476127;176;
"system";1;1718910475943;1718910475943;1718910476127;184;
"SuperPixelDetect";2;1718910476069;1718910476073;1718910476143;69;
"ZEDImageDisparity";3;1718910476143;1718910476143;1718910476144;0;
"SPPlaneSegmentation";2;1718910476069;1718910476143;1718910476145;1;
"ImageOpticalFlow";3;1718910476143;1718910476143;1718910476155;11;
"ImageDisparityDerivative";3;1718910476143;1718910476145;1718910476156;10;
"Depth";3;1718910476144;1718910476145;1718910476156;11;
"PlaneSegmentationVisualization";2;1718910476069;1718910476145;1718910476157;12;
"PlaneSegmentationBEVVisualization";2;1718910476070;1718910476145;1718910476157;12;
"frame";2;1718910476069;1718910476069;1718910476173;104;
"system";2;1718910476048;1718910476048;1718910476173;124;
"ZEDImageDisparity";4;1718910476173;1718910476173;1718910476174;0;
"ImageOpticalFlow";4;1718910476173;1718910476173;1718910476217;44;
"Depth";4;1718910476173;1718910476174;1718910476222;47;
"ImageDisparityDerivative";4;1718910476173;1718910476174;1718910476225;51;
"SuperPixelDetect";3;1718910476143;1718910476157;1718910476243;85;
"ZEDImageDisparity";5;1718910476285;1718910476285;1718910476309;23;
"SPPlaneSegmentation";3;1718910476144;1718910476243;1718910476312;69;
"ImageOpticalFlow";5;1718910476285;1718910476285;1718910476317;31;
"ImageDisparityDerivative";5;1718910476285;1718910476309;1718910476318;8;
"Depth";5;1718910476285;1718910476309;1718910476318;8;
"SuperPixelDetect";4;1718910476172;1718910476226;1718910476321;94;
"PlaneSegmentationBEVVisualization";3;1718910476144;1718910476313;1718910476358;45;
